,park_name,year,acres_burnt
153,Hot Springs,2021,136.62
154,Hot Springs,2022,162.63
155,Hot Springs,2023,17.63
156,Hot Springs,2024,1.0
157,Indiana Dunes,2010,6.9
158,Indiana Dunes,2011,0.6000000000000001
159,Indiana Dunes,2012,75.0
160,Indiana Dunes,2013,11.4
161,Indiana Dunes,2014,0.4
162,Indiana Dunes,2015,266.1
163,Indiana Dunes,2016,420.0
164,Indiana Dunes,2017,16.4
165,Indiana Dunes,2018,0.2
166,Indiana Dunes,2019,223.9
167,Indiana Dunes,2020,0.03
168,Indiana Dunes,2021,424.58
169,Isle Royale,2011,0.1
170,Isle Royale,2012,5.0
171,Isle Royale,2013,0.1
172,Isle Royale,2022,6.14
173,Kings Canyon,2010,9027.5
174,Kings Canyon,2011,0.6
175,Kings Canyon,2012,325.90000000000003
176,Kings Canyon,2013,711.3000000000001
177,Kings Canyon,2014,18.0
178,Kings Canyon,2015,162.3
179,Kings Canyon,2016,77.8
180,Kings Canyon,2017,20.400000000000002
181,Kings Canyon,2018,188.8
182,Kings Canyon,2019,1.7
183,Kings Canyon,2020,1319.4399999999998
184,Kings Canyon,2021,114.47
185,Kings Canyon,2022,29.529999999999998
186,Kings Canyon,2023,0.6000000000000001
187,Mammoth Cave,2010,0.1
188,Mammoth Cave,2011,0.1
189,Mammoth Cave,2014,0.4
190,Mammoth Cave,2015,0.3
191,Mammoth Cave,2017,0.3
192,Mount Rainier,2012,7.5
193,Mount Rainier,2013,0.4
194,Mount Rainier,2014,2.2
195,Mount Rainier,2016,0.2
196,Mount Rainier,2017,0.1
197,Mount Rainier,2018,25.2
198,Mount Rainier,2020,0.1
199,Mount Rainier,2023,0.7
200,Shenandoah,2010,0.9
201,Shenandoah,2011,0.2
202,Shenandoah,2012,2142.4
203,Shenandoah,2013,0.5
204,Shenandoah,2014,468.2
205,Shenandoah,2015,1.7
206,Shenandoah,2016,10326.3
207,Shenandoah,2017,25.6
208,Shenandoah,2018,0.6
209,Shenandoah,2019,4.0
210,Theodore Roosevelt,2010,0.2
211,Theodore Roosevelt,2011,0.1
212,Theodore Roosevelt,2012,0.5
213,Theodore Roosevelt,2013,0.9
214,Theodore Roosevelt,2014,7.0
215,Theodore Roosevelt,2015,0.30000000000000004
216,Theodore Roosevelt,2017,33.0
217,Theodore Roosevelt,2018,12.7
218,Theodore Roosevelt,2019,1.3
219,Theodore Roosevelt,2021,54.050000000000004
220,Theodore Roosevelt,2023,2.09
221,Voyageurs,2011,300.2
222,Voyageurs,2012,0.8
223,Voyageurs,2013,0.2
224,Voyageurs,2014,0.2
225,Voyageurs,2015,0.1
226,Voyageurs,2016,0.2
227,Voyageurs,2018,0.1
