"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS","FY 2018
Park Base
FTE^{1}","FY 2018
Total FTE^{2}","FY 2018
Final^{7}","FY 2019
CR
Baseline","FY 2020
Fixed Costs
& Internal
Transfers","FY 2020
Program
Changes","FY 2020
Request"
"Coltsville NHP","0","0","180","180","1","-8","173"
"Congaree NP","15","15","1931","1922","10","-81","1851"
"Cowpens NB","8","9","894","890","6","-38","858"
"Crater Lake NP","43","75","5547","5512","29","-234","5307"
"Craters of the Moon NM&Pres","13","19","1649","1640","8","-70","1578"
"Cumberland Gap NHP","31","35","3608","3589","18","-152","3455"
"Cumberland Island NS","24","25","3014","2999","-42","-127","2830"
"Curecanti NRA","42","53","4426","4401","28","-187","4242"
"Cuyahoga Valley NP","94","113","11052","10992","60","-466","10586"
"Dayton Aviation NHP","18","18","2045","2034","13","-86","1961"
"De Soto NMem","6","6","736","732","5","-31","706"
"Death Valley NP","69","100","9025","8976","44","-381","8639"
"Delaware Water Gap NRA","82","111","9944","9889","53","-419","9523"
"Denali NP&Pres","108","173","14883","14795","73","-628","14240"
"Devils Postpile NM","5","7","633","629","3","-27","605"
"Devils Tower NM","12","20","1427","1417","8","-60","1365"
"Dinosaur NM","32","46","3848","3826","21","-162","3685"
"Dry Tortugas NP","13","15","2134","2124","8","-90","2042"
"Ebey's Landing NHR","1","4","353","351","1","-15","337"
"Edgar Allan Poe NHS","0","0","403","402","0","-17","385"
"Effigy Mounds NM","13","15","1215","1208","10","-51","1167"
"Eisenhower NHS","7","7","1137","1132","5","-48","1089"
"El Malpais NM","19","23","1784","1773","11","-75","1709"
"El Morro NM","7","10","936","931","7","-39","899"
"Eleanor Roosevelt NHS","6","6","868","865","3","-37","831"
"Eugene O'Neill NHS","5","6","717","713","3","-30","686"
"Everglades NP","125","212","17123","17037","78","-722","16393"
"Fire Island NS","47","51","5120","5094","29","-216","4907"
"First Ladies NHS","2","2","991","988","2","-42","948"
"First State NHP","3","3","722","720","2","-30","692"
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM, Wupatki
NM","31","48","3829","3806","20","-161","3665"
"Flight 93 NMem","16","17","1608","1599","10","-68","1541"
"Florissant Fossil Beds NM","10","11","1022","1017","6","-43","980"
"Fort Caroline NMem & Timucuan Ecological & Historic Preserve","24","24","2854","2839","16","-120","2735"
"Fort Davis NHS","13","16","1371","1364","10","-58","1316"
"Fort Donelson NB","13","13","1519","1511","8","-64","1455"
"Fort Frederica NM","7","7","890","886","5","-38","853"
"Fort Laramie NHS","15","17","1724","1715","11","-73","1653"
"Fort Larned NHS","11","12","1104","1099","7","-47","1059"
"Fort McHenry NM & Historic Shrine","19","22","2635","2623","12","-111","2524"
"Fort Monroe NM","4","4","1003","1000","2","-42","960"
"Fort Necessity NB","14","15","1636","1627","10","-69","1568"
"Fort Point NHS","2","2","537","535","2","-23","514"
"Fort Pulaski NM","12","19","1403","1396","5","-59","1342"
"Fort Scott NHS","14","14","1355","1348","8","-57","1299"
"Fort Smith NHS","11","14","1103","1097","8","-47","1058"
"Fort Stanwix NM","17","17","1637","1628","-16","-69","1543"
"Fort Sumter NM","23","26","2202","2189","10","-93","2106"
"Fort Union NM","14","18","1273","1264","10","-54","1220"
"Fort Union Trading Post NHS","8","9","898","894","5","-38","861"
"Fort Vancouver NHS","17","23","2008","1996","12","-85","1923"
"Fossil Butte NM","7","8","765","761","5","-32","734"
"Frederick Law Olmsted NHS","29","29","1837","1824","18","-77","1765"
"Fredericksburg & Spotsylvania NMP","41","42","4635","4612","25","-195","4442"
"Freedom Riders NM","0","0","180","180","1","268","449"
"Friendship Hill NHS","5","5","583","581","3","-25","559"
"Gates of the Arctic NP&Pres","36","43","3230","3209","23","-136","3096"
"Gateway NRA","208","262","25864","25725","137","-1091","24771"
"Gateway Arch NP","95","121","10222","10165","61","-431","9795"
"Gauley River NRA","2","2","831","829","1","-35","795"
"George Rogers Clark NHP","10","10","937","932","7","-40","899"
"George Washington Birthplace NM","17","18","1743","1734","10","-74","1670"
"George Washington Carver NM","12","12","1498","1492","8","-63","1437"
"George Washington Memorial Parkway","91","97","13437","13374","69","-567","12876"
"Gettysburg NMP","59","67","7089","7052","39","-299","6792"
"Gila Cliff Dwellings NM","4","4","384","382","2","-16","368"
"Glacier Bay NP&Pres","36","84","5180","5145","23","-218","4950"
"Glacier NP","126","269","14070","13959","87","-593","13453"
"Glen Canyon NRA","105","161","11983","11908","66","-505","11469"
"Golden Gate NRA","170","269","26621","26480","8","-1123","25365"
"Golden Spike NHS","11","12","1116","1110","8","-47","1071"
"Governor's Island NM","4","4","1536","1529","4","-65","1468"
"Grand Canyon NP","168","375","21964","21798","118","-926","20990"
"Grand Portage NM","11","11","1381","1376","7","-58","1325"
"Grand Teton NP","103","231","12781","12678","66","-539","12205"
"Grant-Kohrs Ranch NHS","16","18","1538","1527","11","-65","1473"
"Great Basin NP","25","37","2850","2830","15","-120","2725"
"Great Egg Harbor Scenic & Recreational River","0","0","172","172","0","-7","165"
"Great Sand Dunes NP&Pres","18","26","2386","2373","12","-101","2284"
"Great Smoky Mountains NP","163","259","19740","19616","104","-832","18888"
"Guadalupe Mountains NP","25","29","2983","2967","16","-125","2858"
"Guilford Courthouse NMP","11","11","1158","1152","7","-49","1110"
"Gulf Islands NS","49","63","7410","7372","33","-312","7093"
"Hagerman Fossil Beds NM","8","8","958","953","6","-40","919"
"Haleakala NP","40","76","5703","5668","30","-241","5457"
"Hampton NHS","7","7","1232","1227","5","-52","1180"
"Harpers Ferry NHP","50","60","6904","6868","38","-291","6615"
"Harriet Tubman Underground Railroad NHP, Harriet Tubman NHP","1","2","707","706","1","187","894"
"Harry S Truman NHS","15","15","1296","1290","8","-55","1243"
"Hawaii Volcanoes NP","68","110","8029","7974","43","-339","7678"
"Herbert Hoover NHS","13","14","1415","1408","9","-60","1357"
"Home of Franklin D Roosevelt NHS","20","30","3768","3752","15","-159","3608"
"Homestead NM of America","14","14","1319","1313","8","-56","1265"
"Honouliuli NM","0","0","348","347","1","-15","333"
"Hopewell Culture NHP","13","14","1409","1403","8","-59","1352"
"Hopewell Furnace NHS","11","12","1454","1449","7","-61","1395"
"Horseshoe Bend NMP","8","8","823","819","5","-35","789"
"Hot Springs NP","41","48","4707","4683","-55","-199","4429"
"Hovenweep NM","3","7","566","562","3","-24","541"
"Independence NHP","186","192","24100","23992","119","-516","23595"
"Indiana Dunes NP","82","117","9464","9408","55","-399","9064"
"Isle Royale NP","37","48","4488","4465","21","-189","4297"
"James A Garfield NHS","9","10","778","774","6","-33","747"
"Jean Lafitte NHP & Pres","49","49","5716","5689","33","-241","5481"
"Jewel Cave NM","13","19","1233","1224","7","-52","1179"
"Jimmy Carter NHS","11","12","1684","1676","8","-71","1613"
"John D Rockefeller Jr Memorial Parkway","0","0","539","538","0","-23","515"
"John Day Fossil Beds NM","15","17","1667","1658","10","-70","1598"
"John F Kennedy NHS","0","0","528","527","0","-22","505"
"John Muir NHS","13","16","1057","1051","7","-45","1013"
"Johnstown Flood NMem","7","7","826","822","5","-35","792"
"Joshua Tree NP","45","105","6373","6327","28","-269","6086"
"Kalaupapa NHP","33","37","5051","5029","-221","-213","4595"
"Kaloko-Honokohau NHP","16","21","1989","1977","12","-84","1905"
"Katahdin Woods and Waters NM","0","0","180","180","1","392","573"
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","27","39","4395","4375","18","-185","4208"
"Kenai Fjords NP","34","44","4136","4115","21","-174","3962"
"Kennesaw Mountain NBP","14","14","1742","1733","10","-73","1670"
"Keweenaw NHP","15","18","1749","1740","10","-74","1676"
"Kings Mountain NMP","13","18","1187","1180","8","-50","1138"
"Klondike Gold Rush NHP","30","48","3282","3261","20","-138","3143"
"Klondike Gold Rush - Seattle Unit NHP","7","8","753","749","5","-32","722"
"Knife River Indian Village NHS","9","10","942","937","5","-40","902"
"Lake Clark NP&Pres","22","27","3552","3537","13","-150","3400"
"Lake Mead NRA","120","217","19963","19854","77","-842","19089"
"Grand Canyon Parashant NM","12","12","1678","1670","-55","-71","1544"
"Lake Meredith NRA & Alibates Flint Quarry NM","29","37","3239","3219","18","-137","3100"
"Lake Roosevelt NRA","53","58","6158","6127","28","-80","6075"
"Lassen Volcanic NP","44","70","5476","5442","22","-231","5233"
"Lava Beds NM & Tule Lake Unit","21","31","2410","2393","6","-102","2297"
"Lewis & Clark NHP","17","22","1722","1711","10","-52","1669"
"Lincoln Boyhood NMem","10","10","1070","1065","7","-45","1027"
"Lincoln Home NHS","27","35","2903","2884","20","-122","2782"
"Little Bighorn Battlefield NM","13","16","1274","1267","8","-54","1221"
"Little River Canyon NPres","13","13","1482","1476","8","-62","1422"
"Little Rock Central High School NHS","10","10","999","994","7","-42","959"
"Longfellow House - Washington's Headquarters NHS","0","0","1243","1241","0","-52","1189"
"Lowell NHP","65","78","8645","8604","-127","-365","8112"
"Lyndon B Johnson NHP","28","29","3987","3968","21","-168","3821"
"Maggie L Walker NHS","6","6","640","637","3","-27","613"
"Mammoth Cave NP","54","107","6719","6673","38","-283","6428"
"Manassas NBP","27","28","3273","3259","16","-138","3137"
"Manhattan Project NHP","2","2","693","692","1","-29","664"
"Manhattan Sites","36","38","4439","4420","21","-187","4254"
"Manzanar NHS","14","14","1355","1349","-4","-57","1288"
"Marsh-Billings-Rockefeller NHP","16","19","2125","2113","10","-90","2033"
"Martin Luther King, Jr NHP","28","28","4346","4329","18","-183","4164"
"Martin Van Buren NHS","11","11","1295","1289","8","-55","1242"
"Mesa Verde NP","52","102","6637","6592","35","-280","6347"
"Minidoka NHS","3","3","467","465","2","-20","447"
"Minute Man NHP","22","24","2913","2898","13","-123","2788"
"Minuteman Missile NHS","7","8","713","709","5","-30","684"
"Mississippi NRRA","22","25","2026","2014","13","-85","1942"
"Missouri NRR","7","8","881","877","5","-37","845"
"Mojave NPres","33","39","5430","5406","22","-229","5199"
"Monocacy NB","13","16","1608","1600","7","-68","1539"
"Montezuma Castle NM & Tuzigoot NM","13","25","1712","1700","8","-72","1636"
"Moores Creek NB","6","6","701","697","5","-30","672"
"Morristown NHP","22","23","2720","2705","15","-115","2605"
"Mount Rainier NP","96","204","12971","12880","65","-547","12398"
"Mount Rushmore NMem","37","56","4181","4156","25","-176","4005"
"Muir Woods NM","6","12","468","464","3","-20","447"
"Natchez NHP","12","13","2600","2591","8","-110","2489"
"Natchez Trace Parkway, Brices Cross Roads NBS, Natchez Trace NST, Tupelo NB","98","106","11877","11817","66","-501","11382"
"National Capital Parks-East","136","140","16974","16897","86","-716","16267"
"National Mall & Memorial Parks","242","252","35648","35491","167","-1503","34155"
"National Park of American Samoa","11","14","2037","2029","-655","-86","1288"
"National Park Service Liaison to the White House","67","67","9501","9460","42","-401","9101"
"National Parks of New York Harbor (Hqtrs)","8","9","839","835","5","-35","805"
"Natural Bridges NM","6","9","543","539","4","-23","520"
"New Bedford Whaling NHP","10","10","972","967","5","-41","931"
"New Orleans Jazz NHP","9","9","1327","1322","6","-56","1272"
"New River Gorge NR","67","72","7706","7665","45","-325","7385"
"Nez Perce NHP","18","19","2629","2617","11","-111","2517"
"Nicodemus NHS","1","1","688","686","-18","-29","639"
"Ninety Six NHS","4","5","483","480","3","-20","463"
"Niobrara NSR","8","9","1026","1021","5","-43","983"
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","57","108","7684","7633","38","-324","7347"
"Obed WSR","12","12","1071","1065","7","-45","1027"
"Ocmulgee NM","13","15","1336","1330","10","-56","1284"
"Olympic NP","110","202","13364","13275","65","-564","12776"
"Oregon Caves NM & Pres","16","21","1796","1785","5","-76","1714"
"Organ Pipe Cactus NM","33","39","4550","4526","23","-192","4357"
"Ozark NSR","64","83","6742","6705","26","-284","6447"
"Padre Island NS","55","67","5860","5829","33","-198","5664"
"Palo Alto Battlefield NHS","9","9","969","964","5","-41","928"
"Paterson Great Falls NHP","5","5","902","900","3","-38","865"
"Pea Ridge NMP","10","11","1269","1263","8","-54","1217"
"Pecos NHP","19","23","2250","2237","13","-95","2155"
"Perry's Victory & International Peace Memorial","12","15","1118","1112","7","-47","1072"
"Petersburg NB","32","32","3527","3509","21","-149","3381"
"Petrified Forest NP","31","48","3656","3632","22","-154","3500"
"Petroglyph NM","16","18","1755","1746","10","-74","1682"
"Pictured Rocks NL","22","34","2695","2677","15","-114","2578"
"Pinnacles NP","29","39","3659","3638","20","-29","3629"
"Pipe Spring NM","14","18","1296","1289","9","-55","1243"
"Pipestone NM","10","10","1128","1123","6","-48","1081"
"Point Reyes NS","54","93","7836","7789","33","-330","7492"
"Port Chicago Naval Magazine NMem","0","0","300","300","0","-13","287"
"Potomac Heritage NST","1","1","420","419","0","-18","401"
"Prince William Forest Park","27","34","3570","3549","18","-151","3416"
"Pullman NM","3","3","631","629","1","101","731"
"Pu'uhonua O Honaunau NHP","16","22","1980","1968","11","-83","1896"
"Puukohola Heiau NHS","10","15","1029","1022","7","-43","986"
"Rainbow Bridge NM","0","0","143","143","0","-6","137"
"Reconstruction Era NM","0","0","180","180","0","252","432"
"Redwood NP","82","107","9239","9185","50","-390","8845"
"Richmond NBP","29","31","3296","3278","-293","-139","2846"
"Rio Grande WSR","0","0","200","200","0","-8","192"
"River Raisin NBP","11","11","825","821","6","-35","792"
"Rock Creek Park","56","57","9181","9144","36","-387","8793"
"Rocky Mountain NP","106","239","13019","12916","69","-549","12436"
"Roger Williams NMem","6","6","696","692","5","-29","668"
"Ronald Reagan Boyhood Home NHS","0","0","71","71","0","0","71"
"Rosie the Riveter WWII Home Front NHP","10","10","1343","1338","-40","-57","1241"
"Russell Cave NM","4","4","405","403","2","-17","388"
"Sagamore Hill NHS","15","18","1596","1587","9","-67","1529"
"Saguaro NP","35","66","3636","3608","21","-153","3476"
"Saint Croix Island IHS","2","2","240","239","1","-10","230"
"Saint Croix NSR & Lower Saint Croix NSR","34","35","3996","3976","21","-169","3828"
"Saint-Gaudens NHS","8","11","1322","1316","7","-56","1267"
"Salem Maritime NHS","21","21","2619","2606","14","-110","2510"
"Salinas Pueblo Missions NM","14","17","1419","1410","10","-60","1360"
"San Antonio Missions NHP","38","40","3949","3928","5","-126","3807"
"San Francisco Maritime NHP","60","72","7667","7628","38","-323","7343"
"San Juan Island NHP","8","12","1040","1035","5","-44","996"
"San Juan NHS","31","88","3587","3548","21","-151","3418"
"Sand Creek Massacre NHS","8","8","902","897","-32","-38","827"
"Santa Monica Mountains NRA","55","80","8754","8709","37","-369","8377"
"Saratoga NHP","21","22","2345","2332","13","-99","2246"
"Saugus Iron Works NHS","6","6","921","916","4","-39","881"
"Scotts Bluff NM","9","11","1015","1010","6","-43","973"
"Sequoia NP & Kings Canyon NP","163","329","17384","17252","102","-733","16621"
"Shenandoah NP","103","200","12506","12422","36","-527","11931"
"Shiloh NMP","23","25","2458","2444","16","-104","2356"
"Sitka NHP","14","17","2252","2242","10","-95","2157"
"Sleeping Bear Dunes NL","40","88","4355","4320","27","-184","4163"
"Southeast Arizona Group","27","34","3757","3737","17","-158","3596"
"Southern Arizona Group (Hqtrs)","14","20","1428","1419","10","-60","1369"
"Southern Four Corners Group","37","43","4077","4056","25","-172","3909"
"Springfield Armory NHS","11","11","1501","1496","7","-63","1440"
"Statue of Liberty NM & Ellis Island","89","111","15968","15901","53","-673","15281"
"Ste. Genevieve NHP","0","0","180","180","0","246","426"
"Steamtown NHS","42","43","5767","5740","19","-243","5516"
"Stones River NB","11","11","1316","1310","8","-55","1263"
"Stonewall NM","0","0","180","180","1","-8","173"
"Tallgrass Prairie NPres","8","9","1007","1002","-44","-42","916"
"Thaddeus Kosciuszko NMem","0","0","168","168","0","-7","161"
"Theodore Roosevelt Inaugural NHS","0","0","315","315","0","-13","302"
"Theodore Roosevelt NP & International Peace Garden","32","43","3218","3198","20","-136","3082"
"Thomas Edison NHP","23","24","2977","2962","16","-126","2852"
"Thomas Stone NHS","4","4","639","637","2","-27","612"
"Timpanogos Cave NM","12","22","1153","1143","8","-49","1102"
"Tonto NM","8","11","897","893","5","-38","860"
"Tule Springs Fossil Beds NM","2","2","541","539","0","156","695"
"Tumacacori NHP","10","13","1322","1316","8","-56","1268"
"Tuskegee Airmen NHS","8","8","975","970","4","-41","933"
"Tuskegee Institute NHS","9","9","1106","1101","6","-47","1060"
"Ulysses S Grant NHS","10","11","1289","1284","6","-52","1238"
"Upper Delaware Scenic & Recreational River & Middle Delaware NSR","24","24","3459","3443","13","-146","3310"
"Valles Caldera NPres","25","28","3403","3384","20","-144","3260"
"Valley Forge NHP","50","53","6461","6431","32","-272","6191"
"Vanderbilt Mansion NHS","25","28","1104","1093","17","-47","1063"
"Vicksburg NMP","23","26","3262","3246","18","-138","3126"
"Virgin Islands Coral Reef NM","0","0","462","461","0","-19","442"
"Virgin Islands NP","35","40","5149","5123","26","-217","4932"
"Voyageurs NP","41","66","4482","4454","20","-189","4285"
"Waco Mammoth NM","3","3","377","375","1","-16","360"
"War in the Pacific NHP","21","22","1629","1618","12","-69","1561"
"Washita Battlefield NHS","6","6","785","781","5","-33","753"
"Weir Farm NHS","8","10","1184","1179","5","-50","1134"
"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape
Krusenstern NM, Kobuk Valley NP","23","24","3924","3908","13","-165","3756"
"Whiskeytown NRA","38","64","4481","4452","25","-189","4288"
"White Sands NM","14","20","1662","1650","9","-70","1589"
"Whitman Mission NHS","7","7","830","826","5","-35","796"
"William Howard Taft NHS","8","8","836","832","5","-35","802"
"William Jefferson Clinton Birthplace Home NHS","7","7","725","721","4","-31","694"
"Wilson's Creek NB","26","28","3329","3313","17","-140","3190"
"Wind Cave NP","25","56","2629","2604","18","-111","2511"
"Wolf Trap NP","45","45","4287","4264","30","-181","4113"
"Women's Rights NHP","15","15","1611","1603","8","-68","1543"
"World War II Valor in the Pacific NM","27","29","3690","3670","20","-156","3534"
"Wrangell-Saint Elias NP&Pres","42","53","5887","5856","26","-248","5634"
"Yellowstone NP","309","518","35966","35727","200","-1517","34410"
"Yosemite NP","231","617","31463","31201","158","-1327","30032"
"Yucca House NM","0","0","107","107","0","-5","102"
"Yukon-Charley Rivers NPres","0","0","1850","1846","0","-78","1768"
"Zion NP","69","162","7874","7803","44","-332","7515"
"Subtotal, Park Units","10463","14979","1326287","1318791","4003","-52628","1270166"
"National Trail System^{3}","","","","","","",""
"[Appalachian NST]","","","","","","",""
"[Potomac Heritage NST]","","","","","","",""
"Ala Kahakai NHT","2","3","542","540","2","-23","519"
"California NHT","0","0","352","351","0","-15","336"
"Captain John Smith Chesapeake NHT","0","0","396","395","0","383","778"
"El Camino Real de los Tejas NHT","0","0","200","200","0","-8","192"
"El Camino Real de Tierra Adentro NHT","0","0","292","292","0","-12","280"
"Ice Age NST","5","5","846","843","3","-36","810"
"Juan Bautista de Anza NHT","3","3","555","553","2","-23","532"
"Lewis & Clark NHT","16","16","2047","2038","10","-86","1962"
"Mormon Pioneer NHT","0","0","245","245","0","-10","235"
"New England NST","0","0","128","128","0","-5","123"
"North Country NST","3","3","910","907","-12","-38","857"
"Old Spanish NHT","0","0","245","245","0","-10","235"
"Oregon NHT","0","0","439","438","0","-19","419"
"Overmountain Victory NHT","0","1","338","337","0","-14","323"
"Pony Express NHT","0","0","252","252","0","-11","241"
"Santa Fe NHT","18","18","724","716","12","-31","697"
"Selma to Montgomery NHT","10","10","1445","1440","4","-61","1383"
"Star Spangled Banner NHT","0","0","153","153","0","-6","147"
"Trail of Tears NHT","0","0","496","495","0","-21","474"
"Washington Rochambeau Revolutionary Route NHT","0","0","279","278","1","-12","267"
"National Trail System Program","0","2","388","387","0","-16","371"
"Subtotal, National Trail System","57","61","11272","11233","22","-74","11181"
"[Subtotal, National Trail System with Park Units]","","","","","","",""
