Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
OPERATION OF THE NATIONAL PARK SYSTEM,,Park Base,,Total,FY 2011,Adjusted,Fixed Costs and,Program,President's
,FTE,1,FTE,2,Final^{3},Enacted,Related Changes,Changes,Request
Boston African American NHS,,8,,8,799,785,6,0,791
Boston Harbor Islands NRA,,13,,14,"1,204","1,181",10,0,"1,191"
Boston NHP,,85,,91,"9,708","9,665",82,0,"9,747"
Brown v. Board of Education NHS,,12,,12,"1,319","1,296",10,0,"1,306"
Bryce Canyon NP,,37,,74,"3,397","3,268",35,0,"3,303"
Buffalo NR,,67,,99,"5,909","5,812",60,0,"5,872"
Cabrillo NM,,20,,25,"1,716","1,686",18,0,"1,704"
Canaveral NS,,37,,52,"3,217","3,165",31,0,"3,196"
Cane River Creole NHP,,13,,16,"1,154","1,135",11,0,"1,146"
Canyon de Chelly NM,,23,,39,"2,023","1,986",17,0,"2,003"
Canyonlands NP,,78,,106,"6,575","6,270",61,0,"6,331"
Cape Cod NS,,74,,114,"7,712","7,580",72,0,"7,652"
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright
Brothers NMem",,90,,132,"9,768","9,609",83,0,"9,692"
Cape Lookout NS,,22,,46,"2,530","2,487",17,0,"2,504"
Capitol Reef NP,,28,,37,"2,284","2,246",24,0,"2,270"
Capulin Volcano NM,,8,,10,742,730,6,0,736
Carl Sandburg Home NHS,,12,,18,"1,261","1,241",11,0,"1,252"
Carlsbad Caverns NP,,75,,95,"6,017","5,765",57,0,"5,822"
Carter G. Woodson Home NHS,,0,,0,53,52,0,0,52
Casa Grande Ruins NM & Hohokam Pima NM,,9,,14,853,838,9,0,847
Castillo de San Marcos NM & Fort Matanzas NM,,21,,44,"2,144","2,108",19,0,"2,127"
Catoctin Mountain Park,,34,,39,"3,490","3,431",34,0,"3,465"
Cedar Breaks NM,,8,,13,695,683,6,0,689
Cedar Creek and Belle Grove NHP,,6,,6,897,882,6,0,888
Chaco Culture NHP,,21,,31,"2,070","2,032",15,0,"2,047"
Chamizal NMem,,26,,26,"2,438","2,349",21,0,"2,370"
Channel Islands NP,,62,,71,"7,454","7,547",62,0,"7,609"
Charles Pinckney NHS,,6,,7,545,537,6,0,543
Chattahoochee River NRA,,35,,42,"3,403","3,349",31,0,"3,380"
Chesapeake & Ohio Canal NHP,,102,,126,"10,327","10,152",101,0,"10,253"
Chickamauga & Chattanooga NMP,,33,,41,"3,438","3,383",32,0,"3,415"
Chickasaw NRA,,43,,48,"3,875","3,813",36,0,"3,849"
Chiricahua NM & Fort Bowie NHS,,17,,19,"1,812","1,734",15,0,"1,749"
Christiansted NHS & Buck Island Reef NM,,18,,19,"1,840","1,832",14,0,"1,846"
City of Rocks NRes,,0,,0,467,459,0,0,459
Clara Barton NHS,,7,,7,744,732,7,0,739
Colonial NHP,,70,,75,"6,897","6,785",60,0,"6,845"
Colorado NM,,18,,37,"1,911","1,879",15,0,"1,894"
Congaree NP,,19,,19,"1,908","1,877",17,0,"1,894"
Coronado NMem,,16,,18,"1,771","1,738",13,0,"1,751"
Cowpens NB,,10,,10,848,835,6,0,841
Crater Lake NP,,54,,84,"5,410","5,318",47,0,"5,365"
Craters of the Moon NM&Pres,,17,,20,"1,618","1,591",16,0,"1,607"
Cumberland Gap NHP,,35,,54,"3,570","3,513",34,0,"3,547"
Cumberland Island NS,,23,,27,"2,643","2,602",23,0,"2,625"
Curecanti NRA,,43,,59,"4,051","3,986",34,0,"4,020"
Cuyahoga Valley NP,,102,,137,"11,068","10,877",93,0,"10,970"
Dayton Aviation NHP,,22,,22,"2,004","1,967",18,0,"1,985"
De Soto NMem,,10,,10,720,709,7,0,716
Death Valley NP,,93,,132,"8,923","8,770",78,0,"8,848"
Delaware Water Gap NRA,,93,,108,"9,616","9,536",88,0,"9,624"
Denali NP&Pres,,108,,195,"14,027","13,881",105,0,"13,986"
Devils Postpile NM,,7,,8,621,610,7,0,617
Devils Tower NM,,16,,22,"1,369","1,347",13,0,"1,360"
Dinosaur NM,,31,,44,"3,488","3,431",27,0,"3,458"
Dry Tortugas NP,,11,,12,"1,760","1,730",11,0,"1,741"
Ebey's Landing NHR,,1,,1,354,348,1,0,349
Edgar Allan Poe NHS,,0,,0,395,388,4,0,392
Effigy Mounds NM,,15,,16,"1,209","1,187",10,0,"1,197"
Eisenhower NHS,,9,,10,"1,109","1,092",15,0,"1,107"
El Malpais NM,,19,,26,"1,778","1,750",18,0,"1,768"
El Morro NM,,10,,11,909,894,8,0,902
Eleanor Roosevelt NHS,,8,,8,852,838,3,0,841
Eugene O'Neill NHS,,8,,9,699,687,6,0,693
Everglades NP,,192,,266,"17,241","16,953",158,0,"17,111"
Fire Island NS,,52,,58,"4,946","4,869",43,0,"4,912"
First Ladies NHS,,0,,0,"1,015",997,0,0,997
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM,
Wupatki NM",,35,,54,"3,619","3,551",28,0,"3,579"
Flight 93 NMem,,10,,11,"1,075","1,055",9,0,"1,064"
Florissant Fossil Beds NM,,12,,13,934,920,10,0,930
Ford's Theatre NHS,,15,,15,"1,474","1,595",12,0,"1,607"
Fort Caroline NMem & Timucuan Ecological & Historic Preserve,,34,,35,"2,815","2,770",27,0,"2,797"
Fort Davis NHS,,15,,20,"1,347","1,326",13,0,"1,339"
Fort Donelson NB,,16,,20,"1,495","1,474",18,0,"1,492"
Fort Frederica NM,,10,,11,876,864,10,0,874
Fort Laramie NHS,,21,,23,"1,701","1,673",16,0,"1,689"
Fort Larned NHS,,12,,13,"1,020","1,005",12,0,"1,017"
Fort McHenry NM & Historic Shrine,,27,,36,"2,568","2,529",22,0,"2,551"
Fort Monroe NM,,0,,0,0,350,0,0,350
Fort Necessity NB,,17,,17,"1,609","1,581",14,0,"1,595"
Fort Point NHS,,3,,4,542,531,3,0,534
Fort Pulaski NM,,17,,21,"1,393","1,370",13,0,"1,383"
Fort Scott NHS,,14,,16,"1,342","1,321",11,0,"1,332"
Fort Smith NHS,,12,,14,"1,090","1,072",11,0,"1,083"
Fort Stanwix NM,,18,,18,"1,599","1,572",14,0,"1,586"
Fort Sumter NM,,26,,27,"2,189","2,153",20,0,"2,173"
Fort Union NM,,14,,17,"1,242","1,221",13,0,"1,234"
Fort Union Trading Post NHS,,9,,10,832,819,7,0,826
Fort Vancouver NHS,,21,,31,"1,713","1,684",19,0,"1,703"
Fort Washington Park,,13,,14,"1,027","1,009",11,0,"1,020"
Fossil Butte NM,,8,,8,754,742,7,0,749
Frederick Douglass NHS,,16,,16,697,684,6,0,690
Frederick Law Olmsted NHS,,36,,46,"2,372","1,773",31,0,"1,804"
Fredericksburg & Spotsylvania NMP,,46,,48,"4,478","4,417",44,0,"4,461"
Friendship Hill NHS,,6,,6,572,564,9,0,573
Gates of the Arctic NP&Pres,,39,,52,"2,878","2,863",20,0,"2,883"
Gateway NRA,,244,,308,"25,666","25,282",204,0,"25,486"
Gauley River NRA,,2,,2,817,805,11,0,816
George Rogers Clark NHP,,11,,12,916,904,11,0,915
George Washington Birthplace NM,,18,,22,"1,713","1,684",16,0,"1,700"
George Washington Carver NM,,15,,15,"1,492","1,465",11,0,"1,476"
George Washington Memorial Parkway,,110,,118,"11,184","11,195",104,0,"11,299"
Gettysburg NMP,,74,,87,"6,867","6,825",68,0,"6,893"
Gila Cliff Dwellings NM,,3,,3,387,381,3,0,384
Glacier Bay NP&Pres,,43,,78,"4,860","4,862",47,0,"4,909"
Glacier NP,,151,,255,"13,975","13,741",127,0,"13,868"
Glen Canyon NRA,,105,,166,"11,128","10,941",92,0,"11,033"
Golden Gate NRA,,159,,226,"17,558","17,598",156,0,"17,754"
Presidio of San Francisco,,62,,73,"8,108","7,961",72,0,"8,033"
Golden Spike NHS,,12,,13,"1,087","1,069",10,0,"1,079"
Governor's Island NM,,12,,13,"1,488","1,462",10,0,"1,472"
Grand Canyon NP,,206,,482,"21,727","21,363",191,0,"21,554"
Grand Portage NM,,13,,15,"1,354","1,351",10,0,"1,361"
Grand Teton NP,,133,,245,"13,200","12,630",115,0,"12,745"
Grant-Kohrs Ranch NHS,,18,,20,"1,513","1,489",15,0,"1,504"
Great Basin NP,,31,,53,"2,803","2,757",26,0,"2,783"
Great Sand Dunes NP&Pres,,22,,28,"2,326","2,286",19,0,"2,305"
Great Smoky Mountains NP,,197,,281,"19,324","19,023",195,0,"19,218"
Greenbelt Park,,16,,17,"1,241","1,219",9,0,"1,228"
Guadalupe Mountains NP,,27,,37,"2,964","2,915",24,0,"2,939"
Guilford Courthouse NMP,,14,,16,"1,122","1,104",13,0,"1,117"
Gulf Islands NS,,76,,107,"7,348","7,227",65,0,"7,292"
Hagerman Fossil Beds NM,,9,,11,950,934,8,0,942
Haleakala NP,,55,,91,"5,379","5,371",51,0,"5,422"
Hampton NHS,,9,,11,"1,220","1,199",11,0,"1,210"
Harpers Ferry NHP,,78,,92,"6,821","6,712",73,0,"6,785"
Harry S Truman NHS,,16,,17,"1,273","1,254",15,0,"1,269"
Hawaii Volcanoes NP,,78,,137,"7,020","7,355",74,0,"7,429"
Herbert Hoover NHS,,15,,17,"1,405","1,382",12,0,"1,394"
Home of Franklin D Roosevelt NHS,,43,,44,"3,647","3,585",40,0,"3,625"
Homestead NM of America,,16,,18,"1,286","1,265",15,0,"1,280"
Hopewell Culture NHP,,14,,15,"1,345","1,338",11,0,"1,349"
Hopewell Furnace NHS,,16,,17,"1,402","1,377",15,0,"1,392"
Horseshoe Bend NMP,,9,,10,807,795,8,0,803
Hot Springs NP,,56,,65,"4,678","4,599",46,0,"4,645"
Hovenweep NM,,5,,8,557,548,6,0,554
Hubbell Trading Post NHS,,11,,15,894,880,9,0,889
Independence NHP,,200,,203,"24,311","23,897",174,0,"24,071"
Indiana Dunes NL,,93,,125,"9,232","9,086",88,0,"9,174"
Isle Royale NP,,44,,55,"4,425","4,349",40,0,"4,389"
James A Garfield NHS,,9,,9,705,694,7,0,701
Jean Lafitte NHP & Pres,,57,,57,"5,559","5,467",47,0,"5,514"
Jefferson National Expansion Memorial,,118,,142,"10,109","9,947",106,0,"10,053"
Jewel Cave NM,,15,,25,"1,208","1,186",10,0,"1,196"
Jimmy Carter NHS,,19,,19,"1,674","1,648",17,0,"1,665"
John D Rockefeller Jr Memorial Parkway,,0,,0,528,520,6,0,526
John Day Fossil Beds NM,,22,,23,"1,640","1,612",15,0,"1,627"
John F Kennedy NHS,,0,,0,521,511,5,0,516
John Muir NHS,,12,,14,"1,040","1,021",9,0,"1,030"
Johnstown Flood NMem,,7,,8,821,808,9,0,817
Joshua Tree NP,,65,,114,"6,253","6,145",58,0,"6,203"
Kalaupapa NHP,,31,,40,"4,103","4,088",31,0,"4,119"
Kaloko-Honokohau NHP,,16,,25,"2,213","1,888",14,0,"1,902"
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",,32,,42,"3,973","3,967",31,0,"3,998"
Kenai Fjords NP,,34,,42,"3,826","3,809",31,0,"3,840"
Kennesaw Mountain NBP,,17,,17,"1,705","1,677",14,0,"1,691"
Keweenaw NHP,,14,,20,"1,516","1,488",14,0,"1,502"
Kings Mountain NMP,,15,,18,"1,175","1,155",12,0,"1,167"
Klondike Gold Rush NHP,,31,,39,"2,995","2,998",27,0,"3,025"
Klondike Gold Rush - Seattle Unit NHP,,9,,10,722,710,6,0,716
Knife River Indian Village NHS,,9,,11,889,874,9,0,883
Lake Clark NP&Pres,,21,,28,"3,368","3,355",23,0,"3,378"
Lake Mead NRA,,150,,285,"18,168","17,908",147,0,"18,055"
Grand Canyon Parashant NM,,10,,11,"1,676","1,646",10,0,"1,656"
Lake Meredith NRA & Alibates Flint Quarry NM,,28,,40,"3,154","3,103",27,0,"3,130"
Lake Roosevelt NRA,,51,,71,"5,852","5,755",49,0,"5,804"
Lassen Volcanic NP,,56,,82,"5,386","5,296",46,0,"5,342"
Lava Beds NM,,24,,40,"2,014","1,981",21,0,"2,002"
Lewis & Clark NHP,,20,,23,"1,695","1,667",17,0,"1,684"
Lincoln Boyhood NMem,,12,,13,995,980,11,0,991
Lincoln Home NHS,,35,,36,"2,857","2,808",29,0,"2,837"
Little Bighorn Battlefield NM,,16,,21,"1,253","1,231",11,0,"1,242"
Little River Canyon NPres,,19,,20,"1,459","1,437",16,0,"1,453"
Little Rock Central High School NHS,,12,,12,"1,000",982,9,0,991
Longfellow House - Washington's Headquarters NHS,,0,,0,"1,195","1,174",0,0,"1,174"
Lowell NHP,,82,,86,"9,886","8,347",70,0,"8,417"
Lyndon B Johnson NHP,,41,,45,"3,957","3,894",34,0,"3,928"
Maggie L Walker NHS,,5,,5,616,605,5,0,610
Mammoth Cave NP,,76,,125,"6,479","6,375",66,0,"6,441"
Manassas NBP,,32,,34,"3,155","3,101",30,0,"3,131"
Manhattan Sites (Hqtrs),,16,,17,979,961,15,0,976
Castle Clinton NM,,5,,7,629,618,2,0,620
Federal Hall NMem,,5,,6,"1,118","1,100",4,0,"1,104"
General Grant NMem,,3,,3,928,914,3,0,917
Hamilton Grange NMem,,2,,2,177,174,3,0,177
Saint Paul's Church NHS,,0,,0,290,286,0,0,286
Theodore Roosevelt Birthplace NHS,,3,,3,241,237,3,0,240
Manzanar NHS,,13,,14,"1,334","1,309",10,0,"1,319"
Marsh-Billings-Rockefeller NHP,,16,,20,"2,091","2,054",16,0,"2,070"
"Martin Luther King, Jr NHS",,31,,36,"4,181","4,111",27,0,"4,138"
Martin Van Buren NHS,,14,,14,"1,252","1,231",11,0,"1,242"
Mary McLeod Bethune Council House NHS,,11,,11,909,893,8,0,901
Mesa Verde NP,,68,,128,"6,698","6,474",62,0,"6,536"
Minidoka NHS,,3,,3,446,438,2,0,440
Minute Man NHP,,29,,31,"2,815","2,766",26,0,"2,792"
Minuteman Missile NHS,,8,,8,666,656,7,0,663
Mississippi NRRA,,23,,25,"1,999","1,963",19,0,"1,982"
Missouri NRR,,11,,12,881,867,9,0,876
Mojave NPres,,44,,55,"5,040","4,953",46,0,"4,999"
Monocacy NB,,15,,23,"1,549","1,520",14,0,"1,534"
Montezuma Castle NM & Tuzigoot NM,,19,,33,"1,668","1,636",15,0,"1,651"
Moores Creek NB,,8,,8,692,681,6,0,687
Morristown NHP,,27,,29,"2,670","2,624",27,0,"2,651"
Mount Rainier NP,,118,,199,"12,114","12,168",110,0,"12,278"
Mount Rushmore NMem,,45,,63,"4,124","4,054",38,0,"4,092"
Muir Woods NM,,7,,9,454,446,9,0,455
Natchez NHP,,18,,20,"2,029","1,999",18,0,"2,017"
Natchez Trace NST,,0,,0,29,29,0,0,29
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB",,119,,135,"11,658","11,479",112,0,"11,591"
National Capital Parks-East,,101,,103,"10,578","10,400",95,0,"10,495"
National Mall & Memorial Parks,,289,,305,"32,989","32,282",257,0,"32,539"
Presidential Inauguration,,0,,0,0,0,0,776,776
National Park of American Samoa,,16,,20,"1,956","1,944",12,0,"1,956"
National Park Service Liaison to the White House,,40,,64,"6,081","5,978",46,0,"6,024"
Presidential Inauguration,,0,,0,0,0,0,424,424
National Parks of New York Harbor (Hqtrs),,17,,18,735,722,18,0,740
Natural Bridges NM,,6,,9,536,527,4,0,531
Navajo NM,,12,,13,"1,110","1,090",9,0,"1,099"
New Bedford Whaling NHP,,8,,8,940,924,6,0,930
New Orleans Jazz NHP,,12,,12,"1,303","1,282",13,0,"1,295"
New River Gorge NR,,85,,99,"7,454","7,386",75,0,"7,461"
Nez Perce NHP,,25,,25,"2,614","2,568",24,0,"2,592"
Nicodemus NHS,,6,,6,692,680,7,0,687
Ninety Six NHS,,5,,5,471,463,4,0,467
Niobrara NSR,,9,,9,"1,027","1,009",9,0,"1,018"
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",,75,,141,"7,504","7,365",71,0,"7,436"
Obed WSR,,11,,11,"1,052","1,035",10,0,"1,045"
Ocmulgee NM,,15,,16,"1,315","1,293",12,0,"1,305"
Olympic NP,,135,,203,"12,980","12,874",124,0,"12,998"
Oregon Caves NM,,18,,23,"1,572","1,544",13,0,"1,557"
Organ Pipe Cactus NM,,37,,44,"4,558","4,423",34,0,"4,457"
Ozark NSR,,69,,95,"6,696","6,583",63,0,"6,646"
Padre Island NS,,51,,71,"5,885","5,698",44,0,"5,742"
Palo Alto Battlefield NHS,,10,,10,960,943,9,0,952
Paterson Great Falls NHP,,0,,0,250,350,0,0,350
Pea Ridge NMP,,15,,17,"1,243","1,223",13,0,"1,236"
Pecos NHP,,19,,24,"2,210","2,176",19,0,"2,195"
Perry's Victory & International Peace Memorial,,13,,14,"1,115","1,096",12,0,"1,108"
Petersburg NB,,39,,40,"3,461","3,405",36,0,"3,441"
Petrified Forest NP,,38,,50,"3,506","3,447",30,0,"3,477"
Petroglyph NM,,19,,27,"1,784","1,755",16,0,"1,771"
Pictured Rocks NL,,27,,35,"2,687","2,641",25,0,"2,666"
Pinnacles NM,,36,,46,"3,534","3,473",33,0,"3,506"
Pipe Spring NM,,15,,18,"1,249","1,229",12,0,"1,241"
Pipestone NM,,9,,10,"1,125","1,106",8,0,"1,114"
Piscataway Park,,4,,4,612,603,5,0,608
Point Reyes NS,,70,,122,"7,658","7,535",74,0,"7,609"
Port Chicago Naval Magazine NMem,,0,,0,180,177,1,0,178
Potomac Heritage NST,,1,,1,399,392,3,0,395
President's Park,,27,,28,"3,395","3,338",25,0,"3,363"
Prince William Forest Park,,36,,47,"3,441","3,385",36,0,"3,421"
Pu'uhonua O Honaunau NHP,,19,,27,"1,884","1,878",17,0,"1,895"
Puukohola Heiau NHS,,11,,17,959,966,10,0,976
Rainbow Bridge NM,,0,,0,112,111,1,0,112
Redwood NP,,104,,125,"9,039","8,891",97,0,"8,988"
Richmond NBP,,31,,37,"3,244","3,191",27,0,"3,218"
Rio Grande WSR,,0,,0,196,193,3,0,196
River Raisin NBP,,2,,2,299,294,3,0,297
Rock Creek Park,,58,,61,"8,968","8,814",54,0,"8,868"
Rocky Mountain NP & Cache La Poudre,,132,,267,"13,097","12,560",121,0,"12,681"
Roger Williams NMem,,7,,7,578,662,6,0,668
Ronald Reagan Boyhood Home NHS^{4},,0,,0,75,72,0,0,72
Rosie the Riveter WWII Home Front NHP,,12,,13,"1,322","1,299",12,0,"1,311"
Russell Cave NM,,5,,5,396,389,4,0,393
Sagamore Hill NHS,,18,,20,"1,556","1,528",14,0,"1,542"
Saguaro NP,,43,,83,"3,797","3,621",35,0,"3,656"
Saint Croix Island IHS,,2,,2,234,229,2,0,231
Saint Croix NSR & Lower Saint Croix NSR,,45,,48,"3,958","3,893",40,0,"3,933"
Saint-Gaudens NHS,,12,,13,"1,287","1,265",12,0,"1,277"
Salem Maritime NHS,,28,,32,"2,583","2,536",23,0,"2,559"
Salinas Pueblo Missions NM,,19,,25,"1,400","1,377",14,0,"1,391"
Salt River Bay NHP & Ecological Preserve,,0,,0,803,796,4,0,800
San Antonio Missions NHP,,45,,48,"3,855","3,797",38,0,"3,835"
San Francisco Maritime NHP,,67,,77,"7,535","7,407",73,0,"7,480"
San Juan Island NHP,,11,,12,"1,024","1,006",10,0,"1,016"
San Juan NHS,,39,,87,"3,444","3,460",32,0,"3,492"
Sand Creek Massacre NHS,,8,,8,848,835,7,0,842
Santa Monica Mountains NRA,,76,,102,"8,756","8,603",76,0,"8,679"
Saratoga NHP,,25,,27,"2,279","2,241",23,0,"2,264"
Saugus Iron Works NHS,,9,,9,899,885,10,0,895
Scotts Bluff NM,,12,,15,991,975,11,0,986
Sequoia NP & Kings Canyon NP,,179,,322,"16,846","16,526",153,0,"16,679"
Shenandoah NP,,127,,195,"12,740","12,544",119,0,"12,663"
Shiloh NMP,,29,,33,"2,421","2,382",24,0,"2,406"
Sitka NHP,,20,,21,"2,075","2,067",20,0,"2,087"
Sleeping Bear Dunes NL,,46,,83,"4,346","4,275",40,0,"4,315"
Southern Arizona Group (Hqtrs),,4,,14,"1,217","1,408",3,0,"1,411"
Springfield Armory NHS,,12,,12,"1,489","1,463",10,0,"1,473"
Statue of Liberty NM & Ellis Island,,90,,146,"15,975","15,700",91,0,"15,791"
Steamtown NHS,,52,,56,"5,719","5,624",51,0,"5,675"
Stones River NB,,14,,16,"1,304","1,283",13,0,"1,296"
Tallgrass Prairie NPres,,10,,11,984,967,9,0,976
Thaddeus Kosciuszko NMem,,0,,0,165,162,0,0,162
Theodore Roosevelt Inaugural NHS,,0,,0,293,288,0,0,288
Theodore Roosevelt Island NMem,,1,,1,129,127,0,0,127
Theodore Roosevelt NP & International Peace Garden,,33,,46,"2,929","2,878",28,0,"2,906"
Thomas Edison NHP,,30,,32,"2,925","2,870",26,0,"2,896"
Thomas Stone NHS,,9,,9,629,618,6,0,624
Timpanogos Cave NM,,14,,29,"1,082","1,064",10,0,"1,074"
Tonto NM,,10,,12,888,873,9,0,882
Tumacacori NHP,,13,,14,"1,298","1,277",13,0,"1,290"
Tuskegee Airmen NHS,,7,,7,786,774,6,0,780
Tuskegee Institute NHS,,13,,13,"1,089","1,070",10,0,"1,080"
Ulysses S Grant NHS,,14,,14,"1,287","1,263",9,0,"1,272"
United States Park Police:,,[0],,[739],"[102,542]","[101,886]",[937],"[2,000]","[104,823]"
Metropolitan Washington D.C.,,0,,559,"80,644","79,763",708,551,"81,022"
Presidential Inauguration,,0,,0,0,0,0,"1,400","1,400"
New York,,0,,139,"16,945","17,254",177,49,"17,480"
San Francisco,,0,,41,"4,953","4,869",52,0,"4,921"
Upper Delaware Scenic & Recreational River & Middle Delaware NSR,,30,,30,"3,395","3,311",26,0,"3,337"
Valley Forge NHP,,65,,73,"7,139","6,270",66,0,"6,336"
Vanderbilt Mansion NHS,,11,,12,"1,020","1,067",12,0,"1,079"
Vicksburg NMP,,36,,40,"3,132","3,085",33,0,"3,118"
Virgin Islands Coral Reef NM,,1,,1,239,452,4,0,456
Virgin Islands NP,,50,,56,"5,180","4,959",50,0,"5,009"
Voyageurs NP,,44,,62,"4,314","4,241",42,0,"4,283"
War in the Pacific NHP,,16,,17,"1,561","1,546",10,0,"1,556"
Washita Battlefield NHS,,9,,9,776,765,8,0,773
Weir Farm NHS,,7,,9,"1,037","1,018",7,0,"1,025"
"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak
NPres, Cape Krusenstern NM, Kobuk Valley NP",,24,,25,"3,727","3,707",22,0,"3,729"
Whiskeytown NRA,,50,,82,"4,423","4,350",47,0,"4,397"
White Sands NM,,17,,25,"1,617","1,589",14,0,"1,603"
Whitman Mission NHS,,10,,10,816,805,9,0,814
William Howard Taft NHS,,9,,9,828,816,7,0,823
William Jefferson Clinton Birthplace Home NHS,,4,,4,299,294,2,0,296
Wilson's Creek NB,,23,,32,"3,321","3,266",21,0,"3,287"
Wind Cave NP,,37,,66,"2,666","2,620",28,0,"2,648"
Wolf Trap NP,,48,,52,"4,153","4,080",38,0,"4,118"
Women's Rights NHP,,15,,15,"1,572","1,545",13,0,"1,558"
World War II Valor in the Pacific NM,,29,,35,"3,550","3,529",24,0,"3,553"
Wrangell-Saint Elias NP&Pres,,44,,60,"5,469","5,462",47,0,"5,509"
Yellowstone NP,,312,,550,"35,892","35,301",289,0,"35,590"
Yosemite NP,,290,,709,"29,264","29,007",263,0,"29,270"
Yucca House NM,,0,,0,106,104,0,0,104
Yukon-Charley Rivers NPres,,0,,0,"1,913","1,902",11,0,"1,913"
Zion NP,,80,,184,"7,981","7,708",68,0,"7,776"
,,,,,,,,,
"Subtotal, Park Units",,"12,535",,"18,248","1,384,281","1,360,604","12,275","3,200","1,376,079"
