Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Cumberland Island NS,,24,,26,"2,679","2,679",4,-62,255,"2,876"
Curecanti NRA,,44,,59,"4,204","4,204",3,-89,0,"4,118"
Cuyahoga Valley NP,,110,,146,"11,238","11,143",3,-119,600,"11,627"
Dayton Aviation NHP,,19,,19,"2,042","2,031",-1,-35,0,"1,995"
De Soto NMem,,10,,11,766,730,1,-16,0,715
Death Valley NP,,92,,132,"9,132","9,132",2,-254,0,"8,880"
Delaware Water Gap NRA,,95,,113,"9,863","9,781",2,-189,0,"9,594"
Denali NP&Pres,,112,,199,"13,976","13,976",192,-294,483,"14,357"
Devils Postpile NM,,8,,10,633,633,0,-11,0,622
Devils Tower NM,,15,,24,"1,399","1,399",1,-32,0,"1,368"
Dinosaur NM,,33,,47,"3,685","3,685",2,-210,669,"4,146"
Dry Tortugas NP,,10,,13,"1,785","1,785",0,-21,0,"1,764"
Ebey's Landing NHR,,2,,2,359,359,0,-5,242,596
Edgar Allan Poe NHS,,0,,0,396,396,0,-4,0,392
Effigy Mounds NM,,16,,19,"1,900","1,226",0,-20,0,"1,206"
Eisenhower NHS,,9,,10,"1,121","1,121",3,-17,0,"1,107"
El Malpais NM,,17,,25,"1,814","1,814",2,-41,0,"1,775"
El Morro NM,,9,,11,923,923,0,-17,0,906
Eleanor Roosevelt NHS,,11,,11,864,864,0,-14,0,850
Eugene O'Neill NHS,,7,,7,708,708,0,-11,0,697
Everglades NP,,159,,236,"17,991","17,491",6,-191,497,"17,803"
Fire Island NS,,49,,57,"5,052","5,052",-3,-116,0,"4,933"
First Ladies NHS,,0,,0,"1,021","1,021",0,-11,0,"1,010"
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM,
Wupatki NM",,33,,52,"3,679","3,679",1,-71,0,"3,609"
Flight 93 NMem,,9,,9,"1,088","1,086",0,-19,0,"1,067"
Florissant Fossil Beds NM,,12,,17,950,950,1,-18,0,933
Ford's Theatre NHS,,29,,29,"1,505","1,651",0,-31,355,"1,975"
Fort Caroline NMem & Timucuan Ecological & Historic Preserve,,28,,30,"2,854","2,854",2,-46,0,"2,810"
Fort Davis NHS,,15,,21,"1,369","1,369",2,-26,0,"1,345"
Fort Donelson NB,,14,,20,"1,516","1,516",4,-27,0,"1,493"
Fort Frederica NM,,8,,10,889,889,2,-21,0,870
Fort Laramie NHS,,22,,28,"1,732","1,732",1,-35,0,"1,698"
Fort Larned NHS,,13,,13,"1,040","1,034",3,-19,0,"1,018"
Fort McHenry NM & Historic Shrine,,24,,34,"2,613","2,613",0,-49,370,"2,934"
Fort Necessity NB,,16,,17,"1,653","1,653",1,-49,0,"1,605"
Fort Point NHS,,5,,6,548,548,-1,-8,264,803
Fort Pulaski NM,,17,,23,"1,411","1,411",0,-25,0,"1,386"
Fort Scott NHS,,14,,16,"1,371","1,364",1,-27,0,"1,338"
Fort Smith NHS,,13,,14,"1,112","1,106",1,-21,0,"1,086"
Fort Stanwix NM,,16,,17,"1,625","1,625",2,-30,0,"1,597"
Fort Sumter NM,,24,,24,"2,220","2,220",1,-41,0,"2,180"
Fort Union NM,,16,,18,"1,259","1,259",0,-21,0,"1,238"
Fort Union Trading Post NHS,,10,,11,859,845,1,-16,0,830
Fort Vancouver NHS,,21,,30,"1,747","1,747",1,-32,376,"2,092"
Fort Washington Park,,14,,15,"1,044","1,044",1,-21,0,"1,024"
Fossil Butte NM,,9,,10,767,767,1,-15,0,753
Frederick Douglass NHS,,10,,10,705,705,-1,-11,0,693
Frederick Law Olmsted NHS,,34,,43,"2,422","2,422",-1,-52,0,"2,369"
Fredericksburg & Spotsylvania NMP,,48,,53,"4,560","4,560",3,-95,280,"4,748"
Friendship Hill NHS,,7,,7,580,580,2,-10,0,572
Gates of the Arctic NP&Pres,,39,,50,"2,881","2,881",34,-69,358,"3,204"
Gateway NRA,,257,,316,"26,538","26,089",-12,-453,475,"26,099"
Gauley River NRA,,3,,3,824,824,2,-12,0,814
George Rogers Clark NHP,,11,,11,935,930,3,-18,136,"1,051"
George Washington Birthplace NM,,18,,19,"1,742","1,742",1,-34,0,"1,709"
George Washington Carver NM,,14,,15,"1,522","1,514",0,-28,0,"1,486"
George Washington Memorial Parkway,,110,,120,"11,482","11,373",13,-235,532,"11,683"
Gettysburg NMP,,73,,83,"7,050","6,983",2,-132,186,"7,039"
Gila Cliff Dwellings NM,,3,,4,395,395,1,-9,336,723
Glacier Bay NP&Pres,,44,,76,"4,821","4,821",85,-103,0,"4,803"
Glacier NP,,153,,264,"14,410","14,410",2,-288,0,"14,124"
Glen Canyon NRA,,108,,159,"11,769","11,769",2,-230,0,"11,541"
Golden Gate NRA,,160,,229,"17,235","17,875",-1,-455,0,"17,419"
Presidio of San Francisco,,113,,123,"8,253","8,253",8,-154,0,"8,107"
Golden Spike NHS,,12,,13,"1,104","1,104",1,-22,84,"1,167"
Governor's Island NM,,11,,12,"1,505","1,505",0,-22,0,"1,483"
Grand Canyon NP,,207,,463,"23,077","23,076",3,-510,520,"23,089"
Grand Portage NM,,13,,14,"1,398","1,391",1,-43,0,"1,349"
Grand Teton NP,,141,,253,"13,733","13,733",4,-355,247,"13,629"
Grant-Kohrs Ranch NHS,,17,,19,"1,536","1,536",1,-28,0,"1,509"
Great Basin NP,,32,,51,"2,861","2,861",2,-49,0,"2,814"
Great Sand Dunes NP&Pres,,24,,28,"2,366","2,366",0,-45,625,"2,946"
Great Smoky Mountains NP,,193,,319,"20,341","19,637",28,-403,238,"19,500"
Greenbelt Park,,15,,16,"1,261","1,261",0,-25,0,"1,236"
Guadalupe Mountains NP,,29,,40,"3,017","3,017",2,-64,0,"2,955"
Guilford Courthouse NMP,,13,,15,"1,136","1,136",1,-21,221,"1,337"
Gulf Islands NS,,71,,99,"7,773","7,457",5,-124,0,"7,338"
Hagerman Fossil Beds NM,,9,,11,963,963,0,-15,0,948
Haleakala NP,,52,,88,"5,329","5,436",86,-99,0,"5,423"
Hampton NHS,,8,,10,"1,247","1,247",1,-33,270,"1,485"
Harpers Ferry NHP,,79,,91,"7,043","6,938",10,-133,0,"6,815"
Harry S Truman NHS,,17,,18,"1,301","1,294",4,-26,245,"1,517"
Hawaii Volcanoes NP,,82,,147,"7,125","7,018",143,-221,0,"6,940"
Herbert Hoover NHS,,16,,18,"1,435","1,427",1,-28,0,"1,400"
Home of Franklin D Roosevelt NHS,,30,,32,"3,695","3,695",0,-69,0,"3,626"
Homestead NM of America,,16,,18,"1,315","1,308",3,-27,0,"1,284"
Hopewell Culture NHP,,14,,15,"1,448","1,380",0,-41,0,"1,339"
Hopewell Furnace NHS,,18,,19,"1,423","1,423",0,-23,0,"1,400"
Horseshoe Bend NMP,,9,,10,818,818,1,-16,0,803
Hot Springs NP,,49,,69,"4,751","4,751",3,-93,188,"4,849"
Hovenweep NM,,5,,9,564,564,1,-10,234,789
Hubbell Trading Post NHS,,11,,13,907,907,1,-16,416,"1,308"
Independence NHP,,205,,208,"24,627","24,596",5,-396,0,"24,205"
Indiana Dunes NL,,90,,123,"9,508","9,371",7,-175,229,"9,432"
Isle Royale NP,,43,,55,"4,593","4,497",2,-90,385,"4,794"
James A Garfield NHS,,9,,9,717,713,1,-12,0,702
Jean Lafitte NHP & Pres,,57,,58,"5,794","5,640",3,-87,0,"5,556"
Jefferson National Expansion Memorial,,129,,152,"10,448","10,260",13,-191,0,"10,082"
Jewel Cave NM,,15,,24,"1,247","1,226",0,-23,0,"1,203"
Jimmy Carter NHS,,20,,20,"1,698","1,698",3,-35,196,"1,862"
John D Rockefeller Jr Memorial Parkway,,0,,0,533,533,1,-10,0,524
John Day Fossil Beds NM,,20,,23,"1,670","1,670",1,-40,0,"1,631"
John F Kennedy NHS,,0,,0,523,523,-1,-7,0,515
John Muir NHS,,11,,12,"1,058","1,058",-1,-18,0,"1,039"
Johnstown Flood NMem,,7,,7,840,838,1,-23,0,816
Joshua Tree NP,,63,,121,"6,381","6,381",1,-107,0,"6,275"
Kalaupapa NHP,,31,,39,"4,147","4,147",56,-94,0,"4,109"
Kaloko-Honokohau NHP,,16,,21,"2,176","2,176",29,-36,584,"2,753"
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",,34,,41,"3,949","3,949",61,-85,0,"3,925"
Kenai Fjords NP,,33,,40,"3,807","3,807",48,-68,199,"3,986"
Kennesaw Mountain NBP,,17,,19,"1,729","1,729",1,-46,157,"1,841"
Keweenaw NHP,,15,,22,"1,561","1,537",-1,-26,0,"1,510"
Kings Mountain NMP,,13,,16,"1,191","1,191",0,-25,0,"1,166"
Klondike Gold Rush NHP,,31,,42,"2,958","2,958",54,-54,0,"2,958"
Klondike Gold Rush - Seattle Unit NHP,,10,,10,733,733,0,-11,0,722
Knife River Indian Village NHS,,10,,11,918,903,0,-18,0,885
Lake Clark NP&Pres,,25,,31,"3,351","3,351",44,-63,126,"3,458"
Lake Mead NRA,,150,,275,"18,329","18,546",-5,-367,0,"18,174"
Grand Canyon Parashant NM,,10,,10,"1,695","1,695",-1,-24,0,"1,670"
Lake Meredith NRA & Alibates Flint Quarry NM,,28,,41,"3,212","3,212",3,-70,0,"3,145"
Lake Roosevelt NRA,,48,,69,"5,958","5,958",4,-126,0,"5,836"
Lassen Volcanic NP,,52,,86,"5,500","5,500",3,-107,0,"5,396"
Lava Beds NM,,25,,45,"2,062","2,062",2,-38,0,"2,026"
Lewis & Clark NHP,,20,,25,"1,727","1,727",2,-31,0,"1,698"
Lincoln Boyhood NMem,,13,,14,"1,016","1,011",2,-21,125,"1,117"
Lincoln Home NHS,,34,,40,"2,910","2,895",2,-49,0,"2,848"
Little Bighorn Battlefield NM,,16,,22,"1,275","1,275",-1,-25,112,"1,361"
Little River Canyon NPres,,17,,19,"1,586","1,586",-103,-29,0,"1,454"
Little Rock Central High School NHS,,14,,14,"1,020","1,015",-1,-20,0,994
Longfellow House - Washington's Headquarters NHS,,0,,0,"1,199","1,199",-1,-15,0,"1,183"
Lowell NHP,,86,,91,"10,131","10,025",-1,-179,129,"9,974"
Lyndon B Johnson NHP,,44,,47,"4,121","4,121",4,-80,0,"4,045"
Maggie L W alker NHS,,7,,7,624,624,0,-12,0,612
Mammoth Cave NP,,80,,136,"6,819","6,583",6,-181,0,"6,408"
Manassas NBP,,28,,30,"3,155","3,198",1,-58,403,"3,544"
Manhattan Sites (Hqtrs),,19,,20,"1,003","1,003",0,-23,0,980
Castle Clinton NM,,5,,7,637,637,0,-10,0,627
Federal Hall NMem,,5,,5,"1,125","1,125",1,-15,0,"1,111"
General Grant NMem,,2,,2,934,934,1,-12,0,923
Hamilton Grange NMem,,2,,2,178,178,0,-3,286,461
Saint Paul's Church NHS,,0,,0,291,291,0,-3,0,288
Theodore Roosevelt Birthplace NHS,,1,,1,241,241,0,-3,0,238
Manzanar NHS,,14,,16,"1,361","1,361",-1,-34,0,"1,326"
Marsh-Billings-Rockefeller NHP,,17,,20,"2,125","2,125",-1,-41,0,"2,083"
"Martin Luther King, Jr NHS",,33,,37,"4,239","4,239",1,-67,0,"4,173"
Martin Van Buren NHS,,15,,15,"1,274","1,274",0,-25,175,"1,424"
Mary McLeod Bethune Council House NHS,,8,,9,919,919,0,-14,0,905
Mesa Verde NP,,66,,119,"7,001","7,001",5,-168,0,"6,838"
Minidoka Internment NM,,3,,3,451,451,0,-6,0,445
Minute Man NHP,,30,,34,"2,891","2,857",0,-47,212,"3,022"
Minuteman Missile NHS,,7,,8,701,689,-12,-13,0,664
Mississippi NRRA,,26,,28,"2,091","2,025",0,-34,0,"1,991"
Missouri NRR,,10,,11,"1,032","1,014",-119,-18,0,877
Mojave NPres,,44,,57,"5,131","5,131",1,-92,0,"5,040"
Monocacy NB,,18,,24,"1,575","1,571",-2,-27,97,"1,639"
Montezuma Castle NM & Tuzigoot NM,,18,,32,"1,693","1,693",1,-27,0,"1,667"
Moores Creek NB,,7,,7,701,701,1,-12,0,690
Morristown NHP,,29,,30,"2,713","2,713",0,-52,362,"3,023"
Mount Rainier NP,,118,,204,"12,379","12,379",3,-254,0,"12,128"
Mount Rushmore NMem,,51,,65,"4,164","4,195",3,-89,0,"4,109"
Muir Woods NM,,7,,8,463,463,1,-11,264,717
Natchez NHP,,19,,20,"2,057","2,057",4,-46,240,"2,255"
Natchez Trace NST,,0,,0,29,29,0,0,0,29
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB",,125,,140,"12,178","11,840",19,-264,0,"11,595"
National Capital Parks-East,,100,,104,"10,912","10,730",6,-198,313,"10,851"
National Mall & Memorial Parks,,330,,342,"33,347","33,094",11,-693,"3,588","36,000"
National Park of American Samoa,,16,,20,"1,951","1,951",22,-31,0,"1,942"
National Park Service Liaison to the White House,,38,,60,"6,241","6,161",3,-107,0,"6,057"
National Parks of New York Harbor (Hqtrs),,15,,15,741,741,-1,-11,0,729
Natural Bridges NM,,6,,9,560,560,0,-25,498,"1,033"
Navajo NM,,13,,13,"1,127","1,127",-1,-21,0,"1,105"
New Bedford Whaling NHP,,7,,8,951,951,0,-14,225,"1,162"
New Orleans Jazz NHP,,7,,7,"1,321","1,321",1,-22,0,"1,300"
New River Gorge NR,,88,,109,"7,674","7,585",7,-141,0,"7,451"
Nez Perce NHP,,25,,25,"2,688","2,688",1,-46,0,"2,643"
Nicodemus NHS,,6,,6,704,700,0,-11,230,919
Ninety Six NHS,,5,,5,478,478,0,-9,0,469
Niobrara NSR,,8,,8,"1,116","1,101",-57,-22,0,"1,022"
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",,76,,142,"7,669","7,669",2,-141,768,"8,298"
Obed WSR,,8,,9,"1,066","1,066",1,-16,0,"1,051"
Ocmulgee NM,,14,,15,"1,333","1,333",0,-26,0,"1,307"
Olympic NP,,134,,206,"13,060","13,231",3,-405,0,"12,829"
Oregon Caves NM,,19,,24,"1,604","1,604",-1,-30,0,"1,573"
Organ Pipe Cactus NM,,33,,40,"4,635","4,635",1,-100,0,"4,536"
Ozark NSR,,74,,108,"6,923","6,805",6,-135,0,"6,676"
Padre Island NS,,53,,67,"5,977","5,977",1,-120,0,"5,858"
Palo Alto Battlefield NHS,,9,,9,977,977,0,-20,0,957
Paterson Great Falls NHP^{5},,0,,0,250,250,0,-3,0,247
Pea Ridge NMP,,15,,18,"1,267","1,260",2,-21,508,"1,749"
Pecos NHP,,19,,26,"2,239","2,239",3,-38,0,"2,204"
Perry's Victory & International Peace Memorial,,14,,15,"1,136","1,130",1,-20,0,"1,111"
Petersburg NB,,36,,38,"3,514","3,514",3,-63,0,"3,454"
Petrified Forest NP,,38,,51,"3,701","3,701",1,-74,0,"3,628"
Petroglyph NM,,19,,25,"1,814","1,814",1,-34,149,"1,930"
Pictured Rocks NL,,26,,33,"2,744","2,729",1,-53,0,"2,677"
Pinnacles NM,,35,,43,"3,601","3,601",0,-224,0,"3,377"
Pipe Spring NM,,13,,16,"1,264","1,264",1,-19,0,"1,246"
Pipestone NM,,9,,11,"1,200","1,194",-51,-23,0,"1,120"
Piscataway Park,,4,,4,621,621,1,-11,0,611
Point Reyes NS,,67,,124,"7,815","7,809",2,-167,0,"7,644"
Port Chicago Naval Magazine NMem,,0,,0,0,0,0,0,180,180
Potomac Heritage NST,,1,,1,402,402,0,-4,0,398
President's Park,,27,,27,"3,361","3,437",1,-59,0,"3,379"
Prince William Forest Park,,34,,47,"3,505","3,501",3,-70,120,"3,554"
Pu'uhonua O Honaunau NHP,,17,,35,"1,886","1,886",27,-33,0,"1,880"
Puukohola Heiau NHS,,10,,19,964,964,25,-19,278,"1,248"
Rainbow Bridge NM,,0,,0,112,112,1,-1,0,112
Redwood NP,,104,,134,"9,222","9,222",9,-165,498,"9,564"
Richmond NBP,,32,,37,"3,298","3,298",3,-63,500,"3,738"
Rio Grande WSR,,0,,0,196,196,0,-2,0,194
River Raisin NBP,,0,,0,0,0,0,0,700,700
Rock Creek Park,,57,,63,"9,281","9,096",2,-171,"1,036","9,963"
Rocky Mountain NP & Cache La Poudre,,133,,279,"13,469","13,469",5,-256,0,"13,218"
Roger Williams NMem,,6,,6,585,585,0,-9,0,576
Ronald Reagan Boyhood NHS^{5},,0,,0,75,75,0,-1,0,74
Rosie the Riveter WWII Home Front NHP,,8,,8,"1,341","1,341",-1,-18,0,"1,322"
Russell Cave NM,,6,,7,402,402,0,-8,0,394
Sagamore Hill NHS,,18,,19,"1,581","1,581",-1,-28,372,"1,924"
Saguaro NP,,45,,100,"3,933","3,933",1,-70,0,"3,864"
Saint Croix Island IHS,,2,,2,237,237,-1,-5,0,231
Saint Croix NSR & Lower Saint Croix NSR,,47,,51,"4,012","4,012",3,-71,0,"3,944"
Saint-Gaudens NHS,,12,,13,"1,307","1,307",1,-24,0,"1,284"
Salem Maritime NHS,,31,,34,"2,622","2,622",-1,-47,0,"2,574"
Salinas Pueblo Missions NM,,19,,26,"1,426","1,426",1,-28,79,"1,478"
Salt River Bay NHP & Ecological Preserve,,0,,0,806,806,6,-11,205,"1,006"
San Antonio Missions NHP,,45,,48,"3,979","3,979",7,-75,0,"3,911"
San Francisco Maritime NHP,,72,,80,"8,033","7,663",2,-138,419,"7,946"
San Juan Island NHP,,9,,12,"1,040","1,040",0,-16,0,"1,024"
San Juan NHS,,42,,90,"3,446","3,327",75,-63,70,"3,409"
Sand Creek Massacre NHS,,8,,8,863,863,1,-19,0,845
Santa Monica Mountains NRA,,75,,99,"8,909","8,909",-1,-278,0,"8,630"
Saratoga NHP,,22,,25,"2,332","2,314",2,-41,0,"2,275"
Saugus Iron Works NHS,,8,,8,912,912,1,-19,0,894
Scotts Bluff NM,,13,,15,"1,026","1,009",1,-23,0,987
Sequoia NP & Kings Canyon NP,,179,,328,"17,306","17,306",6,-474,0,"16,838"
Shenandoah NP,,132,,204,"13,171","13,009",16,-278,0,"12,747"
Shiloh NMP,,34,,34,"2,454","2,454",2,-52,0,"2,404"
Sitka NHP,,17,,18,"2,065","2,065",27,-36,0,"2,056"
Sleeping Bear Dunes NL,,47,,82,"4,553","4,471",-60,-84,0,"4,327"
Southern Arizona Group (Hqtrs),,5,,14,"1,592","1,592",0,-20,0,"1,572"
Springfield Armory NHS,,14,,15,"1,509","1,509",-1,-26,0,"1,482"
Statue of Liberty NM & Ellis Island,,89,,145,"16,330","16,138",1,-231,"1,014","16,922"
Steamtown NHS,,54,,57,"5,861","5,814",4,-117,0,"5,701"
Stones River NB,,15,,19,"1,322","1,322",1,-25,0,"1,298"
Tallgrass Prairie NPres,,10,,11,"1,003",998,0,-19,580,"1,559"
Thaddeus Kosciuszko NMem,,0,,0,165,165,0,-2,0,163
Theodore Roosevelt Inaugural NHS,,0,,0,294,294,0,-3,0,291
Theodore Roosevelt Island NMem,,1,,1,129,129,0,-1,0,128
Theodore Roosevelt NP & International Peace Garden,,33,,44,"3,034","2,975",1,-58,0,"2,918"
Thomas Edison NHP,,28,,30,"2,959","2,959",-4,-45,0,"2,910"
Thomas Stone NHS,,9,,9,637,637,0,-10,0,627
Timpanogos Cave NM,,13,,31,"1,106","1,106",1,-23,0,"1,084"
Tonto NM,,10,,14,904,904,2,-18,193,"1,081"
Tumacacori NHP,,13,,17,"1,317","1,317",3,-23,0,"1,297"
Tuskegee Airmen NHS,,6,,6,796,796,1,-38,392,"1,151"
Tuskegee Institute NHS,,11,,12,"1,103","1,103",0,-23,0,"1,080"
Ulysses S Grant NHS,,15,,15,"1,313","1,306",-1,-24,0,"1,281"
United States Park Police:,,,,,,,,,,
Metropolitan Washington D.C.,,0,,549,"80,705","80,705",-12,"-1,341","1,800","81,152"
New York,,0,,137,"16,979","16,979",-3,-282,0,"16,694"
San Francisco,,0,,38,"4,963","4,963",0,-82,0,"4,881"
Upper Delaware Scenic & Recreational River & Middle Delaware NSR,,30,,30,"3,466","3,439",-1,-59,125,"3,504"
Valley Forge NHP,,68,,74,"7,198","7,245",4,-131,100,"7,218"
Vanderbilt Mansion NHS,,20,,21,"1,049","1,049",2,-24,324,"1,351"
Vicksburg NMP,,35,,39,"3,241","3,175",6,-60,317,"3,438"
Virgin Islands Coral Reef NM,,1,,1,446,236,6,-7,0,235
Virgin Islands NP,,49,,57,"5,153","5,153",78,-105,0,"5,126"
Voyageurs NP,,47,,69,"5,163","5,139",-747,-97,0,"4,295"
War in the Pacific NHP,,14,,15,"1,548","1,548",12,-32,0,"1,528"
Washita Battlefield NHS,,9,,9,794,794,2,-19,71,848
Weir Farm NHS,,10,,10,"1,054","1,054",0,-21,222,"1,255"
"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak
NPres, Cape Krusenstern NM, Kobuk Valley NP",,28,,29,"3,841","3,720",43,-77,116,"3,802"
Whiskeytown NRA,,47,,80,"4,507","4,507",4,-75,0,"4,436"
White Sands NM,,18,,23,"1,646","1,646",0,-34,289,"1,901"
Whitman Mission NHS,,10,,11,832,832,1,-15,132,950
William Howard Taft NHS,,8,,8,842,838,2,-13,0,827
