Column1,FY 2017 PARK AND PROGRAM SUMMARY ($000),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column2,Column11
Dayton Aviation NHP,19,,,19,"1,986","2,022",12,3,"2,037",,
De Soto NMem,8,,,8,705,714,6,0,720,,
Death Valley NP,77,,,101,"8,758","8,885",53,1,"8,939",,
Delaware Water Gap NRA,87,,,115,"9,557","9,743",69,20,"9,832",,
Denali NP&Pres,104,,,175,"13,809","14,531",84,21,"14,636",,
Devils Postpile NM,5,,,8,607,620,6,0,626,,
Devils Tower NM,14,,,25,"1,372","1,401",8,1,"1,410",,
Dinosaur NM,33,,,47,"3,568","3,643",20,0,"3,663",,
Dry Tortugas NP,15,,,18,"2,066","2,083",12,2,"2,097",,
Ebey's Landing NHR,1,,,2,346,348,1,1,350,,
Edgar Allan Poe NHS,0,,,0,387,394,3,0,397,,
Effigy Mounds NM,15,,,16,"1,181","1,232",9,0,"1,241",,
Eisenhower NHS,9,,,9,"1,088","1,112",9,2,"1,123",,
El Malpais NM,16,,,22,"1,742","1,767",9,0,"1,776",,
El Morro NM,11,,,11,890,919,8,0,927,,
Eleanor Roosevelt NHS,6,,,6,836,847,7,1,855,,
Eugene O'Neill NHS,7,,,8,683,699,5,3,707,,
Everglades NP,125,,,128,"16,584","16,835",104,26,"16,965",,
Fire Island NS,47,,,52,"4,905","5,021",35,7,"5,063",,
First Ladies NHS,0,,,0,987,988,1,0,989,,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
First State NM,0,,,0,214,364,2,351,717,,
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon",,,,,,,,,,,
"NM, Wupatki NM",34,,,51,"3,569","3,621",22,0,"3,643",,
Flight 93 NMem,14,,,15,"1,144","1,577",11,0,"1,588",,
Florissant Fossil Beds NM,12,,,15,980,"1,003",7,0,"1,010",,
Fort Caroline NMem & Timucuan Ecological & Historic Preserve,28,,,28,"2,758","2,795",19,0,"2,814",,
Fort Davis NHS,14,,,17,"1,334","1,356",9,0,"1,365",,
Fort Donelson NB,13,,,15,"1,467","1,496",10,0,"1,506",,
Fort Frederica NM,7,,,8,859,874,4,0,878,,
Fort Laramie NHS,19,,,21,"1,666","1,695",10,0,"1,705",,
Fort Larned NHS,10,,,10,"1,033","1,051",8,0,"1,059",,
Fort McHenry NM & Historic Shrine,20,,,25,"2,559","2,591",14,6,"2,611",,
Fort Monroe NM,2,,,2,505,509,2,490,"1,001",,
Fort Necessity NB,15,,,16,"1,574","1,601",12,2,"1,615",,
Fort Point NHS,4,,,5,527,531,2,1,534,,
Fort Pulaski NM,12,,,17,"1,363","1,377",7,0,"1,384",,
Fort Scott NHS,14,,,15,"1,316","1,337",9,0,"1,346",,
Fort Smith NHS,11,,,12,"1,067","1,081",7,0,"1,088",,
Fort Stanwix NM,17,,,19,"1,578","1,608",10,0,"1,618",,
Fort Sumter NM,14,,,18,"2,142","2,167",10,0,"2,177",,
Fort Union NM,15,,,18,"1,229","1,257",8,0,"1,265",,
Fort Union Trading Post NHS,8,,,8,817,833,5,0,838,,
Fort Vancouver NHS,19,,,27,"1,937","1,972",12,3,"1,987",,
Fossil Butte NM,7,,,7,738,752,5,0,757,,
Frederick Law Olmsted NHS,29,,,29,"1,765","1,801",11,5,"1,817",,
Fredericksburg & Spotsylvania NMP,40,,,41,"4,456","4,538",31,9,"4,578",,
Friendship Hill NHS,4,,,4,561,573,5,1,579,,
Gates of the Arctic NP&Pres,35,,,46,"3,025","3,172",18,10,"3,200",,
Gateway NRA,227,,,291,"24,755","25,346",172,57,"25,575",,
Gateway NRA - USPP Operations,0,,,52,"8,615","8,762",58,0,"8,820",,
Gauley River NRA,2,,,2,803,815,5,0,820,,
George Rogers Clark NHP,9,,,9,900,917,6,0,923,,
George Washington Birthplace NM,16,,,16,"1,689","1,721",10,1,"1,732",,
George Washington Carver NM,13,,,13,"1,457","1,476",9,0,"1,485",,
George Washington Memorial Parkway,109,,,114,"13,019","13,231",81,20,"13,332",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Gettysburg NMP,67,,,75,"6,811","6,938",49,17,"7,004",,
Gila Cliff Dwellings NM,2,,,2,378,378,2,0,380,,
Glacier Bay NP&Pres,35,,,51,"4,837","5,073",35,13,"5,121",,
Glacier NP,136,,,241,"13,481","13,823",88,0,"13,911",,
Glen Canyon NRA,98,,,135,"11,621","11,802",63,1,"11,866",,
Golden Gate NRA,191,,,269,"25,692","26,070",177,91,"26,338",,
Golden Gate NRA - USPP Operations,0,,,29,"5,664","5,777",33,0,"5,810",,
Golden Spike NHS,12,,,13,"1,078","1,097",7,0,"1,104",,
Governor's Island NM,11,,,11,"1,480","1,514",8,2,"1,524",,
Grand Canyon NP,177,,,390,"21,486","21,733",133,151,"22,017",,
Grand Portage NM,12,,,12,"1,343","1,371",8,0,"1,379",,
Grand Teton NP,110,,,230,"12,369","12,561",77,0,"12,638",,
Grant-Kohrs Ranch NHS,16,,,18,"1,482","1,510",10,0,"1,520",,
Great Basin NP,26,,,47,"2,744","2,799",19,1,"2,819",,
Great Egg Harbor Scenic & Recreational River,0,,,0,172,172,0,0,172,,
Great Sand Dunes NP&Pres,19,,,24,"2,304","2,344",14,1,"2,359",,
Great Smoky Mountains NP,166,,,263,"19,111","19,426",117,0,"19,543",,
Guadalupe Mountains NP,24,,,31,"2,901","2,937",16,0,"2,953",,
Guilford Courthouse NMP,10,,,11,"1,113","1,132",8,0,"1,140",,
Gulf Islands NS,57,,,74,"7,191","7,318",40,0,"7,358",,
Hagerman Fossil Beds NM,9,,,10,928,943,5,0,948,,
Haleakala NP,45,,,70,"5,382","5,596",36,9,"5,641",,
Hampton NHS,6,,,6,"1,194","1,211",5,2,"1,218",,
Harpers Ferry NHP,61,,,74,"6,654","6,737",46,18,"6,801",,
"Harriet Tubman Underground Railroad NM, Harriet Tubman NHP",0,,,0,194,594,2,110,706,,
Harry S Truman NHS,10,,,11,"1,249","1,265",6,2,"1,273",,
Hawaii Volcanoes NP,69,,,120,"7,551","7,871",54,12,"7,937",,
Herbert Hoover NHS,14,,,14,"1,376","1,418",9,0,"1,427",,
Home of Franklin D Roosevelt NHS,19,,,26,"3,627","3,694",25,4,"3,723",,
Homestead NM of America,14,,,15,"1,259","1,284",9,0,"1,293",,
Honouliuli NM,0,,,0,0,180,0,137,317,,
Hopewell Culture NHP,15,,,16,"1,332","1,362",9,2,"1,373",,
Hopewell Furnace NHS,10,,,11,"1,401","1,425",10,2,"1,437",,
Horseshoe Bend NMP,7,,,7,793,801,5,0,806,,
Hot Springs NP,44,,,50,"4,577","4,652",29,0,"4,681",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Hovenweep NM,4,,,6,546,556,2,0,558,,
Hubbell Trading Post NHS,12,,,12,890,906,7,0,913,,
Independence NHP,187,,,192,"23,412","23,710",133,33,"23,876",,
Indiana Dunes NL,90,,,128,"9,275","9,447",65,17,"9,529",,
Isle Royale NP,30,,,41,"4,326","4,661",24,0,"4,685",,
James A Garfield NHS,8,,,10,755,772,5,1,778,,
Jean Lafitte NHP & Pres,52,,,52,"5,536","5,622",33,1,"5,656",,
Jefferson National Expansion Memorial,103,,,117,"9,905","10,070",70,14,"10,154",,
Jewel Cave NM,16,,,19,"1,181","1,229",9,0,"1,238",,
Jimmy Carter NHS,17,,,17,"1,641","1,661",10,0,"1,671",,
John D Rockefeller Jr Memorial Parkway,0,,,0,518,526,6,0,532,,
John Day Fossil Beds NM,15,,,17,"1,605","1,639",10,0,"1,649",,
John F Kennedy NHS,0,,,0,509,517,5,0,522,,
John Muir NHS,10,,,13,"1,017","1,034",8,2,"1,044",,
Johnstown Flood NMem,6,,,6,805,817,4,0,821,,
Joshua Tree NP,52,,,100,"6,159","6,245",40,18,"6,303",,
Kalaupapa NHP,34,,,39,"4,068","4,520",26,363,"4,909",,
Kaloko-Honokohau NHP,17,,,21,"1,879","1,956",12,3,"1,971",,
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",28,,,38,"3,981","4,327",23,6,"4,356",,
Kenai Fjords NP,32,,,42,"3,855","4,066",27,6,"4,099",,
Kennesaw Mountain NBP,12,,,14,"1,684","1,703",9,2,"1,714",,
Keweenaw NHP,15,,,17,"1,592","1,741",10,1,"1,752",,
Kings Mountain NMP,10,,,13,"1,149","1,166",5,2,"1,173",,
Klondike Gold Rush NHP,28,,,40,"3,048","3,222",21,5,"3,248",,
Klondike Gold Rush - Seattle Unit NHP,8,,,9,721,735,5,2,742,,
Knife River Indian Village NHS,10,,,10,870,894,7,0,901,,
Lake Clark NP&Pres,22,,,27,"3,337","3,493",18,6,"3,517",,
Lake Mead NRA,126,,,213,"18,888","19,616",107,34,"19,757",,
Grand Canyon Parashant NM,11,,,11,"1,637","1,653",9,0,"1,662",,
Lake Meredith NRA & Alibates Flint Quarry NM,26,,,35,"3,140","3,186",17,0,"3,203",,
Lake Roosevelt NRA,44,,,54,"5,975","6,076",30,0,"6,106",,
Lassen Volcanic NP,52,,,74,"5,271","5,385",33,1,"5,419",,
Lava Beds NM,23,,,37,"2,166","2,370",14,0,"2,384",,
Lewis & Clark NHP,18,,,20,"1,658","1,693",11,0,"1,704",,
Lincoln Boyhood NMem,12,,,13,"1,036","1,052",8,0,"1,060",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Lincoln Home NHS,31,,,36,"2,814","2,872",19,1,"2,892",,
Little Bighorn Battlefield NM,16,,,20,"1,226","1,250",10,0,"1,260",,
Little River Canyon NPres,16,,,19,"1,431","1,462",9,0,"1,471",,
Little Rock Central High School NHS,12,,,12,975,984,6,0,990,,
Longfellow House - Washington's Headquarters NHS,0,,,0,"1,204","1,222",8,0,"1,230",,
Lowell NHP,73,,,78,"8,351","8,492",53,10,"8,555",,
Lyndon B Johnson NHP,38,,,40,"3,874","3,926",23,0,"3,949",,
Maggie L Walker NHS,7,,,7,616,627,4,1,632,,
Mammoth Cave NP,63,,,102,"6,431","6,588",44,1,"6,633",,
Manassas NBP,24,,,27,"3,140","3,177",20,7,"3,204",,
Manhattan Project NHP,0,,,0,0,341,0,350,691,,
Manhattan Sites (Hqtrs),15,,,16,"1,003","1,039",11,3,"1,053",,
Castle Clinton NM,5,,,5,613,622,3,1,626,,
Federal Hall NMem,4,,,4,"1,089","1,094",2,1,"1,097",,
General Grant NMem,3,,,3,906,912,2,1,915,,
Hamilton Grange NMem,4,,,4,174,180,3,1,184,,
Saint Paul's Church NHS,1,,,1,283,284,0,1,285,,
Theodore Roosevelt Birthplace NHS,2,,,2,237,241,2,1,244,,
Manzanar NHS,14,,,16,"1,304","1,329",10,0,"1,339",,
Marsh-Billings-Rockefeller NHP,17,,,22,"2,058","2,093",12,0,"2,105",,
"Martin Luther King, Jr NHS",29,,,30,"4,213","4,279",21,15,"4,315",,
Martin Van Buren NHS,13,,,13,"1,239","1,271",9,1,"1,281",,
Mesa Verde NP,56,,,108,"6,505","6,602",40,1,"6,643",,
Minidoka NHS,3,,,3,450,459,2,0,461,,
Minute Man NHP,22,,,23,"2,806","2,861",17,4,"2,882",,
Minuteman Missile NHS,7,,,8,695,716,4,0,720,,
Mississippi NRRA,21,,,22,"1,955","1,997",14,4,"2,015",,
Missouri NRR,6,,,6,861,873,4,0,877,,
Mojave NPres,37,,,44,"4,929","5,336",32,10,"5,378",,
Monocacy NB,12,,,15,"1,536","1,563",11,4,"1,578",,
Montezuma Castle NM & Tuzigoot NM,16,,,35,"1,661","1,680",12,1,"1,693",,
Moores Creek NB,7,,,7,677,687,5,0,692,,
Morristown NHP,24,,,25,"2,627","2,663",18,6,"2,687",,
Mount Rainier NP,111,,,177,"12,481","12,735",84,21,"12,840",,
Mount Rushmore NMem,40,,,55,"4,036","4,082",28,0,"4,110",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Muir Woods NM,6,,,11,445,453,6,2,461,,
Natchez NHP,13,,,15,"1,905","1,924",8,0,"1,932",,
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB",99,,,110,"11,518","11,728",63,0,"11,791",,
National Capital Parks-East,154,,,157,"15,989","16,641",107,21,"16,769",,
National Mall & Memorial Parks,286,,,290,"33,810","34,553",208,41,"34,802",,
National Park of American Samoa,13,,,16,"1,933","2,013",9,4,"2,026",,
National Park Service Liaison to the White House,65,,,78,"9,218","9,310",54,12,"9,376",,
National Parks of New York Harbor (Hqtrs),10,,,10,792,812,11,3,826,,
Natural Bridges NM,6,,,10,525,534,4,0,538,,
Navajo NM,9,,,10,"1,085","1,112",7,0,"1,119",,
New Bedford Whaling NHP,9,,,10,934,954,5,2,961,,
New Orleans Jazz NHP,7,,,7,"1,290","1,313",7,0,"1,320",,
New River Gorge NR,75,,,82,"7,441","7,575",46,0,"7,621",,
Nez Perce NHP,20,,,20,"2,556","2,591",15,0,"2,606",,
Nicodemus NHS,6,,,6,676,682,4,0,686,,
Ninety Six NHS,4,,,4,461,473,3,0,476,,
Niobrara NSR,7,,,7,"1,002","1,026",5,0,"1,031",,
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",65,,,111,"7,388","7,551",47,14,"7,612",,
Obed WSR,9,,,10,"1,031","1,046",7,0,"1,053",,
Ocmulgee NM,13,,,15,"1,288","1,320",9,0,"1,329",,
Olympic NP,119,,,190,"12,877","13,142",89,1,"13,232",,
Oregon Caves NM & Pres,16,,,22,"1,537","1,668",10,100,"1,778",,
Organ Pipe Cactus NM,37,,,44,"4,404","4,468",26,7,"4,501",,
Ozark NSR,57,,,76,"6,649","6,767",40,0,"6,807",,
Padre Island NS,51,,,61,"5,668","5,769",34,0,"5,803",,
Palo Alto Battlefield NHS,9,,,9,940,953,5,0,958,,
Paterson Great Falls NHP,5,,,5,562,579,5,312,896,,
Pea Ridge NMP,14,,,15,"1,232","1,250",8,0,"1,258",,
Pecos NHP,21,,,24,"2,207","2,244",14,0,"2,258",,
Perry's Victory & International Peace Memorial,11,,,14,"1,091","1,122",6,0,"1,128",,
Petersburg NB,33,,,34,"3,405","3,456",24,4,"3,484",,
Petrified Forest NP,31,,,43,"3,542","3,596",21,0,"3,617",,
Petroglyph NM,18,,,18,"1,748","1,771",11,2,"1,784",,
Pictured Rocks NL,25,,,32,"2,628","2,693",17,0,"2,710",,
Pinnacles NM,33,,,42,"3,500","3,582",24,9,"3,615",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Pipe Spring NM,14,,,15,"1,238","1,273",8,2,"1,283",,
Pipestone NM,10,,,11,"1,101","1,121",7,0,"1,128",,
Point Reyes NS,62,,,109,"7,577","7,674",54,24,"7,752",,
Port Chicago Naval Magazine NMem,1,,,2,190,195,2,101,298,,
Potomac Heritage NST,1,,,1,399,403,2,1,406,,
Prince William Forest Park,26,,,39,"3,425","3,487",20,7,"3,514",,
Pullman NM,1,,,1,0,180,0,341,521,,
Pu'uhonua O Honaunau NHP,15,,,22,"1,869","1,945",12,2,"1,959",,
Puukohola Heiau NHS,11,,,12,962,"1,008",7,1,"1,016",,
Rainbow Bridge NM,0,,,0,140,141,0,0,141,,
Redwood NP,93,,,116,"8,894","9,071",62,0,"9,133",,
Richmond NBP,29,,,33,"3,190","3,233",21,4,"3,258",,
Rio Grande WSR,0,,,0,192,195,2,0,197,,
River Raisin NBP,7,,,7,604,616,5,201,822,,
Rock Creek Park,54,,,55,"8,929","9,031",44,11,"9,086",,
Rocky Mountain NP,117,,,246,"12,546","12,772",86,26,"12,884",,
Roger Williams NMem,4,,,4,672,683,4,1,688,,
Ronald Reagan Boyhood Home NHS^{3},0,,,0,71,71,0,0,71,,
Rosie the Riveter WWII Home Front NHP,12,,,15,"1,293","1,313",9,6,"1,328",,
Russell Cave NM,4,,,4,387,399,2,0,401,,
Sagamore Hill NHS,15,,,17,"1,536","1,564",11,3,"1,578",,
Saguaro NP,37,,,63,"3,634","3,688",25,17,"3,730",,
Saint Croix Island IHS,2,,,2,228,235,2,0,237,,
Saint Croix NSR & Lower Saint Croix NSR,34,,,36,"3,877","3,942",25,0,"3,967",,
Saint-Gaudens NHS,12,,,14,"1,273","1,300",8,0,"1,308",,
Salem Maritime NHS,21,,,21,"2,537","2,575",16,3,"2,594",,
Salinas Pueblo Missions NM,19,,,21,"1,371","1,403",10,0,"1,413",,
San Antonio Missions NHP,40,,,43,"3,823","3,870",26,0,"3,896",,
San Francisco Maritime NHP,64,,,70,"7,379","7,493",58,19,"7,570",,
San Juan Island NHP,9,,,11,"1,002","1,024",6,0,"1,030",,
San Juan NHS,34,,,86,"3,444","3,470",23,10,"3,503",,
Sand Creek Massacre NHS,8,,,8,878,891,5,0,896,,
Santa Monica Mountains NRA,67,,,85,"8,592","8,680",52,21,"8,753",,
Saratoga NHP,23,,,26,"2,260","2,298",16,3,"2,317",,
Saugus Iron Works NHS,7,,,7,882,906,4,1,911,,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,FTE,1,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Scotts Bluff NM,10,,,14,971,985,7,0,992,,
Sequoia NP & Kings Canyon NP,174,,,295,"16,738","17,109",115,1,"17,225",,
Shenandoah NP,112,,,175,"12,096","12,287",76,1,"12,364",,
Shiloh NMP,27,,,28,"2,372","2,412",17,0,"2,429",,
Sitka NHP,16,,,19,"2,119","2,213",14,3,"2,230",,
Sleeping Bear Dunes NL,42,,,76,"4,257","4,342",30,0,"4,372",,
Southern Arizona Group (Hqtrs),8,,,13,"1,397","1,403",7,3,"1,413",,
Springfield Armory NHS,11,,,11,"1,455","1,477",9,2,"1,488",,
Statue of Liberty NM & Ellis Island,72,,,120,"15,661","15,775",60,22,"15,857",,
Statue of Liberty NM & Ellis Island USPP Operations,0,,,83,"11,292","11,482",93,0,"11,575",,
Steamtown NHS,48,,,50,"5,610","5,675",34,0,"5,709",,
Stones River NB,10,,,11,"1,277","1,294",7,0,"1,301",,
Tallgrass Prairie NPres,9,,,9,963,"1,017",7,0,"1,024",,
Thaddeus Kosciuszko NMem,0,,,0,161,164,2,0,166,,
Theodore Roosevelt Inaugural NHS,0,,,0,285,285,0,0,285,,
Theodore Roosevelt NP & International Peace Garden,29,,,38,"2,866","2,985",19,52,"3,056",,
Thomas Edison NHP,24,,,25,"2,872","2,919",21,6,"2,946",,
Thomas Stone NHS,2,,,2,615,624,5,1,630,,
Timpanogos Cave NM,13,,,26,"1,102","1,134",7,0,"1,141",,
Tonto NM,8,,,10,872,883,5,0,888,,
Tule Springs Fossil Beds NM,0,,,0,0,180,0,311,491,,
Tumacacori NHP,11,,,14,"1,287","1,300",7,0,"1,307",,
Tuskegee Airmen NHS,5,,,5,948,956,4,0,960,,
Tuskegee Institute NHS,10,,,10,"1,082","1,098",7,0,"1,105",,
Ulysses S Grant NHS,10,,,10,"1,256","1,272",7,1,"1,280",,
Upper Delaware Scenic & Recreational River & Middle Delaware,,,,,,,,,,,
NSR,27,,,28,"3,348","3,400",20,5,"3,425",,
Valles Caldera NPres,0,,,0,0,"3,354",20,2,"3,376",,
Valley Forge NHP,52,,,54,"6,244","6,348",38,10,"6,396",,
Vanderbilt Mansion NHS,29,,,32,"1,062","1,078",7,6,"1,091",,
Vicksburg NMP,36,,,40,"3,154","3,232",21,0,"3,253",,
Virgin Islands Coral Reef NM,0,,,0,449,454,2,0,456,,
Virgin Islands NP,41,,,49,"5,001","5,050",30,16,"5,096",,
Voyageurs NP,41,,,59,"4,222","4,318",28,0,"4,346",,
Waco Mammoth NM,0,,,0,0,180,0,195,375,,
