"Operation of the National Park System Organizations","FY 2022
Park Base
FTE","FY 2022
Total FTE","FY 2022
Actual","FY 2023
Enacted","FY 2024
Fixed Costs
& Internal
Transfers","FY 2024
Program
Changes","FY 2024
Request"
"Park Administrative Support Functions","","","","","","",""
"Accounting Operations Center","0","113","19564","20202","1125","0","21327"
"Park Concession Program","0","15","4759","4850","158","0","5008"
"Human Resources Operation Center","0","60","9188","9476","459","0","9935"
"Information Technology Programs","0","93","52526","62060","1068","9386","72514"
"Major Acquisition Buying Offices","0","224","26898","27646","1656","0","29302"
"Servicing Human Resources Office","0","237","29001","30125","1831","0","31956"
"Learning and Development Program","0","55","15193","15584","510","0","16094"
"Subtotal, Park Administrative Support Functions","0","797","157129","169943","6807","9386","186136"
"Park Natural Resource Support Functions","","","","","","",""
"Air Quality Program","0","25","8172","8335","267","0","8602"
"Biological Resource Management Program","0","48","9365","9488","495","2000","11983"
"Geologic Resource Center","0","18","4405","4506","194","2500","7200"
"Cooperative Landscape Conservation","0","8","1452","1506","95","1500","3101"
"Inventory and Monitoring Program","0","255","46214","52654","2441","3650","58745"
"Natural Sounds Program","0","19","3648","3749","176","0","3925"
"Resource Damage Assessment & Restoration","0","19","1424","1473","80","0","1553"
"Social Science Program","0","8","1532","5076","83","0","5159"
"Everglades Restoration and Research:","","","","","","",""
"South Florida Comprehensive Ecosystem Restoration Plan","0","24","5070","5219","154","0","5373"
"South Florida Critical Ecosystem Studies Initiative","0","9","4014","4068","27","0","4095"
"South Florida Task Force Support","0","3","2368","2374","16","0","2390"
"Water Resources Program","0","51","13270","13557","496","1500","15553"
"Subtotal, Park Natural Resource Support Functions","0","487","100934","112005","4524","11150","127679"
"Park Cultural Resource Support Functions","","","","","","",""
"Field Resource Centers:","","","","","","",""
"Midwest Archeological Center","0","22","1439","1500","99","0","1599"
"National Capital Museum Resource Center","0","7","692","711","42","0","753"
"Southeast Archeological Center","0","17","1094","1120","61","0","1181"
"Western Archeological Center","0","10","1334","1372","63","0","1435"
"National Networks","","","","","","",""
"African American Civil Rights Network","0","0","5375","5384","0","0","5384"
"National Underground Railroad to Freedom Network","0","0","2500","2505","1","0","2506"
"Reconstruction Era National Historic Network","0","4","475","627","28","0","655"
"Japanese American World War II History Network","0","0","0","0","0","250","250"
"World War II Heritage Cities Network","0","0","475","627","0","0","627"
"Cultural Resources Project Support","0","17","3198","3198","0","0","3198"
"Subtotal, Park Cultural Resource Support Functions","0","77","16582","17044","294","250","17588"
"Park Facility Maintenance Support Functions","","","","","","",""
"D.C. Water & Sewer Program","0","0","12313","12313","0","0","12313"
"Land Use Planning","0","0","150","150","0","0","150"
"Facility Management Program Support:","","","","","","",""
"Enterprise Facility Management Software System","0","11","7180","7280","71","0","7351"
"Asset Management Program","0","20","9128","9232","129","0","9361"
"Maintenance Project Planning","0","0","12292","12292","556","0","12848"
"Subtotal, Park Facility Maintenance Support Functions","0","31","41063","41267","756","0","42023"
"Park Interpretation & Education Support Functions","","","","","","",""
"Informational Publications","0","20","3477","3514","177","625","4316"
"Interpretation and Education Programs","0","6","1996","4458","72","31000","35530"
"Subtotal, Park Interpretation & Education Support Functions","0","26","5473","7972","249","31625","39846"
"Park Visitor Protection Support Functions","","","","","","",""
"Public Health Program","0","3","3525","3747","36","1375","5158"
"Special Agents (Criminal Investigators)","0","39","7632","7888","415","1850","10153"
"Fire and Aviation Management Program","0","47","1733","1770","80","0","1850"
"SW Border Radio Communications Program","0","0","582","582","0","0","582"
"Federal Law Enforcement Training Center","0","17","5193","7484","175","0","7659"
"Office of Public Trust - Body-Worn Cameras Program","0","5","4100","4100","60","0","4160"
"United States Park Police Headquarters","0","91","26256","28407","1152","0","29559"
"Subtotal, Park Visitor Protection Support Functions","0","202","49021","53978","1918","3225","59121"
"Park Partnership Support Functions","","","","","","",""
"Volunteers In Parks Program","0","2","6927","7711","23","0","7734"
"Youth Partnership Programs","0","7","784","809","35","0","844"
"Subtotal, Park Partnership Support Functions","0","9","7711","8520","58","0","8578"
"Total, Program/Support Offices","0","1629","377913","410729","14606","55636","480971"
"PROJECT FUNDING","","","","","","",""
"Natural Resources Project Funds","","","","","","",""
"Natural Resources","0","0","16316","17816","0","0","17816"
"SW Border Resource Restoration Program","0","0","971","971","0","0","971"
"Subtotal, Natural Resources Project Funds","0","0","17287","18787","0","0","18787"
"Cultural Resources Project Funds","","","","","","",""
"Cultural Resources","0","0","23985","23985","0","0","23985"
"Subtotal, Cultural Resources Project Funds","0","0","23985","23985","0","0","23985"
"Facility Maintenance Project Funds","","","","","","",""
"Cyclic Maintenance","0","0","188184","188184","0","0","188184"
"Emergency Management and Damage Program","0","0","2712","2712","0","0","2712"
"Environmental Management Program","0","0","6113","6113","0","0","6113"
"Repair/Rehabilitation Projects","0","0","135980","135980","0","0","135980"
"Subtotal, Facility Maintenance Project Funds","0","0","332989","332989","0","0","332989"
"Interpretation & Education Project Funds","","","","","","",""
"Interpretation & Education Program","0","0","1848","3848","0","0","3848"
"Subtotal, Interpretation & Education Project Funds","0","0","1848","3848","0","0","3848"
"Recreation & Partnership Project Funds","","","","","","",""
"Challenge Cost Share Program","0","0","386","386","0","0","386"
"Connecting National Trails to Park Program","0","0","925","925","0","0","925"
"Recreational Access Program","0","0","3350","3350","0","0","3350"
"Youth Partnership Program","0","0","14546","14546","0","0","14546"
"Subtotal, Recreation & Partnership Project Funds","0","0","19207","19207","0","0","19207"
"Total, Projects","0","0","395316","398816","0","0","398816"
"Total, Park Management","0","0","2559741","2705791","97251","144926","2947968"
"External Administrative Costs","0","0","207287","217633","23302","854","241789"
"Total, Operation of the National Park System","0","0","2767028","2923424","120553","145780","3189757"
