"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11"
"Buffalo NR","","59","","85","5,754","5,942","85","0","6,027",""
"Cabrillo NM","","16","","21","1,669","1,679","24","0","1,703",""
"Canaveral NS","","28","","39","3,133","3,181","41","0","3,222",""
"Cane River Creole NHP","","12","","13","1,124","1,130","17","0","1,147",""
"Canyon de Chelly NM","","22","","28","1,966","1,977","30","0","2,007",""
"Canyonlands NP","","60","","90","6,202","6,237","82","0","6,319",""
"Cape Cod NS","","64","","107","7,504","7,545","111","0","7,656",""
"Cape Hatteras Group - Cape Hatteras NS, Fort Raleigh NHS, Wright","","","","","","","","","",""
"Brothers NMem","","90","","137","9,513","9,660","127","0","9,787",""
"Cape Lookout NS","","21","","40","2,462","2,506","31","0","2,537",""
"Capitol Reef NP","","24","","32","2,275","2,357","36","0","2,393",""
"Capulin Volcano NM","","8","","9","723","741","11","0","752",""
"Carl Sandburg Home NHS","","12","","14","1,229","1,236","18","0","1,254",""
"Carlsbad Caverns NP","","63","","76","5,689","5,721","81","0","5,802",""
"Casa Grande Ruins NM & Hohokam Pima NM","","8","","10","830","836","12","0","848",""
"Castillo de San Marcos NM & Fort Matanzas NM","","19","","41","2,087","2,098","30","0","2,128",""
"Catoctin Mountain Park","","28","","30","3,397","3,449","48","0","3,497",""
"Cedar Breaks NM","","7","","11","678","681","9","0","690",""
"Cedar Creek and Belle Grove NHP","","6","","6","873","876","10","0","886",""
"César E. Chávez NM","","0","","0","340","369","0","0","369",""
"Chaco Culture NHP","","19","","28","2,012","2,021","27","0","2,048",""
"Chamizal NMem","","20","","21","2,326","2,393","29","0","2,422",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Channel Islands NP","","62","","69","7,240","7,331","106","0","7,437",""
"Charles Pinckney NHS","","5","","5","532","535","8","0","543",""
"Charles Young Buffalo Soldiers NM","","0","","0","180","209","1","300","510",""
"Chattahoochee River NRA","","29","","38","3,316","3,468","47","0","3,515",""
"Chesapeake & Ohio Canal NHP","","73","","89","9,339","9,547","128","0","9,675",""
"Chickamauga & Chattanooga NMP","","28","","29","3,349","3,366","40","0","3,406",""
"Chickasaw NRA","","39","","42","3,775","3,850","50","0","3,900",""
"Chiricahua NM & Fort Bowie NHS","","17","","24","1,720","1,758","24","0","1,782",""
"Christiansted NHS & Buck Island Reef NM","","19","","19","1,814","1,822","21","0","1,843",""
"City of Rocks NRes","","0","","0","454","454","0","0","454",""
"Colonial NHP","","63","","66","6,717","6,753","92","0","6,845",""
"Colorado NM","","17","","32","1,870","1,880","25","0","1,905",""
"Coltsville NHP^{5}","","0","","0","0","0","0","180","180",""
"Congaree NP","","19","","21","1,858","1,869","27","0","1,896",""
"Coronado NMem","","14","","18","1,724","1,746","24","0","1,770",""
"Cowpens NB","","11","","13","827","864","12","0","876",""
"Crater Lake NP","","51","","74","5,265","5,348","79","0","5,427",""
"Craters of the Moon NM&Pres","","17","","21","1,575","1,584","25","0","1,609",""
"Cumberland Gap NHP","","33","","45","3,478","3,497","45","0","3,542",""
"Cumberland Island NS","","21","","28","2,576","2,604","33","330","2,967",""
"Curecanti NRA","","44","","53","4,026","4,077","59","180","4,316",""
"Cuyahoga Valley NP","","95","","110","10,769","10,825","155","0","10,980",""
"Dayton Aviation NHP","","19","","20","1,947","1,958","27","0","1,985",""
"De Soto NMem","","8","","8","702","705","10","0","715",""
"Death Valley NP","","76","","108","8,682","8,758","114","0","8,872",""
"Delaware Water Gap NRA","","87","","110","9,431","9,585","145","0","9,730",""
"Denali NP&Pres","","110","","185","13,743","13,909","193","467","14,569",""
"Devils Postpile NM","","5","","7","604","607","7","0","614",""
"Devils Tower NM","","13","","19","1,334","1,372","17","0","1,389",""
"Dinosaur NM","","32","","45","3,397","3,568","45","0","3,613",""
"Dry Tortugas NP","","12","","13","1,884","1,890","21","0","1,911",""
"Ebey's Landing NHR","","1","","2","345","346","3","0","349",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Edgar Allan Poe NHS","","0","","0","384","387","7","0","394",""
"Effigy Mounds NM","","14","","15","1,175","1,181","18","0","1,199",""
"Eisenhower NHS","","8","","9","1,081","1,088","18","0","1,106",""
"El Malpais NM","","15","","21","1,732","1,742","21","0","1,763",""
"El Morro NM","","10","","11","885","890","13","0","903",""
"Eleanor Roosevelt NHS","","8","","8","830","836","14","0","850",""
"Eugene O'Neill NHS","","7","","8","680","683","11","0","694",""
"Everglades NP","","130","","131","16,612","16,760","220","0","16,980",""
"Fire Island NS","","47","","59","4,820","4,919","76","0","4,995",""
"First Ladies NHS","","0","","0","987","987","2","0","989",""
"First State NM","","0","","0","200","214","0","150","364",""
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM,","","","","","","","","","",""
"Wupatki NM","","35","","53","3,522","3,569","49","0","3,618",""
"Flight 93 NMem","","12","","12","1,045","1,144","17","400","1,561",""
"Florissant Fossil Beds NM","","11","","13","911","980","14","0","994",""
"Fort Caroline NMem & Timucuan Ecological & Historic Preserve","","28","","28","2,742","2,758","39","0","2,797",""
"Fort Davis NHS","","14","","18","1,313","1,334","19","0","1,353",""
"Fort Donelson NB","","14","","17","1,459","1,467","21","0","1,488",""
"Fort Frederica NM","","7","","7","855","859","11","0","870",""
"Fort Laramie NHS","","18","","21","1,656","1,666","22","0","1,688",""
"Fort Larned NHS","","10","","10","995","1,079","15","0","1,094",""
"Fort McHenry NM & Historic Shrine","","21","","28","2,504","2,559","32","0","2,591",""
"Fort Monroe NM","","2","","2","489","505","5","0","510",""
"Fort Necessity NB","","15","","15","1,565","1,574","24","0","1,598",""
"Fort Point NHS","","4","","4","526","527","4","0","531",""
"Fort Pulaski NM","","13","","17","1,356","1,363","18","0","1,381",""
"Fort Scott NHS","","14","","15","1,308","1,316","20","0","1,336",""
"Fort Smith NHS","","12","","13","1,061","1,067","16","0","1,083",""
"Fort Stanwix NM","","17","","18","1,556","1,578","21","0","1,599",""
"Fort Sumter NM","","19","","20","2,131","2,142","26","0","2,168",""
"Fort Union NM","","16","","19","1,209","1,229","19","0","1,248",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Fort Union Trading Post NHS","","7","","8","811","817","10","0","827",""
"Fort Vancouver NHS","","18","","28","1,927","1,937","27","0","1,964",""
"Fossil Butte NM","","7","","8","735","738","11","0","749",""
"Frederick Law Olmsted NHS","","31","","31","1,755","1,765","26","0","1,791",""
"Fredericksburg & Spotsylvania NMP","","41","","42","4,373","4,456","68","0","4,524",""
"Friendship Hill NHS","","4","","4","558","561","8","0","569",""
"Gates of the Arctic NP&Pres","","38","","46","3,012","3,025","41","99","3,165",""
"Gateway NRA","","234","","297","24,537","24,769","369","0","25,138",""
"[United States Park Police Operations]","","[0]","","[68]","[8,567]","[8,615]","[166]","[0]","[8,781]",""
"Gauley River NRA","","2","","2","797","803","12","0","815",""
"George Rogers Clark NHP","","10","","10","895","900","12","0","912",""
"George Washington Birthplace NM","","19","","19","1,667","1,675","21","0","1,696",""
"George Washington Carver NM","","15","","15","1,450","1,457","20","0","1,477",""
"George Washington Memorial Parkway^{4}","","110","","116","12,986","13,149","174","0","13,323",""
"Gettysburg NMP","","68","","77","6,757","6,811","106","0","6,917",""
"Gila Cliff Dwellings NM","","1","","2","377","378","2","0","380",""
"Glacier Bay NP&Pres","","36","","79","4,813","4,837","70","170","5,077",""
"Glacier NP","","130","","232","13,324","13,481","192","0","13,673",""
"Glen Canyon NRA","","97","","144","11,577","11,631","139","0","11,770",""
"Golden Gate NRA^{4}","","202","","284","25,246","25,692","379","0","26,071",""
"[United States Park Police Operations]","","[0]","","[53]","[5,633]","[5,664]","[128]","[0]","[5,792]",""
"Golden Spike NHS","","12","","13","1,058","1,078","16","0","1,094",""
"Governor's Island NM","","11","","11","1,445","1,508","18","0","1,526",""
"Grand Canyon NP","","185","","439","21,148","21,486","301","0","21,787",""
"Grand Portage NM","","12","","12","1,337","1,343","16","0","1,359",""
"Grand Teton NP","","111","","223","12,275","12,369","171","0","12,540",""
"Grant-Kohrs Ranch NHS","","17","","19","1,474","1,482","22","0","1,504",""
"Great Basin NP","","28","","45","2,729","2,744","41","0","2,785",""
"Great Sand Dunes NP&Pres","","21","","24","2,263","2,304","31","0","2,335",""
"Great Smoky Mountains NP","","174","","256","18,834","19,111","255","0","19,366",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Guadalupe Mountains NP","","26","","34","2,886","2,901","37","0","2,938",""
"Guilford Courthouse NMP","","11","","12","1,093","1,113","17","0","1,130",""
"Gulf Islands NS","","55","","72","7,155","7,191","84","0","7,275",""
"Hagerman Fossil Beds NM","","9","","10","925","928","12","0","940",""
"Haleakala NP","","48","","76","5,317","5,382","77","136","5,595",""
"Hampton NHS","","6","","6","1,187","1,194","18","0","1,212",""
"Harpers Ferry NHP","","62","","77","6,549","6,682","99","0","6,781",""
"Harriet Tubman Underground Railroad NM^{8}","","0","","0","180","194","0","400","594",""
"Harry S Truman NHS","","13","","14","1,241","1,249","18","0","1,267",""
"Hawaii Volcanoes NP","","74","","125","7,281","7,551","120","213","7,884",""
"Herbert Hoover NHS","","14","","14","1,368","1,376","18","0","1,394",""
"Home of Franklin D Roosevelt NHS","","14","","17","3,549","3,627","54","0","3,681",""
"Homestead NM of America","","14","","15","1,252","1,259","19","0","1,278",""
"Hopewell Culture NHP","","15","","17","1,325","1,332","19","0","1,351",""
"Hopewell Furnace NHS","","13","","13","1,363","1,401","23","0","1,424",""
"Horseshoe Bend NMP","","7","","7","787","793","11","0","804",""
"Hot Springs NP","","45","","50","4,553","4,577","61","0","4,638",""
"Hovenweep NM","","5","","7","543","546","8","0","554",""
"Hubbell Trading Post NHS","","11","","12","871","890","12","0","902",""
"Independence NHP","","193","","200","23,229","23,426","291","0","23,717",""
"Indiana Dunes NL","","89","","117","8,996","9,046","136","0","9,182",""
"Isle Royale NP","","30","","40","4,306","4,326","50","257","4,633",""
"James A Garfield NHS","","9","","9","687","755","11","0","766",""
"Jean Lafitte NHP & Pres","","52","","53","5,412","5,536","72","0","5,608",""
"Jefferson National Expansion Memorial","","108","","128","9,849","9,905","151","0","10,056",""
"Jewel Cave NM","","14","","20","1,174","1,181","19","0","1,200",""
"Jimmy Carter NHS","","16","","16","1,632","1,641","18","0","1,659",""
"John D Rockefeller Jr Memorial Parkway","","0","","0","515","518","9","0","527",""
"John Day Fossil Beds NM","","17","","17","1,596","1,605","23","0","1,628",""
"John F Kennedy NHS","","0","","0","506","509","9","0","518",""
"John Muir NHS","","9","","11","1,011","1,017","15","0","1,032",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Johnstown Flood NMem","","7","","8","800","805","8","0","813",""
"Joshua Tree NP","","55","","103","6,084","6,159","86","0","6,245",""
"Kalaupapa NHP","","35","","42","4,047","4,068","58","399","4,525",""
"Kaloko-Honokohau NHP","","18","","23","1,869","1,879","25","45","1,949",""
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","","28","","37","3,927","3,981","51","261","4,293",""
"Kenai Fjords NP","","32","","41","3,771","3,855","55","132","4,042",""
"Kennesaw Mountain NBP","","14","","15","1,660","1,684","23","0","1,707",""
"Keweenaw NHP","","16","","17","1,473","1,592","22","110","1,724",""
"Kings Mountain NMP","","11","","13","1,143","1,149","14","0","1,163",""
"Klondike Gold Rush NHP","","27","","39","2,968","3,048","45","108","3,201",""
"Klondike Gold Rush - Seattle Unit NHP","","7","","7","703","721","10","0","731",""
"Knife River Indian Village NHS","","10","","10","865","870","13","0","883",""
"Lake Clark NP&Pres","","23","","29","3,321","3,337","44","105","3,486",""
"Lake Mead NRA","","126","","214","18,491","18,888","234","505","19,627",""
"Grand Canyon Parashant NM","","11","","12","1,630","1,637","19","0","1,656",""
"Lake Meredith NRA & Alibates Flint Quarry NM","","28","","35","3,072","3,140","42","0","3,182",""
"Lake Roosevelt NRA","","48","","60","5,947","5,975","70","0","6,045",""
"Lassen Volcanic NP","","54","","79","5,243","5,271","74","0","5,345",""
"Lava Beds NM","","22","","40","2,141","2,166","32","150","2,348",""
"Lewis & Clark NHP","","17","","20","1,650","1,658","22","0","1,680",""
"Lincoln Boyhood NMem","","11","","12","970","994","15","0","1,009",""
"Lincoln Home NHS","","32","","36","2,780","2,796","42","0","2,838",""
"Little Bighorn Battlefield NM","","16","","21","1,219","1,226","20","0","1,246",""
"Little River Canyon NPres","","17","","19","1,423","1,431","22","0","1,453",""
"Little Rock Central High School NHS","","10","","10","972","975","13","0","988",""
"Longfellow House - Washington's Headquarters NHS","","0","","0","1,162","1,204","18","0","1,222",""
"Lowell NHP","","77","","82","8,264","8,365","118","0","8,483",""
"Lyndon B Johnson NHP","","37","","37","3,855","3,874","44","0","3,918",""
"Maggie L Walker NHS","","7","","7","599","616","10","0","626",""
"Mammoth Cave NP","","64","","106","6,311","6,431","92","0","6,523",""
"Manassas NBP","","25","","28","3,070","3,163","42","0","3,205",""
"Manhattan Project NHP^{5}","","0","","0","0","0","0","180","180",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Manhattan Sites (Hqtrs)","","15","","15","950","1,017","26","0","1,043",""
"Castle Clinton NM","","5","","5","611","613","5","0","618",""
"Federal Hall NMem","","4","","4","1,087","1,089","4","0","1,093",""
"General Grant NMem","","4","","4","904","906","6","0","912",""
"Hamilton Grange NMem","","4","","4","172","174","6","0","180",""
"Saint Paul's Church NHS","","1","","1","283","283","2","0","285",""
"Theodore Roosevelt Birthplace NHS","","3","","3","235","237","4","0","241",""
"Manzanar NHS","","13","","15","1,296","1,304","20","0","1,324",""
"Marsh-Billings-Rockefeller NHP","","16","","20","2,034","2,044","26","0","2,070",""
"Martin Luther King, Jr NHS","","25","","26","4,070","4,213","40","0","4,253",""
"Martin Van Buren NHS","","12","","12","1,219","1,239","17","0","1,256",""
"Mesa Verde NP","","57","","107","6,409","6,505","87","0","6,592",""
"Minidoka NHS","","3","","3","434","450","6","0","456",""
"Minute Man NHP","","25","","26","2,738","2,806","43","0","2,849",""
"Minuteman Missile NHS","","5","","6","649","695","8","0","703",""
"Mississippi NRRA","","22","","23","1,943","1,955","32","0","1,987",""
"Missouri NRR","","8","","9","858","861","10","0","871",""
"Mojave NPres","","36","","44","4,903","4,929","67","330","5,326",""
"Monocacy NB","","14","","15","1,505","1,546","24","0","1,570",""
"Montezuma Castle NM & Tuzigoot NM","","14","","32","1,624","1,661","22","0","1,683",""
"Moores Creek NB","","7","","7","674","677","9","0","686",""
"Morristown NHP","","24","","26","2,598","2,613","38","0","2,651",""
"Mount Rainier NP","","108","","173","12,246","12,481","176","0","12,657",""
"Mount Rushmore NMem","","39","","55","4,013","4,036","59","0","4,095",""
"Muir Woods NM","","5","","9","442","445","9","0","454",""
"Natchez NHP","","15","","16","1,979","1,988","20","0","2,008",""
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB^{4}","","105","","117","11,394","11,518","144","0","11,662",""
"National Capital Parks-East^{4}","","150","","154","16,287","16,373","220","400","16,993",""
"National Mall & Memorial Parks^{4}","","288","","299","33,737","34,114","436","200","34,750",""
"National Park of American Samoa","","12","","16","1,925","1,933","20","64","2,017",""
"National Park Service Liaison to the White House","","66","","81","9,132","9,237","113","0","9,350",""
"National Parks of New York Harbor (Hqtrs)","","11","","14","780","792","23","0","815",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Natural Bridges NM","","6","","9","522","525","7","0","532",""
"Navajo NM","","10","","11","1,079","1,085","15","0","1,100",""
"New Bedford Whaling NHP","","9","","9","915","920","13","0","933",""
"New Orleans Jazz NHP","","9","","9","1,269","1,290","15","0","1,305",""
"New River Gorge NR","","75","","88","7,312","7,441","97","0","7,538",""
"Nez Perce NHP","","23","","23","2,542","2,556","35","0","2,591",""
"Nicodemus NHS","","7","","7","673","676","9","0","685",""
"Ninety Six NHS","","4","","5","458","461","6","0","467",""
"Niobrara NSR","","8","","8","999","1,002","12","0","1,014",""
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","","62","","107","7,291","7,388","100","0","7,488",""
"Obed WSR","","9","","9","1,025","1,031","14","0","1,045",""
"Ocmulgee NM","","15","","16","1,280","1,288","21","0","1,309",""
"Olympic NP","","120","","182","12,745","12,977","191","0","13,168",""
"Oregon Caves NM & Pres","","14","","19","1,529","1,537","19","90","1,646",""
"Organ Pipe Cactus NM","","33","","38","4,384","4,404","51","0","4,455",""
"Ozark NSR","","64","","83","6,518","6,649","94","0","6,743",""
"Padre Island NS","","50","","63","5,641","5,668","72","0","5,740",""
"Palo Alto Battlefield NHS","","9","","9","934","940","12","0","952",""
"Paterson Great Falls NHP","","3","","3","546","562","7","0","569",""
"Pea Ridge NMP","","15","","16","1,211","1,345","18","0","1,363",""
"Pecos NHP","","19","","24","2,154","2,207","29","0","2,236",""
"Perry's Victory & International Peace Memorial","","11","","14","1,085","1,091","14","0","1,105",""
"Petersburg NB","","34","","36","3,371","3,391","54","0","3,445",""
"Petrified Forest NP","","33","","45","3,413","3,542","47","0","3,589",""
"Petroglyph NM","","17","","19","1,737","1,748","24","0","1,772",""
"Pictured Rocks NL","","24","","32","2,615","2,628","34","0","2,662",""
"Pinnacles NM","","32","","39","3,438","3,457","51","0","3,508",""
"Pipe Spring NM","","13","","15","1,217","1,238","17","0","1,255",""
"Pipestone NM","","11","","11","1,095","1,101","14","0","1,115",""
"Point Reyes NS","","60","","105","7,460","7,577","113","0","7,690",""
"Port Chicago Naval Magazine NMem","","1","","1","175","190","3","0","193",""
"Potomac Heritage NST","","1","","1","388","389","4","0","393",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Prince William Forest Park","","29","","40","3,351","3,400","50","0","3,450",""
"Pu'uhonua O Honaunau NHP","","17","","23","1,859","1,869","27","48","1,944",""
"Puukohola Heiau NHS","","11","","12","956","962","15","27","1,004",""
"Rainbow Bridge NM","","0","","0","110","140","2","0","142",""
"Redwood NP","","88","","113","8,802","8,851","130","0","8,981",""
"Richmond NBP","","30","","33","3,159","3,176","44","0","3,220",""
"Rio Grande WSR","","0","","0","191","192","3","0","195",""
"River Raisin NBP","","5","","5","491","604","8","0","612",""
"Rock Creek Park","","51","","52","8,637","8,671","88","0","8,759",""
"Rocky Mountain NP & Cache La Poudre","","118","","248","12,434","12,546","184","0","12,730",""
"Roger Williams NMem","","5","","5","655","672","9","0","681",""
"Ronald Reagan Boyhood Home NHS^{5}","","0","","0","71","71","0","0","71",""
"Rosie the Riveter WWII Home Front NHP","","12","","14","1,286","1,322","20","0","1,342",""
"Russell Cave NM","","4","","5","385","387","6","0","393",""
"Sagamore Hill NHS","","15","","15","1,513","1,522","22","0","1,544",""
"Saguaro NP","","40","","67","3,585","3,634","55","0","3,689",""
"Saint Croix Island IHS","","2","","2","227","228","4","0","232",""
"Saint Croix NSR & Lower Saint Croix NSR","","38","","40","3,854","3,877","59","0","3,936",""
"Saint-Gaudens NHS","","13","","14","1,252","1,273","19","0","1,292",""
"Salem Maritime NHS","","23","","23","2,511","2,523","35","0","2,558",""
"Salinas Pueblo Missions NM","","16","","19","1,363","1,371","20","0","1,391",""
"Salt River Bay NHP & Ecological Preserve","","0","","0","788","794","11","0","805",""
"San Antonio Missions NHP","","38","","41","3,759","3,823","52","0","3,875",""
"San Francisco Maritime NHP","","67","","73","7,333","7,379","126","0","7,505",""
"San Juan Island NHP","","8","","11","996","1,002","14","0","1,016",""
"San Juan NHS","","35","","77","3,425","3,444","47","0","3,491",""
"Sand Creek Massacre NHS","","8","","8","827","878","11","0","889",""
"Santa Monica Mountains NRA","","65","","83","8,517","8,592","112","0","8,704",""
"Saratoga NHP","","22","","26","2,219","2,274","34","0","2,308",""
"Saugus Iron Works NHS","","8","","8","876","882","12","0","894",""
"Scotts Bluff NM","","11","","13","965","971","15","0","986",""
"Sequoia NP & Kings Canyon NP","","176","","295","16,361","16,738","253","0","16,991",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"Shenandoah NP","","114","","189","11,975","12,040","162","0","12,202",""
"Shiloh NMP","","27","","28","2,358","2,372","35","0","2,407",""
"Sitka NHP","","17","","18","2,046","2,119","26","63","2,208",""
"Sleeping Bear Dunes NL","","42","","75","4,232","4,257","62","0","4,319",""
"Southern Arizona Group (Hqtrs)","","4","","13","1,394","1,397","6","0","1,403",""
"Springfield Armory NHS","","11","","11","1,448","1,455","19","0","1,474",""
"Statue of Liberty NM & Ellis Island","","82","","120","15,522","15,675","143","0","15,818",""
"[United States Park Police Operations]","","[0]","","[88]","[11,229]","[11,292]","[215]","[0]","[11,507]",""
"Steamtown NHS","","46","","48","5,568","5,610","70","0","5,680",""
"Stones River NB","","11","","13","1,270","1,277","17","0","1,294",""
"Tallgrass Prairie NPres","","9","","10","957","963","13","38","1,014",""
"Thaddeus Kosciuszko NMem","","0","","0","160","161","3","0","164",""
"Theodore Roosevelt Inaugural NHS","","0","","0","285","285","0","0","285",""
"Theodore Roosevelt NP & International Peace Garden","","29","","39","2,849","2,866","43","38","2,947",""
"Thomas Edison NHP","","25","","26","2,841","2,858","44","0","2,902",""
"Thomas Stone NHS","","4","","4","612","615","10","0","625",""
"Timpanogos Cave NM","","11","","26","1,053","1,102","15","0","1,117",""
"Tonto NM","","8","","11","866","872","11","0","883",""
"Tule Springs Fossil Beds NM^{5}","","0","","0","0","0","0","180","180",""
"Tumacacori NHP","","10","","13","1,266","1,287","15","0","1,302",""
"Tuskegee Airmen NHS","","6","","6","931","966","9","0","975",""
"Tuskegee Institute NHS","","10","","10","1,059","1,064","12","0","1,076",""
"Ulysses S Grant NHS","","12","","12","1,250","1,256","17","0","1,273",""
"Upper Delaware Scenic & Recreational River & Middle Delaware NSR","","27","","27","3,288","3,348","42","0","3,390",""
"Valles Caldera NPres","","0","","0","0","0","0","2,793","2,793",""
"Valley Forge NHP","","54","","58","6,197","6,244","86","0","6,330",""
"Vanderbilt Mansion NHS","","33","","37","1,056","1,062","15","0","1,077",""
"Vicksburg NMP","","35","","39","3,054","3,071","44","0","3,115",""
"Virgin Islands Coral Reef NM","","0","","0","447","449","6","0","455",""
"Virgin Islands NP","","43","","49","4,909","5,001","63","0","5,064",""
"Voyageurs NP","","41","","59","4,199","4,380","62","0","4,442",""
"OPERATION OF THE NATIONAL PARK SYSTEM","","FTE","1","FTE 2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Park Service Park Units","","","","","","","","","",""
"War in the Pacific NHP","","17","","18","1,531","1,539","17","0","1,556",""
"Washita Battlefield NHS","","8","","8","757","760","10","0","770",""
"Weir Farm NHS","","8","","12","1,008","1,057","13","100","1,170",""
"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak","","","","","","","","","",""
"NPres, Cape Krusenstern NM, Kobuk Valley NP","","24","","26","3,670","3,705","44","107","3,856",""
"Whiskeytown NRA","","44","","68","4,307","4,330","62","0","4,392",""
"White Sands NM","","16","","24","1,573","1,612","22","0","1,634",""
"Whitman Mission NHS","","9","","9","797","803","12","0","815",""
"William Howard Taft NHS","","7","","7","808","811","11","0","822",""
"William Jefferson Clinton Birthplace Home NHS","","6","","6","386","420","7","0","427",""
