"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2017
Park Base
FTE^{1}","FY 2017
Total FTE^{2}","FY 2017
Final^{6}","FY 2018
Annualized
CR","FY 2019
Fixed Costs
& Internal
Transfers","FY 2019
Program
Changes^{9}","FY 2019
Request^{9}"
"Dayton Aviation NHP","20","21","2017","2017","17","-226","1808","","","","","","","",""
"De Soto NMem","8","8","725","725","6","-81","650","","","","","","","",""
"Death Valley NP","70","99","8912","8912","57","-1000","7969","","","","","","","",""
"Delaware Water Gap NRA","83","113","9798","9798","67","-1099","8766","","","","","","","",""
"Denali NP&Pres","115","184","14694","14694","93","-1649","13138","","","","","","","",""
"Devils Postpile NM","5","7","623","623","4","-70","557","","","","","","","",""
"Devils Tower NM","13","24","1406","1406","10","-157","1259","","","","","","","",""
"Dinosaur NM","34","48","3795","3795","27","-425","3397","","","","","","","",""
"Dry Tortugas NP","14","17","2107","2107","11","-236","1882","","","","","","","",""
"Ebey's Landing NHR","1","5","350","350","2","-39","313","","","","","","","",""
"Edgar Allan Poe NHS","0","0","396","396","0","-45","351","","","","","","","",""
"Effigy Mounds NM","15","16","1198","1198","12","-134","1076","","","","","","","",""
"Eisenhower NHS","9","9","1118","1118","7","-125","1000","","","","","","","",""
"El Malpais NM","18","22","1771","1771","14","-199","1586","","","","","","","",""
"El Morro NM","11","11","923","923","9","-104","828","","","","","","","",""
"Eleanor Roosevelt NHS","5","5","852","852","4","-94","762","","","","","","","",""
"Eugene O'Neill NHS","6","7","705","705","5","-79","631","","","","","","","",""
"Everglades NP","123","168","16884","16884","99","-1895","15088","","","","","","","",""
"Fire Island NS","46","52","5045","5045","37","-566","4516","","","","","","","",""
"First Ladies NHS","2","2","1011","1011","2","-114","899","","","","","","","",""
"First State NHP","3","3","716","716","3","-81","638","","","","","","","",""
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM, Wupatki NM","30","48","3774","3774","25","-424","3375","","","","","","","",""
"Flight 93 NMem","15","17","1582","1582","12","-177","1417","","","","","","","",""
"Florissant Fossil Beds NM","10","11","1007","1007","8","-113","902","","","","","","","",""
"Fort Caroline NMem & Timucuan Ecological & Historic Preserve","26","27","2812","2812","21","-316","2517","","","","","","","",""
"Fort Davis NHS","15","19","1360","1360","12","-153","1219","","","","","","","",""
"Fort Donelson NB","14","14","1498","1498","11","-168","1341","","","","","","","",""
"Fort Frederica NM","7","7","878","878","6","-98","786","","","","","","","",""
"Fort Laramie NHS","17","19","1700","1700","14","-191","1523","","","","","","","",""
"Fort Larned NHS","11","11","1071","1071","9","-120","960","","","","","","","",""
"Fort McHenry NM & Historic Shrine","18","21","2604","2604","15","-292","2327","","","","","","","",""
"Fort Monroe NM","3","3","1000","1000","3","-112","891","","","","","","","",""
"Fort Necessity NB","17","18","1609","1609","14","-179","1444","","","","","","","",""
"Fort Point NHS","4","4","533","533","4","-60","477","","","","","","","",""
"Fort Pulaski NM","9","17","1389","1389","7","-156","1240","","","","","","","",""
"Fort Scott NHS","13","16","1347","1347","11","-151","1207","","","","","","","",""
"Fort Smith NHS","12","14","1129","1129","10","-127","1012","","","","","","","",""
"Fort Stanwix NM","17","18","1613","1613","14","-182","1445","","","","","","","",""
"Fort Sumter NM","16","25","2176","2176","13","-244","1945","","","","","","","",""
"Fort Union NM","16","19","1261","1261","13","-142","1132","","","","","","","",""
"Fort Union Trading Post NHS","9","9","839","839","7","-94","752","","","","","","","",""
"Fort Vancouver NHS","18","24","1981","1981","15","-222","1774","","","","","","","",""
"Fossil Butte NM","7","8","755","755","6","-85","676","","","","","","","",""
"Frederick Law Olmsted NHS","30","30","1811","1811","24","-204","1631","","","","","","","",""
"Fredericksburg & Spotsylvania NMP","40","43","4562","4562","32","-512","4082","","","","","","","",""
"Freedom Riders NM","0","0","0","0","0","180","180","","","","","","","",""
"Friendship Hill NHS","5","5","577","577","4","-65","516","","","","","","","",""
"Gates of the Arctic NP&Pres","36","46","3191","3191","29","-358","2862","","","","","","","",""
"Gateway NRA","218","279","25489","25489","177","-2861","22805","","","","","","","",""
"Gauley River NRA","2","2","818","818","2","-92","728","","","","","","","",""
"George Rogers Clark NHP","10","11","923","923","8","-104","827","","","","","","","",""
"George Washington Birthplace NM","15","16","1727","1727","12","-192","1547","","","","","","","",""
"George Washington Carver NM","13","13","1478","1478","10","-166","1322","","","","","","","",""
"George Washington Memorial Parkway","109","116","13259","13259","88","-1488","11859","","","","","","","",""
"Gettysburg NMP","62","70","6979","6979","50","-783","6246","","","","","","","",""
"Gila Cliff Dwellings NM","3","3","379","379","3","-43","339","","","","","","","",""
"Glacier Bay NP&Pres","37","80","5103","5103","30","-572","4561","","","","","","","",""
"Glacier NP","138","264","13862","13862","112","-1555","12419","","","","","","","",""
"Glen Canyon NRA","104","162","11834","11834","84","-1328","10590","","","","","","","",""
"Golden Gate NRA","178","281","26243","26243","144","-2943","23444","","","","","","","",""
"Golden Spike NHS","13","13","1101","1101","10","-124","987","","","","","","","",""
"Governor's Island NM","6","6","1520","1520","5","-170","1355","","","","","","","",""
"Grand Canyon NP","187","387","21654","21654","152","-2430","19376","","","","","","","",""
"Grand Portage NM","10","11","1359","1359","8","-153","1214","","","","","","","",""
"Grand Teton NP","106","247","12599","12599","86","-1414","11271","","","","","","","",""
"Grant-Kohrs Ranch NHS","17","20","1515","1515","14","-170","1359","","","","","","","",""
"Great Basin NP","24","41","2809","2809","19","-315","2513","","","","","","","",""
"Great Egg Harbor Scenic & Recreational River","0","0","172","172","0","-19","153","","","","","","","",""
"Great Sand Dunes NP&Pres","19","26","2352","2352","15","-264","2103","","","","","","","",""
"Great Smoky Mountains NP","166","267","19472","19472","135","-2185","17422","","","","","","","",""
"Guadalupe Mountains NP","26","32","2945","2945","21","-330","2636","","","","","","","",""
"Guilford Courthouse NMP","11","12","1140","1140","9","-128","1021","","","","","","","",""
"Gulf Islands NS","54","72","7321","7321","43","-821","6543","","","","","","","",""
"Hagerman Fossil Beds NM","10","10","946","946","8","-107","847","","","","","","","",""
"Haleakala NP","46","78","5623","5623","38","-630","5031","","","","","","","",""
"Hampton NHS","7","7","1216","1216","5","-136","1085","","","","","","","",""
"Harpers Ferry NHP","61","72","6796","6796","49","-763","6082","","","","","","","",""
"Harriet Tubman Underground Railroad NHP, Harriet Tubman NHP","1","2","705","705","1","-79","627","","","","","","","",""
"Harry S Truman NHS","13","13","1268","1268","10","-143","1135","","","","","","","",""
"Hawaii Volcanoes NP","69","124","7910","7910","56","-888","7078","","","","","","","",""
"Herbert Hoover NHS","14","16","1406","1406","12","-157","1261","","","","","","","",""
"Home of Franklin D Roosevelt NHS","22","30","3711","3711","18","-416","3313","","","","","","","",""
"Homestead NM of America","12","15","1299","1299","10","-146","1163","","","","","","","",""
"Honouliuli NM","0","0","346","346","0","-39","307","","","","","","","",""
"Hopewell Culture NHP","14","15","1420","1420","11","-160","1271","","","","","","","",""
"Hopewell Furnace NHS","11","11","1432","1432","9","-161","1280","","","","","","","",""
"Horseshoe Bend NMP","9","9","812","812","7","-91","728","","","","","","","",""
"Hot Springs NP","42","46","4662","4662","34","-522","4174","","","","","","","",""
"Hovenweep NM","4","8","557","557","3","-62","498","","","","","","","",""
"Hubbell Trading Post NHS","10","11","884","884","8","-99","793","","","","","","","",""
"Independence NHP","190","191","23809","23809","154","-2672","21291","","","","","","","",""
"Indiana Dunes NL","87","118","9383","9383","70","-1057","8396","","","","","","","",""
"Isle Royale NP","34","44","4503","4503","27","-515","4015","","","","","","","",""
"James A Garfield NHS","9","10","766","766","7","-86","687","","","","","","","",""
"Jean Lafitte NHP & Pres","52","52","5639","5639","42","-633","5048","","","","","","","",""
"Jefferson National Expansion Memorial","97","114","10069","10069","79","-1130","9018","","","","","","","",""
"Jewel Cave NM","11","20","1199","1199","9","-134","1074","","","","","","","",""
"Jimmy Carter NHS","13","13","1668","1668","10","-187","1491","","","","","","","",""
"John D Rockefeller Jr Memorial Parkway","0","0","529","529","0","-59","470","","","","","","","",""
"John Day Fossil Beds NM","17","17","1644","1644","14","-185","1473","","","","","","","",""
"John F Kennedy NHS","0","0","520","520","0","-58","462","","","","","","","",""
"John Muir NHS","11","14","1040","1040","9","-116","933","","","","","","","",""
"Johnstown Flood NMem","7","8","819","819","6","-92","733","","","","","","","",""
"Joshua Tree NP","46","107","6283","6283","37","-705","5615","","","","","","","",""
"Kalaupapa NHP","30","39","4993","4993","24","-560","4457","","","","","","","",""
"Kaloko-Honokohau NHP","19","27","1965","1965","15","-221","1759","","","","","","","",""
"Katahdin Woods and Waters NM","0","0","0","0","0","180","180","","","","","","","",""
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","30","38","4344","4344","24","-487","3881","","","","","","","",""
"Kenai Fjords NP","34","43","4085","4085","27","-458","3654","","","","","","","",""
"Kennesaw Mountain NBP","16","16","1716","1716","13","-193","1536","","","","","","","",""
"Keweenaw NHP","16","18","1726","1726","13","-193","1546","","","","","","","",""
"Kings Mountain NMP","13","17","1172","1172","11","-131","1052","","","","","","","",""
"Klondike Gold Rush NHP","30","48","3237","3237","24","-363","2898","","","","","","","",""
"Klondike Gold Rush - Seattle Unit NHP","8","8","740","740","6","-83","663","","","","","","","",""
"Knife River Indian Village NHS","8","9","917","917","7","-102","822","","","","","","","",""
"Lake Clark NP&Pres","22","26","3508","3508","18","-392","3134","","","","","","","",""
"Lake Mead NRA","124","221","19709","19709","101","-2211","17599","","","","","","","",""
"Grand Canyon Parashant NM","12","13","1657","1657","10","-186","1481","","","","","","","",""
"Lake Meredith NRA & Alibates Flint Quarry NM","30","40","3195","3195","24","-359","2860","","","","","","","",""
"Lake Roosevelt NRA","52","59","6091","6091","42","-683","5450","","","","","","","",""
"Lassen Volcanic NP","47","72","5397","5397","38","-606","4829","","","","","","","",""
"Lava Beds NM","23","35","2377","2377","19","-267","2129","","","","","","","",""
"Lewis & Clark NHP","17","22","1698","1698","14","-190","1522","","","","","","","",""
"Lincoln Boyhood NMem","11","12","1074","1074","9","-121","962","","","","","","","",""
"Lincoln Home NHS","31","39","2858","2858","25","-321","2562","","","","","","","",""
"Little Bighorn Battlefield NM","14","17","1255","1255","11","-141","1125","","","","","","","",""
"Little River Canyon NPres","12","14","1460","1460","10","-164","1306","","","","","","","",""
"Little Rock Central High School NHS","11","11","987","987","9","-110","886","","","","","","","",""
"Longfellow House - Washington's Headquarters NHS","0","0","1226","1226","0","-136","1090","","","","","","","",""
"Lowell NHP","64","78","8528","8528","51","-957","7622","","","","","","","",""
"Lyndon B Johnson NHP","33","35","3937","3937","27","-442","3522","","","","","","","",""
"Maggie L Walker NHS","6","6","630","630","5","-71","564","","","","","","","",""
"Mammoth Cave NP","61","105","6623","6623","50","-743","5930","","","","","","","",""
"Manassas NBP","26","28","3227","3227","21","-362","2886","","","","","","","",""
"Manhattan Project NHP","1","1","691","691","1","-78","614","","","","","","","",""
"Manhattan Sites","34","35","4393","4393","28","-493","3928","","","","","","","",""
"Manzanar NHS","12","13","1334","1334","10","-150","1194","","","","","","","",""
"Marsh-Billings-Rockefeller NHP","17","20","2099","2099","13","-235","1877","","","","","","","",""
"Martin Luther King, Jr NHP","29","31","4304","4304","24","-483","3845","","","","","","","",""
"Martin Van Buren NHS","13","13","1277","1277","10","-143","1144","","","","","","","",""
"Mesa Verde NP","54","104","6540","6540","44","-734","5850","","","","","","","",""
"Minidoka NHS","2","3","460","460","2","-52","410","","","","","","","",""
"Minute Man NHP","21","23","2873","2873","17","-323","2567","","","","","","","",""
"Minuteman Missile NHS","9","9","726","726","7","-82","651","","","","","","","",""
"Mississippi NRRA","22","24","2003","2003","18","-225","1796","","","","","","","",""
"Missouri NRR","8","9","870","870","6","-98","778","","","","","","","",""
"Mojave NPres","35","41","5362","5362","28","-602","4788","","","","","","","",""
"Monocacy NB","12","15","1588","1588","9","-178","1419","","","","","","","",""
"Montezuma Castle NM & Tuzigoot NM","13","28","1687","1687","10","-189","1508","","","","","","","",""
"Moores Creek NB","7","7","693","693","5","-78","620","","","","","","","",""
"Morristown NHP","24","25","2678","2678","20","-301","2397","","","","","","","",""
"Mount Rainier NP","104","210","12788","12788","84","-1435","11437","","","","","","","",""
"Mount Rushmore NMem","38","56","4138","4138","31","-463","3706","","","","","","","",""
"Muir Woods NM","6","11","458","458","5","-52","411","","","","","","","",""
"Natchez NHP","13","15","1933","1933","11","-217","1727","","","","","","","",""
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB","104","113","11725","11725","84","-1316","10493","","","","","","","",""
"National Capital Parks-East","135","138","16750","16750","110","-1879","14981","","","","","","","",""
"National Mall & Memorial Parks","266","274","35193","35193","215","-3948","31460","","","","","","","",""
"National Park of American Samoa","11","14","2021","2021","9","-226","1804","","","","","","","",""
"National Park Service Liaison to the White House","67","70","9387","9387","54","-1053","8388","","","","","","","",""
"National Parks of New York Harbor (Hqtrs)","7","9","820","820","6","-92","734","","","","","","","",""
"Natural Bridges NM","6","9","536","536","5","-60","481","","","","","","","",""
"Navajo NM","9","9","1116","1116","7","-125","998","","","","","","","",""
"New Bedford Whaling NHP","9","9","959","959","7","-108","858","","","","","","","",""
"New Orleans Jazz NHP","10","10","1310","1310","8","-146","1172","","","","","","","",""
"New River Gorge NR","71","81","7598","7598","58","-853","6803","","","","","","","",""
"Nez Perce NHP","18","19","2598","2598","15","-291","2322","","","","","","","",""
"Nicodemus NHS","2","2","684","684","2","-76","610","","","","","","","",""
"Ninety Six NHS","5","6","477","477","4","-53","428","","","","","","","",""
"Niobrara NSR","8","8","1015","1015","7","-114","908","","","","","","","",""
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","60","111","7581","7581","48","-850","6779","","","","","","","",""
"Obed WSR","12","12","1053","1053","9","-118","944","","","","","","","",""
"Ocmulgee NM","15","15","1315","1315","12","-147","1180","","","","","","","",""
"Olympic NP","109","196","13177","13177","88","-1479","11786","","","","","","","",""
"Oregon Caves NM & Pres","16","21","1773","1773","13","-199","1587","","","","","","","",""
"Organ Pipe Cactus NM","38","44","4488","4488","31","-503","4016","","","","","","","",""
"Ozark NSR","61","79","6655","6655","50","-747","5958","","","","","","","",""
"Padre Island NS","53","61","5786","5786","43","-650","5179","","","","","","","",""
"Palo Alto Battlefield NHS","9","9","956","956","7","-107","856","","","","","","","",""
"Paterson Great Falls NHP","4","5","894","894","3","-101","796","","","","","","","",""
"Pea Ridge NMP","12","13","1315","1315","10","-148","1177","","","","","","","",""
"Pecos NHP","20","24","2232","2232","16","-251","1997","","","","","","","",""
"Perry's Victory & International Peace Memorial","12","14","1125","1125","9","-127","1007","","","","","","","",""
"Petersburg NB","33","33","3472","3472","27","-389","3110","","","","","","","",""
"Petrified Forest NP","35","54","3606","3606","28","-405","3229","","","","","","","",""
"Petroglyph NM","15","17","1778","1778","12","-199","1591","","","","","","","",""
"Pictured Rocks NL","25","35","2728","2728","20","-305","2443","","","","","","","",""
"Pinnacles NP","32","43","3603","3603","26","-405","3224","","","","","","","",""
"Pipe Spring NM","14","17","1279","1279","11","-144","1146","","","","","","","",""
"Pipestone NM","9","10","1115","1115","7","-125","997","","","","","","","",""
"Point Reyes NS","53","99","7724","7724","43","-866","6901","","","","","","","",""
"Port Chicago Naval Magazine NMem","1","2","297","297","1","-33","265","","","","","","","",""
"Potomac Heritage NST","1","1","417","417","1","-46","372","","","","","","","",""
"Prince William Forest Park","30","41","3520","3520","24","-394","3150","","","","","","","",""
"Pullman NM","2","3","571","571","1","-61","511","","","","","","","",""
"Pu'uhonua O Honaunau NHP","18","23","1953","1953","14","-219","1748","","","","","","","",""
"Puukohola Heiau NHS","11","16","1013","1013","9","-114","908","","","","","","","",""
"Rainbow Bridge NM","0","0","141","141","0","-16","125","","","","","","","",""
"Reconstruction Era NM","0","0","0","0","0","180","180","","","","","","","",""
"Redwood NP","89","118","9096","9096","72","-1021","8147","","","","","","","",""
"Richmond NBP","33","34","3247","3247","26","-364","2909","","","","","","","",""
"Rio Grande WSR","0","0","196","196","0","-22","174","","","","","","","",""
"River Raisin NBP","10","10","881","881","8","-99","790","","","","","","","",""
"Rock Creek Park","58","58","9075","9075","47","-1018","8104","","","","","","","",""
"Rocky Mountain NP","109","242","12831","12831","88","-1440","11479","","","","","","","",""
"Roger Williams NMem","7","7","686","686","6","-77","615","","","","","","","",""
"Ronald Reagan Boyhood Home NHS","0","0","71","71","0","-8","63","","","","","","","",""
"Rosie the Riveter WWII Home Front NHP","11","12","1323","1323","9","-148","1184","","","","","","","",""
"Russell Cave NM","3","3","400","400","2","-44","358","","","","","","","",""
"Sagamore Hill NHS","14","18","1572","1572","12","-176","1408","","","","","","","",""
"Saguaro NP","33","66","3726","3726","27","-418","3335","","","","","","","",""
"Saint Croix Island IHS","2","2","236","236","2","-26","212","","","","","","","",""
"Saint Croix NSR & Lower Saint Croix NSR","34","38","3959","3959","27","-444","3542","","","","","","","",""
"Saint-Gaudens NHS","11","12","1304","1304","9","-146","1167","","","","","","","",""
"Salem Maritime NHS","22","22","2586","2586","18","-290","2314","","","","","","","",""
"Salinas Pueblo Missions NM","17","19","1408","1408","14","-159","1263","","","","","","","",""
"San Antonio Missions NHP","38","43","3890","3890","31","-437","3484","","","","","","","",""
"San Francisco Maritime NHP","61","72","7541","7541","49","-846","6744","","","","","","","",""
"San Juan Island NHP","7","10","1027","1027","6","-115","918","","","","","","","",""
"San Juan NHS","34","99","3533","3533","28","-397","3164","","","","","","","",""
"Sand Creek Massacre NHS","8","8","894","894","7","-101","800","","","","","","","",""
"Santa Monica Mountains NRA","58","84","8640","8640","47","-969","7718","","","","","","","",""
"Saratoga NHP","21","23","2309","2309","17","-258","2068","","","","","","","",""
"Saugus Iron Works NHS","6","6","909","909","5","-102","812","","","","","","","",""
"Scotts Bluff NM","9","12","997","997","7","-112","892","","","","","","","",""
"Sequoia NP & Kings Canyon NP","163","310","17150","17150","132","-1924","15358","","","","","","","",""
"Shenandoah NP","112","187","12326","12326","91","-1384","11033","","","","","","","",""
"Shiloh NMP","25","26","2420","2420","21","-271","2170","","","","","","","",""
"Sitka NHP","15","18","2223","2223","12","-249","1986","","","","","","","",""
"Sleeping Bear Dunes NL","43","85","4263","4263","35","-483","3815","","","","","","","",""
"Southern Arizona Group (Hqtrs)","15","20","1410","1410","12","-159","1263","","","","","","","",""
"Springfield Armory NHS","11","11","1483","1483","9","-166","1326","","","","","","","",""
"Statue of Liberty NM & Ellis Island","85","115","15827","15827","69","-1774","14122","","","","","","","",""
"Steamtown NHS","45","46","5692","5692","36","-638","5090","","","","","","","",""
"Stones River NB","12","13","1302","1302","10","-146","1166","","","","","","","",""
"Stonewall NM","0","0","0","0","0","180","180","","","","","","","",""
"Tallgrass Prairie NPres","9","9","1031","1031","7","-115","923","","","","","","","",""
"Thaddeus Kosciuszko NMem","0","0","165","165","0","-18","147","","","","","","","",""
"Theodore Roosevelt Inaugural NHS","0","0","285","285","0","-32","253","","","","","","","",""
"Theodore Roosevelt NP & International Peace Garden","33","44","3136","3136","27","-342","2821","","","","","","","",""
"Thomas Edison NHP","25","26","2935","2935","20","-330","2625","","","","","","","",""
"Thomas Stone NHS","4","4","628","628","3","-71","560","","","","","","","",""
"Timpanogos Cave NM","13","24","1137","1137","11","-128","1020","","","","","","","",""
"Tonto NM","8","10","886","886","7","-99","794","","","","","","","",""
"Tule Springs Fossil Beds NM","1","3","537","537","1","-59","479","","","","","","","",""
"Tumacacori NHP","12","15","1303","1303","10","-146","1167","","","","","","","",""
"Tuskegee Airmen NHS","7","7","965","965","5","-108","862","","","","","","","",""
"Tuskegee Institute NHS","10","10","1095","1095","8","-123","980","","","","","","","",""
"Ulysses S Grant NHS","10","10","1275","1275","8","-142","1141","","","","","","","",""
"Upper Delaware Scenic & Recreational River & Middle Delaware NSR","24","24","3415","3415","20","-383","3052","","","","","","","",""
"Valles Caldera NPres","31","35","3366","3366","25","-378","3013","","","","","","","",""
"Valley Forge NHP","51","54","6377","6377","41","-716","5702","","","","","","","",""
"Vanderbilt Mansion NHS","27","30","1088","1088","22","-123","987","","","","","","","",""
