"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8"
"Crater Lake NP","45","73","5,673","5,673","67","1,576","7,316"
"Craters of the Moon NM&Pres","16","27","1,710","1,710","43","287","2,040"
"Cumberland Gap NHP","28","35","3,771","3,771","33","270","4,074"
"Cumberland Island NS","26","30","3,059","3,059","92","229","3,380"
"Curecanti NRA","39","52","4,632","4,632","155","671","5,458"
"Cuyahoga Valley NP","92","116","11,592","11,592","383","582","12,557"
"Dayton Aviation NHP","18","18","2,127","2,127","70","105","2,302"
"De Soto NMem","8","8","764","764","27","75","866"
"Death Valley NP","63","89","9,710","9,710","85","1,386","11,181"
"Delaware Water Gap NRA","80","103","10,486","10,486","359","753","11,598"
"Denali NP&Pres","103","155","15,556","15,556","499","2,260","18,315"
"Devils Postpile NM","2","3","660","660","10","172","842"
"Devils Tower NM","11","18","1,472","1,472","45","188","1,705"
"Dinosaur NM","35","49","4,016","4,016","133","396","4,545"
"Dry Tortugas NP","13","19","2,224","2,224","70","207","2,501"
"Ebey's Landing NHR","1","2","359","359","2","61","422"
"Edgar Allan Poe NHS","0","0","430","430","0","14","444"
"Effigy Mounds NM","12","13","1,279","1,279","49","218","1,546"
"Eisenhower NHS","8","8","1,196","1,196","42","83","1,321"
"El Malpais NM","19","25","2,042","2,042","67","234","2,343"
"El Morro NM","8","9","978","978","32","81","1,091"
"Eleanor Roosevelt NHS","5","5","924","924","38","85","1,047"
"Eugene O'Neill NHS","4","4","684","684","23","174","881"
"Everglades NP","139","223","17,885","17,885","596","1,668","20,149"
"Fire Island NS","40","45","5,381","5,381","181","448","6,010"
"First Ladies NHS","7","7","1,011","1,011","23","71","1,105"
"First State NHP
Flagstaff Area Parks - Sunset Crater Volcano NM,","7","7","1,009","1,009","28","73","1,110"
"Walnut Canyon NM, Wupatki NM","32","49","3,999","3,999","134","303","4,436"
"Flight 93 NMem","14","16","1,688","1,688","56","94","1,838"
"Florissant Fossil Beds NM
Fort Caroline NMem & Timucuan Ecological &","10","12","1,060","1,060","38","184","1,282"
"Historic Preserve","22","23","2,897","2,897","91","259","3,247"
"Fort Davis NHS","13","15","1,427","1,427","49","92","1,568"
"Fort Donelson NB","12","13","1,594","1,594","50","95","1,739"
"Fort Frederica NM","5","5","931","931","29","77","1,037"
"Fort Laramie NHS","16","18","1,780","1,780","54","95","1,929"
"Fort Larned NHS","11","11","1,106","1,106","41","85","1,232"
"Fort McHenry NM & Historic Shrine","25","25","2,729","2,729","87","121","2,937"
"Fort Monroe NM","3","3","1,282","1,282","17","65","1,364"
"Fort Necessity NB","15","16","1,722","1,722","59","199","1,980"
"Fort Point NHS","1","2","551","551","10","67","628"
"Fort Pulaski NM","10","23","1,458","1,458","42","194","1,694"
"Fort Scott NHS","13","16","1,402","1,402","50","90","1,542"
"Fort Smith NHS","10","11","1,143","1,143","38","159","1,340"
"Fort Stanwix NM","15","15","1,678","1,678","57","99","1,834"
"Fort Sumter and Fort Moultrie NHP","19","23","2,210","2,210","63","108","2,381"
"Fort Union NM","12","16","1,313","1,313","40","78","1,431"
"Fort Union Trading Post NHS","9","9","917","917","33","80","1,030"
"Fort Vancouver NHS","19","26","2,132","2,132","56","109","2,297"
"Fossil Butte NM","6","8","799","799","18","172","989"
"Frederick Law Olmsted NHS","26","27","1,921","1,921","118","115","2,154"
"Fredericksburg & Spotsylvania NMP","41","42","4,853","4,853","179","343","5,375"
"Freedom Riders NM","1","1","495","495","7","231","733"
"Friendship Hill NHS","5","7","603","603","18","70","691"
"Gates of the Arctic NP&Pres","36","45","3,334","3,334","164","764","4,262"
"Gateway NRA","219","263","26,924","26,924","873","1,488","29,285"
"Gateway Arch NP","85","141","10,736","10,736","348","320","11,404"
"Gauley River NRA","2","2","888","888","32","83","1,003"
"George Rogers Clark NHP","10","10","979","979","35","80","1,094"
"George Washington Birthplace NM","16","16","1,813","1,813","50","96","1,959"
"George Washington Carver NM","15","15","1,556","1,556","52","95","1,703"
"George Washington Memorial Parkway","93","99","14,254","14,254","426","1,184","15,864"
"Gettysburg NMP","52","60","7,408","7,408","244","417","8,069"
"Gila Cliff Dwellings NM","4","5","402","402","18","367","787"
"Glacier Bay NP&Pres","36","72","5,406","5,406","193","556","6,155"
"Glacier NP","128","272","15,115","15,115","535","2,542","18,192"
"Glen Canyon NRA","98","156","12,847","12,847","394","1,377","14,618"
"Golden Gate NRA","169","261","26,507","26,507","-93","1,704","28,118"
"Golden Spike NHP","10","11","1,167","1,167","37","314","1,518"
"Governor's Island NM","3","3","1,582","1,582","4","60","1,646"
"Grand Canyon NP","143","364","23,027","23,027","716","1,388","25,131"
"Grand Canyon Parashant NM","12","12","1,691","1,691","44","211","1,946"
"Grand Portage NM","9","9","1,426","1,426","37","257","1,720"
"Grand Teton NP","103","223","13,398","13,398","483","1,078","14,959"
"Grant-Kohrs Ranch NHS","17","20","1,598","1,598","61","271","1,930"
"Great Basin NP","23","37","2,904","2,904","80","321","3,305"
"Great Egg Harbor Scenic & Recreational River","0","0","241","241","0","3","244"
"Great Sand Dunes NP&Pres","20","30","2,760","2,760","85","281","3,126"
"Great Smoky Mountains NP","164","281","20,664","20,664","688","2,736","24,088"
"Guadalupe Mountains NP","26","27","3,128","3,128","94","248","3,470"
"Guilford Courthouse NMP","9","9","1,208","1,208","31","82","1,321"
"Gulf Islands NS","52","75","7,711","7,711","143","1,557","9,411"
"Hagerman Fossil Beds NM","5","6","984","984","22","74","1,080"
"Haleakala NP","40","79","5,925","5,925","161","841","6,927"
"Hampton NHS","7","7","1,291","1,291","41","87","1,419"
"Harpers Ferry NHP","42","48","7,133","7,133","200","314","7,647"
"Harriet Tubman NHP","1","1","628","628","10","61","699"
"Harriet Tubman Underground Railroad NHP","2","2","612","612","35","64","711"
"Harry S Truman NHS","13","14","1,359","1,359","50","165","1,574"
"Hawaii Volcanoes NP","63","111","8,297","8,297","181","931","9,409"
"Herbert Hoover NHS","14","15","1,474","1,474","51","190","1,715"
"Home of Franklin D Roosevelt NHS","25","28","3,959","3,959","139","314","4,412"
"Homestead NM of America","15","16","1,350","1,350","49","189","1,588"
"Honouliuli NHS","1","1","354","354","2","61","417"
"Hopewell Culture NHP","14","16","1,424","1,424","49","318","1,791"
"Hopewell Furnace NHS","10","10","1,528","1,528","47","92","1,667"
"Horseshoe Bend NMP","8","8","865","865","30","268","1,163"
"Hot Springs NP","42","45","4,831","4,831","155","1,145","6,131"
"Hovenweep NM","4","10","589","589","18","71","678"
"Independence NHP","176","180","25,632","25,632","744","1,011","27,387"
"Indiana Dunes NP","76","111","9,748","9,748","330","2,057","12,135"
"Isle Royale NP","36","46","4,678","4,678","160","343","5,181"
"James A Garfield NHS","8","9","813","813","31","78","922"
"Jean Lafitte NHP & Pres","41","42","5,891","5,891","155","452","6,498"
"Jewel Cave NM","13","14","1,295","1,295","49","261","1,605"
"Jimmy Carter NHS","17","18","1,747","1,747","58","694","2,499"
"John D Rockefeller Jr Memorial Parkway","0","0","579","579","0","20","599"
"John Day Fossil Beds NM","15","16","1,735","1,735","50","200","1,985"
"John F Kennedy NHS","0","0","556","556","0","13","569"
"John Muir NHS","14","16","1,088","1,088","36","85","1,209"
"Johnstown Flood NMem","7","7","847","847","22","76","945"
"Joshua Tree NP","44","116","6,827","6,827","97","516","7,440"
"Kalaupapa NHP","30","35","4,977","4,977","121","502","5,600"
"Kaloko-Honokohau NHP","16","22","2,069","2,069","53","424","2,546"
"Katahdin Woods and Waters NM
Katmai NP&Pres, Aniakchak NM&Pres & Alagnak","3","4","591","591","23","741","1,355"
"WR","28","41","4,566","4,566","139","837","5,542"
"Kenai Fjords NP","32","38","4,302","4,302","148","1,657","6,107"
"Kennesaw Mountain NBP","15","20","1,982","1,982","71","104","2,157"
"Keweenaw NHP","13","16","1,827","1,827","58","201","2,086"
"Kings Mountain NMP","10","12","1,235","1,235","-39","184","1,380"
"Klondike Gold Rush NHP","24","42","3,399","3,399","108","238","3,745"
"Klondike Gold Rush - Seattle Unit NHP","6","7","790","790","27","274","1,091"
"Knife River Indian Village NHS","9","10","966","966","31","705","1,702"
"Lake Clark NP&Pres","23","27","3,715","3,715","116","306","4,137"
"Lake Mead NRA","123","206","20,195","20,195","20","1,419","21,634"
"Lake Meredith NRA & Alibates Flint Quarry NM","26","34","3,396","3,396","106","256","3,758"
"Lake Roosevelt NRA","49","59","6,488","6,488","99","511","7,098"
"Lassen Volcanic NP","38","61","5,522","5,522","52","610","6,184"
"Lava Beds NM & Tule Lake NM","21","33","2,486","2,486","73","574","3,133"
"Lewis & Clark NHP","15","22","1,793","1,793","49","245","2,087"
"Lincoln Boyhood NMem","9","9","1,132","1,132","39","127","1,298"
"Lincoln Home NHS","21","25","3,021","3,021","86","133","3,240"
"Little Bighorn Battlefield NM","11","14","1,336","1,336","43","192","1,571"
"Little River Canyon NPres","15","17","1,457","1,457","52","195","1,704"
"Little Rock Central High School NHS","11","11","1,039","1,039","37","576","1,652"
"Longfellow House - Washington's Headquarters NHS","0","0","1,304","1,304","0","32","1,336"
"Lowell NHP","63","67","8,831","8,831","267","381","9,479"
"Lyndon B Johnson NHP","28","28","4,142","4,142","110","244","4,496"
"Maggie L Walker NHS","6","6","677","677","27","346","1,050"
"Mammoth Cave NP","55","113","7,010","7,010","241","710","7,961"
"Manassas NBP","29","35","3,434","3,434","128","352","3,914"
"Manhattan Project NHP","4","7","728","728","24","518","1,270"
"Manhattan Sites","21","21","4,760","4,760","188","178","5,126"
"Manzanar NHS","13","16","1,407","1,407","44","96","1,547"
"Marsh-Billings-Rockefeller NHP","14","16","2,206","2,206","69","206","2,481"
"Martin Luther King, Jr NHP","27","28","4,663","4,663","11","929","5,603"
"Martin Van Buren NHS","13","13","1,358","1,358","46","92","1,496"
"Medgar & Myrlie Evers Home NM","1","1","180","180","4","996","1,180"
"Mesa Verde NP","54","93","6,792","6,792","235","545","7,572"
"Mill Springs Battlefield NM","2","2","472","472","12","457","941"
"Minidoka NHS","4","5","488","488","19","278","785"
"Minute Man NHP","22","25","3,296","3,296","103","225","3,624"
"Minuteman Missile NHS","6","8","749","749","21","124","894"
"Mississippi NRRA","20","23","2,114","2,114","79","849","3,042"
"Missouri NRR","5","6","1,242","1,242","28","191","1,461"
"Mojave NPres & Castle Mountains NM","34","42","6,011","6,011","37","505","6,553"
"Monocacy NB","11","14","1,680","1,680","54","251","1,985"
"Montezuma Castle NM & Tuzigoot NM","11","23","1,707","1,707","52","200","1,959"
"Moores Creek NB","6","6","718","718","23","71","812"
"Morristown NHP","23","24","2,853","2,853","97","234","3,184"
"Mount Rainier NP","89","192","12,955","12,955","199","1,290","14,444"
"Mount Rushmore NMem","32","51","4,406","4,406","139","289","4,834"
"Muir Woods NM","7","10","517","517","10","81","608"
"Natchez NHP","15","15","2,662","2,662","60","95","2,817"
"Natchez Trace NST
Natchez Trace Parkway, Brices Cross Roads NBS,","0","0","59","59","0","0","59"
"Tupelo NB","92","99","12,410","12,410","275","665","13,350"
"National Capital Parks-East","119","121","17,642","17,642","474","1,213","19,329"
"National Mall & Memorial Parks","236","247","37,755","37,755","1,034","1,959","40,748"
"National Park of American Samoa","11","16","1,452","1,452","29","438","1,919"
"National Park Service Liaison to the White House","63","67","10,023","10,023","287","401","10,711"
"National Parks of New York Harbor (Hqtrs)","7","7","884","884","36","87","1,007"
"Natural Bridges NM","5","7","565","565","18","67","650"
"New Bedford Whaling NHP","9","9","1,007","1,007","33","81","1,121"
"New Orleans Jazz NHP","5","5","1,387","1,387","41","89","1,517"
"New River Gorge NP&Pres","71","79","8,026","8,026","259","626","8,911"
"Nez Perce NHP","21","22","2,728","2,728","-14","547","3,261"
"Nicodemus NHS","4","4","735","735","16","61","812"
"Ninety Six NHS","4","4","503","503","14","67","584"
"Niobrara NSR
North Cascades NP, Lake Chelan NRA, Ross Lake","7","8","1,069","1,069","30","183","1,282"
"NRA","47","105","7,841","7,841","-318","910","8,433"
"Obed WSR","9","10","1,134","1,134","42","205","1,381"
"Ocmulgee Mounds NHP","12","14","1,410","1,410","48","700","2,158"
"Olympic NP","99","203","13,769","13,769","-34","1,247","14,982"
"Oregon Caves NM & Pres","16","18","1,848","1,848","50","206","2,104"
"Organ Pipe Cactus NM","33","36","4,766","4,766","149","477","5,392"
"Ozark NSR","60","79","7,057","7,057","245","624","7,926"
"Padre Island NS","53","63","6,169","6,169","194","1,074","7,437"
"Palo Alto Battlefield NHS","9","9","1,143","1,143","36","180","1,359"
"Paterson Great Falls NHP","6","6","1,096","1,096","31","78","1,205"
"Pea Ridge NMP","11","12","1,325","1,325","45","266","1,636"
"Pearl Harbor NMem","32","34","4,825","4,825","109","166","5,100"
"Pecos NHP","20","23","2,472","2,472","84","218","2,774"
"Perry's Victory & International Peace Memorial","11","13","1,159","1,159","40","126","1,325"
"Petersburg NB","28","28","3,711","3,711","125","465","4,301"
"Petrified Forest NP","33","48","3,822","3,822","130","535","4,487"
"Petroglyph NM","15","16","1,836","1,836","68","105","2,009"
"Pictured Rocks NL","18","28","2,784","2,784","81","291","3,156"
"Pinnacles NP","22","30","3,876","3,876","83","413","4,372"
"Pipe Spring NM","12","15","1,357","1,357","49","192","1,598"
"Pipestone NM","11","12","1,172","1,172","38","308","1,518"
"Point Reyes NS","48","89","8,633","8,633","-199","1,594","10,028"
"Port Chicago Naval Magazine NMem","1","1","316","316","12","66","394"
"Potomac Heritage NST","0","0","447","447","4","56","507"
"Prince William Forest Park","28","31","3,734","3,734","125","256","4,115"
"Pullman NM","5","5","1,099","1,099","28","408","1,535"
"Pu'uhonua O Honaunau NHP","15","21","2,052","2,052","59","319","2,430"
"Puukohola Heiau NHS","10","13","1,282","1,282","38","83","1,403"
"Rainbow Bridge NM","0","0","153","153","0","5","158"
"Reconstruction Era NHP","6","6","669","669","17","849","1,535"
"Redwood NP","82","109","9,522","9,522","168","1,484","11,174"
"Richmond NBP","30","31","3,377","3,377","122","271","3,770"
"Rio Grande WSR","0","0","216","216","0","7","223"
"River Raisin NBP","7","7","857","857","27","75","959"
"Rock Creek Park","55","56","9,609","9,609","270","576","10,455"
"Rocky Mountain NP","103","247","13,807","13,807","471","2,194","16,472"
"Roger Williams NMem","5","5","730","730","21","74","825"
"Ronald Reagan Boyhood Home NHS","0","0","371","371","0","0","371"
"Rosie the Riveter WWII Home Front NHP","10","11","1,362","1,362","45","93","1,500"
"Russell Cave NM","4","4","420","420","15","65","500"
"Sagamore Hill NHS","14","14","1,672","1,672","50","191","1,913"
"Saguaro NP","32","64","3,986","3,986","146","891","5,023"
"Saint Croix Island IHS","2","2","253","253","7","63","323"
"Saint Croix NSR & Lower Saint Croix NSR","34","34","4,105","4,105","143","422","4,670"
"Saint-Gaudens NHP","11","12","1,372","1,372","35","85","1,492"
"Salem Maritime NHS","21","21","2,742","2,742","89","113","2,944"
"Salinas Pueblo Missions NM","14","18","1,482","1,482","51","95","1,628"
"San Antonio Missions NHP","36","39","4,140","4,140","141","707","4,988"
"San Francisco Maritime NHP","57","66","8,012","8,012","165","381","8,558"
"San Juan Island NHP","8","14","1,089","1,089","31","179","1,299"
"San Juan NHS","30","88","3,730","3,730","30","173","3,933"
"Sand Creek Massacre NHS","6","7","896","896","27","212","1,135"
"Santa Monica Mountains NRA","51","70","9,020","9,020","-3","911","9,928"
"Saratoga NHP","18","21","2,477","2,477","84","430","2,991"
"Saugus Iron Works NHS","7","7","953","953","29","181","1,163"
"Scotts Bluff NM","12","12","1,037","1,037","34","80","1,151"
"Sequoia NP & Kings Canyon NP","141","283","17,705","17,705","276","1,630","19,611"
"Shenandoah NP","96","190","13,039","13,039","432","1,343","14,814"
"Shiloh NMP","24","27","2,984","2,984","94","226","3,304"
"Sitka NHP","17","19","2,313","2,313","69","103","2,485"
"Sleeping Bear Dunes NL","37","92","4,533","4,533","167","469","5,169"
"Southeast Arizona Group","24","27","3,785","3,785","106","362","4,253"
"Southern Arizona Group (Hqtrs)","15","19","1,835","1,835","65","199","2,099"
"Southern Four Corners Group","32","33","4,234","4,234","114","243","4,591"
"Springfield Armory NHS","13","13","1,561","1,561","59","95","1,715"
"Statue of Liberty NM & Ellis Island","97","106","16,589","16,589","445","8,504","25,538"
"Ste. Genevieve NHP","4","4","702","702","19","799","1,520"
"Steamtown NHS","46","47","5,997","5,997","186","264","6,447"
"Stones River NB","13","13","1,371","1,371","44","186","1,601"
"Stonewall NM","1","2","225","225","4","59","288"
"Tallgrass Prairie NPres","11","13","1,043","1,043","41","309","1,393"
"Thaddeus Kosciuszko NMem","0","0","181","181","0","5","186"
"Theodore Roosevelt Inaugural NHS","0","0","314","314","0","0","314"
"Theodore Roosevelt NP & International Peace Garden","33","43","3,210","3,210","111","428","3,749"
"Thomas Edison NHP","22","22","3,103","3,103","106","135","3,344"
"Thomas Stone NHS","1","1","675","675","22","71","768"
"Timpanogos Cave NM","10","19","1,190","1,190","42","264","1,496"
"Tonto NM","8","10","935","935","31","77","1,043"
"Tule Springs Fossil Beds NM","2","2","759","759","17","71","847"
"Tumacacori NHP","11","16","1,382","1,382","47","191","1,620"
"Tuskegee Airmen NHS","7","7","1,008","1,008","24","249","1,281"
"Tuskegee Institute NHS","10","10","1,135","1,135","-36","266","1,365"
"Ulysses S Grant NHS","13","13","1,334","1,334","45","85","1,464"
"Upper Delaware Scenic & Recreational River &
Middle Delaware NSR","23","24","3,612","3,612","110","319","4,041"
"Valles Caldera NPres","25","27","5,028","5,028","116","1,267","6,411"
"Valley Forge NHP","48","50","6,831","6,831","201","418","7,450"
"Vanderbilt Mansion NHS","20","20","1,144","1,144","42","83","1,269"
"Vicksburg NMP","28","31","3,377","3,377","13","600","3,990"
"Virgin Islands Coral Reef NM","0","0","497","497","0","11","508"
"Virgin Islands NP","29","35","5,326","5,326","149","813","6,288"
"Voyageurs NP","35","54","4,425","4,425","145","552","5,122"
"Waco Mammoth NM","2","2","395","395","9","162","566"
"War in the Pacific NHP","13","14","1,688","1,688","37","192","1,917"
"Washita Battlefield NHS","6","7","814","814","26","177","1,017"
"Weir Farm NHS
West. Arctic Parklands - Noatak NPres, Cape","8","9","1,230","1,230","39","258","1,527"
"Krusenstern NM, Kobuk Valley NP","25","27","2,759","2,759","126","279","3,164"
"Whiskeytown NRA","31","67","4,589","4,589","35","336","4,960"
"White Sands NP","15","25","1,718","1,718","60","377","2,155"
"Whitman Mission NHS","6","6","861","861","31","81","973"
"William Howard Taft NHS","8","8","874","874","25","77","976"
"William Jefferson Clinton Birthplace Home NHS","4","4","754","754","17","123","894"
"Wilson's Creek NB","26","26","3,450","3,450","107","551","4,108"
"Wind Cave NP","27","49","2,765","2,765","99","613","3,477"
"Wolf Trap NP","37","37","4,489","4,489","141","303","4,933"
"Women's Rights NHP","13","13","1,671","1,671","49","88","1,808"
"Wrangell-Saint Elias NP&Pres","40","53","6,158","6,158","203","624","6,985"
"Yellowstone NP","290","506","37,371","37,371","1,246","2,271","40,888"
"Yosemite NP","225","565","31,109","31,109","451","2,117","33,677"
"Yucca House NM","0","0","114","114","0","4","118"
"Yukon-Charley Rivers NPres","0","0","1,926","1,926","0","43","1,969"
"Zion NP","76","177","8,475","8,475","294","870","9,639"
"Subtotal, Park Units","10,160","14,703","1,390,384","1,390,384","36,805","154,563","1,581,752"
"National Trails System","","","","","","",""
"[Appalachian NST]","[7]","[8]","[1,786]","[1,786]","[54]","[217]","[2,057]"
"[Natchez Trace NST]","[0]","[0]","[59]","[59]","[0]","[0]","[59]"
"[Potomac Heritage NST]","[0]","[0]","[447]","[447]","[4]","[56]","[507]"
"Ala Kahakai NHT","3","9","584","584","15","16","615"
"California NHT","0","0","386","386","0","6","392"
"Captain John Smith Chesapeake NHT","4","4","843","843","19","11","873"
"El Camino Real de los Tejas NHT","0","0","235","235","0","4","239"
"El Camino Real de Tierra Adentro NHT","0","0","326","326","0","4","330"
"Ice Age NST","4","4","914","914","24","76","1,014"
"Juan Bautista de Anza NHT","3","3","595","595","11","11","617"
"Lewis & Clark NHT","16","16","2,322","2,322","69","49","2,440"
"Mormon Pioneer NHT","0","0","279","279","0","4","283"
"New England NST","0","0","162","162","0","1","163"
"North Country NST","5","5","1,315","1,315","26","15","1,356"
"Old Spanish NHT","0","0","280","280","0","3","283"
"Oregon NHT","0","0","489","489","0","15","504"
"Overmountain Victory NHT","0","0","367","367","0","1","368"
"Pony Express NHT","0","0","287","287","0","4","291"
"Santa Fe NHT","17","18","763","763","89","15","867"
"Selma to Montgomery NHT","12","12","1,512","1,512","44","1,082","2,638"
"Star Spangled Banner NHT","0","0","190","190","0","4","194"
"Trail of Tears NHT","0","0","540","540","0","8","548"
"Washington Rochambeau Revolutionary Route NHT","1","1","313","313","6","4","323"
"National Trail System Program","0","2","400","400","4","8","412"
"Subtotal, National Trails System","63","72","13,102","13,102","307","1,341","14,750"
"[Subtotal, National Trails System with Park
Units]","[71]","[81]","[15,394]","[15,394]","[365]","[1,614]","[17,373]"
"Partnership Wild & Scenic Rivers","","","","","","",""
"[Great Egg Harbor Scenic & Recreational River]","[0]","[0]","[241]","[241]","[0]","[3]","[244]"
"Eightmile WSR","0","0","241","241","0","0","241"
"Farmington (West Branch) WSR","0","0","241","241","0","0","241"
"Lamprey WSR","0","0","241","241","0","0","241"
"Lower Delaware WSR","0","0","241","241","0","0","241"
"Lower Farmington & Salmon Brook WSR","0","0","241","241","0","0","241"
"Maurice WSR","0","0","241","241","0","0","241"
"Missisquoi and Trout Rivers WSR","0","0","241","241","0","0","241"
"Musconetcong WSR","0","0","241","241","0","0","241"
"Nashua WSR","0","0","241","241","0","0","241"
"Sudbury, Assabet, Concord WSR","0","0","241","241","0","0","241"
"Taunton WSR","0","0","241","241","0","0","241"
"Wekiva WSR","0","0","241","241","0","0","241"
"Westfield WSR","0","0","241","241","0","0","241"
"White Clay Creek WSR","0","0","241","241","0","0","241"
"Wood-Pawcatuck Watershed WSR","0","0","241","241","0","0","241"
"Wild & Scenic River Program","0","1","71","71","4","0","75"
"Subtotal, Partnership Wild & Scenic Rivers","0","1","3,686","3,686","4","0","3,690"
"[Subtotal, Partnership Wild & Scenic Rivers with
Park Units]","[0]","[1]","[3,927]","[3,927]","[4]","[3]","[3,934]"
"Affiliated Areas","","","","","","",""
"American Memorial Park","8","10","1,651","1,651","42","36","1,729"
"Gloria Dei (Old Swedes') Church NHS","0","0","35","35","0","1","36"
"Ice Age National Scientific Reserve","0","0","739","739","0","0","739"
