"OPERATION OF THE NAT'L PARK SYSTEM
Parks, Offices and Programs","FY09
Pk Base
1 FTE","FY09
Total
2 FTE","FY 2009
Final","FY 2010
Enacted","FY 2011
Transfers","FY 2011
Fixed Cost
incl. Planned
3 Absorptions","FY 2011
Management
4 Efficiencies","FY 2011
Program
Changes","FY 2011
President's
Request"
Canaveral NS,34,51,3107,3260,0,[101],-23,0,3237
Cane River Creole NHP,11,12,1080,1170,0,[44],-8,0,1162
Canyon de Chelly NM,25,34,1993,2061,0,[37],-22,0,2039
Canyonlands NP,80,101,6456,6797,0,[134],-57,220,6960
Cape Cod NS,81,116,7516,7952,0,[149],-66,0,7886
"Cape Hatteras Group - Cape Hatteras NS
Fort Raleigh NHS, Wright Bro. NMem",98,132,9190,10116,0,[169],-74,0,10042
Cape Lookout NS,22,41,2458,2565,0,[41],-31,0,2534
Capitol Reef NP,28,37,2320,2382,0,[49],-21,513,2874
Capulin Volcano NM,9,9,737,754,0,[15],-7,105,852
Carl Sandburg Home NHS,13,18,1204,1280,0,[21],-10,0,1270
Carlsbad Caverns NP,70,86,5992,6279,0,[150],-63,0,6216
Carter G. Woodson Home NHS,0,0,39,53,0,[0],0,0,53
Casa Grande Ruins NM & Hohokam Pima NM,10,16,846,869,0,[18],-7,0,862
Castillo de San Marcos NM & Ft Matanzas NM,20,39,2054,2174,0,[42],-16,0,2158
Catoctin Mountain Park,32,35,3494,3546,0,[67],-29,0,3517
Cedar Breaks NM,6,10,497,710,0,[17],-8,0,702
Cedar Creek and Belle Grove NHP,2,2,412,904,0,[5],-3,0,901
Chaco Culture NHP,19,27,2003,2101,0,[35],-14,350,2437
Chamizal NMem,23,23,2433,2479,0,[59],-25,249,2703
Channel Islands NP,61,68,7030,7579,0,[229],-53,308,7834
Charles Pinckney NHS,7,7,539,552,0,[11],-4,0,548
Chattahoochee River NRA,29,35,3077,3451,0,[59],-22,416,3845
Chesapeake & Ohio Canal NHP,102,119,10331,10597,0,[211],-94,0,10503
Chickamauga and Chattanooga NMP,32,41,3122,3486,0,[59],-26,0,3460
Chickasaw NRA,41,47,3736,4016,0,[103],-43,0,3973
Chiricahua NM & Ft Bowie NHS,18,20,1751,1841,0,[34],-16,217,2042
Christiansted NHS & Buck Island Reef NM,18,18,1731,1891,0,[65],-16,290,2165
City of Rocks National Reserve,0,0,428,482,0,[4],-12,0,470
Clara Barton NHS,5,5,547,754,0,[12],-4,0,750
Colonial NHP,70,76,6991,7069,0,[138],-64,0,7005
Colorado NM,17,29,1586,1943,0,[28],-14,0,1929
Congaree NP,17,20,1837,1935,0,[27],-14,0,1921
Coronado NMem,14,15,1776,1797,0,[27],-17,0,1780
Cowpens NB,9,10,788,860,0,[13],-9,0,851
Crater Lake NP,57,80,5395,5530,0,[107],-57,0,5473
Craters of the Moon NM & Preserve,18,22,1611,1654,0,[35],-30,326,1950
Cumberland Gap NHP,35,49,3627,3689,0,[68],-44,0,3645
Cumberland Island NS,23,25,2636,2679,0,[58],-33,255,2901
Curecanti NRA,39,51,3985,4204,0,[70],-44,0,4160
Cuyahoga Valley NP,107,140,11606,11238,0,[203],0,600,11838
Dayton Aviation NHP,21,21,1723,2042,0,[36],-13,0,2029
De Soto NMem,9,9,720,766,0,[13],-8,0,758
Death Valley NP,86,124,8902,9132,0,[163],-157,0,8975
Delaware Water Gap NRA,97,113,9904,9863,0,[197],-85,0,9778
Denali NP & Preserve,109,184,12642,13976,0,[559],-146,483,14313
Devils Postpile NM,6,8,559,633,0,[9],-4,0,629
Devils Tower NM,15,19,1377,1399,0,[22],-17,0,1382
Dinosaur NM,31,43,3571,3685,0,[54],-171,0,3514
Dry Tortugas NP,11,12,1693,1785,0,[20],-3,0,1782
Ebey's Landing Natl Historical Reserve,1,1,347,359,0,[4],-1,242,600
Edgar Allan Poe NHS,0,0,384,396,0,[9],0,0,396
Effigy Mounds NM,16,20,1147,1900,0,[23],-7,0,1893
Eisenhower NHS,9,10,1090,1121,0,[28],-5,0,1116
El Malpais NM,15,21,1704,1814,0,[74],-22,0,1792
El Morro NM,11,11,901,923,0,[16],-7,0,916
Eleanor Roosevelt NHS,11,12,858,864,0,[7],-5,0,859
Eugene O'Neill NHS,5,5,427,708,0,[8],-3,0,705
Everglades NP,170,182,17592,17991,0,[479],-13,497,18475
Fire Island NS,53,57,4689,5052,0,[94],-62,0,4990
First Ladies NHS,0,0,1020,1021,0,[1],0,0,1021
"Flagstaff Area Parks - Sunset Crater Volcano
NM, Walnut Canyon NM, Wupatki NM",29,45,3600,3679,0,[121],-32,0,3647
Flight 93 NMem,6,6,782,1088,0,[23],-7,0,1081
Florissant Fossil Beds NM,13,15,926,950,0,[21],-8,0,942
Ford's Theatre NHS,17,17,1387,1505,0,[29],-13,0,1492
Fort Caroline NMem & Timucuan Ecol & His. NPre s,27,29,2390,2854,0,[47],-16,0,2838
Fort Davis NHS,13,17,1155,1369,0,[24],-11,0,1358
Fort Donelson NB,13,15,1190,1516,0,[27],-11,0,1505
Fort Frederica NM,9,10,859,889,0,[18],-12,0,877
Fort Laramie NHS,22,26,1697,1732,0,[36],-17,0,1715
Fort Larned NHS,13,13,1015,1040,0,[25],-8,0,1032
Fort McHenry NM & Historic Shrine,23,31,2315,2613,0,[41],-21,370,2962
Fort Necessity NB,16,18,1618,1653,0,[33],-31,0,1622
Fort Point NHS,5,6,530,548,0,[11],-2,264,810
Fort Pulaski NM,14,21,1130,1411,0,[23],-10,0,1401
Fort Scott NHS,15,18,1280,1371,0,[27],-12,0,1359
Fort Smith NHS,11,12,1039,1112,0,[20],-9,0,1103
Fort Stanwix NM,16,16,1529,1625,0,[27],-13,0,1612
Fort Sumter NM,22,23,2101,2220,0,[41],-17,0,2203
Fort Union NM,14,18,962,1259,0,[20],-8,0,1251
Fort Union Trading Post NHS,9,10,806,859,0,[16],-7,0,852
Fort Vancouver NHS,20,28,1695,1747,0,[38],-13,376,2110
Fort Washington Park,13,14,1022,1044,0,[23],-10,0,1034
Fossil Butte NM,9,9,751,767,0,[16],-7,0,760
Franklin Delano Roosevelt Memorial,0,0,1481,1805,0,[0],0,0,1805
Frederick Douglass NHS,8,8,534,705,0,[10],-3,0,702
Frederick Law Olmsted NHS,36,43,2382,2422,0,[84],-26,0,2396
Fredericksburg/Spotsylvania NMP,46,46,4399,4560,0,[159],-46,280,4794
Friendship Hill NHS,7,7,565,580,0,[14],-4,0,576
Gates of the Arctic NP & Preserve,35,44,2800,2881,0,[99],-38,275,3118
Gateway NRA,257,326,26103,26538,0,[472],-176,475,26837
Gauley River NRA,3,3,628,824,0,[17],-3,0,821
George Rogers Clark NHP,12,12,911,935,0,[22],-8,136,1063
George Washington Birthplace NM,18,20,1592,1742,0,[37],-15,0,1727
George Washington Carver NM,12,12,1502,1522,0,[19],-12,0,1510
George Washington Memorial Parkway,108,115,11320,11483,0,[224],-114,340,11709
Gettysburg NMP,76,84,7266,7050,0,[148],-58,0,6992
Gila Cliff Dwellings NM,2,3,389,395,0,[4],-5,336,726
Glacier Bay NP & Preserve,43,71,4670,4821,0,[226],-52,0,4769
Glacier NP,157,254,13883,14410,0,[272],-134,0,14276
Glen Canyon NRA,110,152,11294,11769,0,[383],-104,0,11665
Golden Gate NRA,154,211,16645,17235,0,[334],-264,0,16971
Presidio of San Francisco,121,133,8072,8253,0,[542],-66,0,8187
Golden Spike NHS,11,11,1061,1104,0,[19],-10,0,1094
Governor's Island NM,9,9,1486,1505,0,[19],-6,0,1499
Grand Canyon NP,209,469,21976,23076,0,[469],-265,520,23331
Grand Portage NM,13,14,1373,1398,0,[21],-28,0,1370
Grand Teton NP,130,226,13105,13733,0,[242],-209,247,13771
Grant-Kohrs Ranch NHS,18,19,1469,1536,0,[32],-12,0,1524
Great Basin NP,29,45,2570,2861,0,[52],-18,0,2843
Great Sand Dunes NP & Preserve,25,29,2288,2366,0,[45],-20,625,2971
Great Smoky Mountains NP,197,293,19363,20341,0,[404],-179,238,20400
Greenbelt Park,14,15,1239,1261,0,[23],-12,0,1249
Guadalupe Mountains NP,30,38,2965,3017,0,[52],-32,0,2985
Guilford Courthouse NMP,11,12,866,1136,0,[18],-9,221,1348
Gulf Islands NS,71,94,7032,7773,0,[139],-49,0,7724
Hagerman Fossil Beds NM,7,9,796,963,0,[19],-5,0,958
Haleakala NP,52,81,4910,5329,0,[246],-41,0,5288
Hampton NHS,8,9,1223,1247,0,[20],-20,270,1497
Harpers Ferry NHP,79,90,6455,7043,0,[141],-59,0,6984
Harry S Truman NHS,17,17,1297,1301,0,[46],-12,135,1424
Hawaii Volcanoes NP,84,140,7010,7125,0,[434],-146,0,6979
Herbert Hoover NHS,15,16,1350,1435,0,[28],-13,0,1422
Home of Franklin D Roosevelt NHS,29,31,3114,3695,0,[83],-30,0,3665
Homestead NM of America,16,17,1288,1315,0,[29],-13,0,1302
Hopewell Culture NHP,14,15,1117,1448,0,[22],-26,0,1422
Hopewell Furnace NHS,17,17,1387,1423,0,[33],-8,0,1415
Horseshoe Bend NMP,9,10,802,818,0,[16],-7,0,811
Hot Springs NP,48,60,4401,4751,0,[85],-42,188,4897
Hovenweep NM,5,7,551,564,0,[12],-4,234,794
Hubbell Trading Post NHS,11,12,885,907,0,[19],-6,416,1317
Independence NHP,205,209,23993,24627,0,[403],-134,0,24493
Indiana Dunes NL,84,110,8524,9508,0,[173],-75,229,9662
Isle Royale NP,40,54,4371,4593,0,[79],-42,385,4936
James A Garfield NHS,8,8,210,717,0,[12],-4,0,713
Jean Lafitte NHP & Preserve,60,61,5295,5794,0,[108],-30,0,5764
Jefferson National Expansion Memorial,124,149,10540,10448,0,[218],-82,0,10366
Jewel Cave NM,15,20,1173,1247,0,[21],-10,0,1237
Jimmy Carter NHS,20,20,1599,1698,0,[33],-17,196,1877
John D Rockefeller Jr Mem Parkway,1,1,521,533,0,[12],-4,0,529
John Day Fossil Beds NM,20,21,1627,1670,0,[32],-22,0,1648
John F Kennedy NHS,0,0,461,523,0,[7],-1,0,522
John Muir NHS,10,10,1029,1058,0,[20],-7,0,1051
Johnstown Flood NMem,7,7,824,840,0,[16],-14,0,826
Joshua Tree NP,59,110,5572,6381,0,[113],-39,0,6342
Kalaupapa NHP,26,36,3609,4147,0,[149],-50,0,4097
Kaloko-Honokohau NHP,18,23,1864,2176,0,[154],-13,175,2338
"Katmai NP&Pres, Aniakchak NM&Pres, & Alagnak",31,36,3651,3949,0,[238],-43,0,3906
Kenai Fjords NP,33,39,3475,3807,0,[150],-27,199,3979
Kennesaw Mountain NBP,16,17,1706,1729,0,[31],-28,157,1858
Keweenaw NHP,15,19,1528,1561,0,[56],-10,0,1551
Kings Mountain NMP,13,15,1169,1191,0,[21],-12,0,1179
Klondike Gold Rush NHP,30,36,2819,2958,0,[143],-22,0,2936
Klondike Gold Rush NHP (Seattle),8,9,495,733,0,[67],-3,0,730
Knife River Indian Village NHS,10,11,897,918,0,[17],-8,0,910
Lake Clark NP & Preserve,22,29,2990,3351,0,[119],-27,126,3450
Lake Mead NRA,144,273,17460,18329,0,[287],-169,0,18160
Parashant NM,10,10,1514,1695,0,[19],-6,0,1689
Lake Meredith NRA & Alibates Flint Quarry NM,27,39,3087,3212,0,[77],-36,0,3176
Lake Roosevelt NRA,48,63,5225,5958,0,[88],-62,0,5896
Lassen Volcanic NP,48,76,5167,5500,0,[89],-48,0,5452
Lava Beds NM,22,37,1972,2062,0,[39],-16,0,2046
Lewis & Clark NHP,20,23,1632,1727,0,[33],-13,0,1714
Lincoln Boyhood NMem,12,13,993,1016,0,[18],-10,0,1006
Lincoln Home NHS,32,45,2602,2910,0,[56],-18,0,2892
Lincoln Memorial,0,0,2227,2529,0,[0],0,0,2529
Little Bighorn Battlefield NM,16,21,1219,1275,0,[23],-11,0,1264
Little River Canyon Natl Preserve,16,17,1446,1586,-105,[37],-12,0,1469
Little Rock Central High School NHS,9,9,1003,1020,0,[14],-9,0,1011
Longfellow NHS,0,0,1025,1199,0,[22],-2,0,1197
Lowell NHP,92,96,10014,10131,0,[186],-72,129,10188
Lyndon B Johnson NHP,47,48,3943,4121,0,[81],-36,0,4085
Maggie L Walker NHS,6,6,611,624,0,[13],-5,0,619
Mammoth Cave NP,85,129,6668,6819,0,[150],-111,0,6708
Manassas NBP,28,31,3059,3155,0,[59],-24,0,3131
Manhattan Sites (Hqtrs),18,18,973,1003,0,[33],-12,0,991
Castle Clinton NM,5,6,625,637,0,[8],-3,0,634
Federal Hall NMem,5,8,1115,1125,0,[8],-3,0,1122
General Grant NMem,2,2,675,934,0,[8],-2,0,932
Hamilton Grange NMem,2,2,178,178,0,[3],-1,286,463
Saint Paul's Church NHS,0,0,291,291,0,[0],0,0,291
Theodore Roosevelt Birthplace NHS,2,2,235,241,0,[6],0,0,241
Manzanar NHS,13,15,1248,1361,0,[20],-19,0,1342
Marsh-Billings-Rockefeller NHP,17,20,1913,2125,0,[35],-18,0,2107
"Martin Luther King, Jr NHS",30,31,4150,4239,0,[58],-22,0,4217
Martin Van Buren NHS,14,14,1231,1274,0,[23],-11,175,1438
Mary McLeod Bethune Council House NHS,7,7,651,919,0,[14],-4,0,915
Mesa Verde NP,63,107,6541,7001,0,[123],-93,0,6908
Minidoka Internment NM,4,4,383,451,0,[4],-1,0,450
Minute Man NHP,30,34,2744,2891,0,[62],-17,212,3086
Minuteman Missile NHS,8,8,672,701,-13,[14],-6,0,682
Mississippi NR & RA,25,28,2074,2091,0,[141],-12,0,2079
Missouri NRR,7,7,834,1032,-120,[69],-7,0,905
Mojave NPres,44,57,5036,5131,0,[221],-37,0,5094
Monocacy NB,16,20,1480,1575,0,[33],-10,0,1565
Montezuma Castle NM & Tuzigoot NM,17,28,1492,1693,0,[46],-9,0,1684
Moores Creek NB,5,5,654,701,0,[8],-5,0,696
Morristown NHP,27,27,2587,2713,0,[50],-23,362,3052
Mount Rainier NP,113,196,11542,12379,0,[220],-122,0,12257
Mount Rushmore NMem,48,69,4468,4164,0,[88],-44,0,4120
Muir Woods NM,7,7,451,463,0,[15],-6,264,721
Natchez NHP,17,19,2036,2057,0,[31],-24,240,2273
Natchez Trace NST,0,0,29,29,0,[0],0,0,29
"Natchez Trace Pkwy, Brices Crossroads, Tupelo N",128,142,11826,12178,0,[235],-138,0,12040
National Capital Parks-East,99,101,10620,10912,0,[203],-84,313,11141
National Mall & Memorial Parks,307,317,22742,22315,0,[571],-341,2885,24859
Presidential Inaugural,0,0,450,0,0,[0],0,0,0
National Park of American Samoa,14,18,1757,1951,0,[80],-10,0,1941
National Park Service Liaison to the White House,38,60,6086,6241,0,[92],-41,0,6200
Presidential Inaugural,0,0,550,0,0,[0],0,0,0
Natural Bridges NM,7,9,548,560,0,[10],-19,498,1039
Navajo NM,11,12,1083,1127,0,[17],-9,0,1118
New Bedford Whaling NHP,6,6,940,951,0,[11],-4,225,1172
New Orleans Jazz NHP,5,5,1065,1321,0,[34],-8,0,1313
New River Gorge National River,91,103,7697,7674,0,[181],-60,0,7614
Nez Perce NHP,23,23,1999,2688,0,[49],-17,0,2671
Nicodemus NHS,5,5,621,704,0,[8],-4,230,930
Ninety Six NHS,5,5,469,478,0,[10],-4,0,474
Niobrara NSR,9,9,1052,1116,-57,[15],-10,0,1049
"North Cascades NP, Lake Chelan NRA, Ross Lak e",73,139,7363,7669,0,[141],-59,768,8378
Obed Wild & Scenic River,8,8,795,1066,0,[18],-5,0,1061
Ocmulgee NM,14,15,1181,1333,0,[20],-12,0,1321
Olympic NP,133,201,12678,13060,0,[259],-264,0,12796
Oregon Caves NM,19,22,1512,1604,0,[28],-13,0,1591
Organ Pipe Cactus NM,37,40,4508,4635,0,[73],-51,0,4584
Ozark National Scenic Riverways,72,97,6429,6923,0,[237],-62,0,6861
Padre Island NS,49,64,5073,5977,0,[85],-56,0,5921
Palo Alto Battlefield NHS,9,9,958,977,0,[63],-10,0,967
Pea Ridge NMP,16,20,1171,1267,0,[27],-8,0,1259
Pecos NHP,15,25,1575,2239,0,[33],-14,0,2225
Perry's Victory & International Peace Memorial,14,17,1112,1136,0,[25],-8,0,1128
Petersburg NB,37,38,3331,3514,0,[70],-26,0,3488
Petrified Forest NP,40,53,3562,3701,0,[70],-35,0,3666
Petroglyph NM,20,25,1655,1814,0,[37],-15,149,1948
Pictured Rocks NL,25,31,2487,2744,0,[47],-24,0,2720
Pinnacles NM,30,41,3235,3601,0,[63],-186,0,3415
Pipe Spring NM,11,15,1011,1264,0,[20],-6,0,1258
Pipestone NM,9,11,1059,1200,-52,[15],-10,0,1138
Piscataway Park,4,4,583,621,0,[9],-4,0,617
Point Reyes NS,65,117,7206,7815,0,[142],-84,0,7731
Port Chicago Naval Magazine NMem,0,0,0,0,0,[0],0,180,180
Potomac Heritage NST,1,1,365,402,0,[4],0,0,402
President's Park,26,26,3344,3361,0,[49],-22,0,3339
Prince William Forest Park,39,49,3512,3505,0,[78],-33,0,3472
Pu'uhonua O Honaunau NHP,18,24,1633,1886,0,[81],-13,0,1873
Puukohola Heiau NHS,11,17,938,964,0,[57],-9,278,1233
Rainbow Bridge NM,0,0,109,112,0,[3],0,0,112
Redwood NP,102,129,8988,9222,0,[212],-67,498,9653
Richmond NBP,32,36,3237,3298,0,[57],-28,500,3770
Rio Grande W&S River,0,0,192,196,0,[4],0,0,196
Rock Creek Park,58,62,8472,9281,0,[115],-79,1036,10238
Rocky Mountain NP,134,262,12983,13469,0,[262],-112,0,13357
Roger Williams NMem,5,5,542,585,0,[11],-3,0,582
Rosie the Riveter/WWII Home Front NHP,7,7,754,1341,0,[15],-4,0,1337
Russell Cave NM,5,5,396,402,0,[7],-4,0,398
Sagamore Hill NHS,19,20,1548,1581,0,[32],-11,372,1942
Saguaro NP,39,77,3678,3933,0,[69],-28,0,3905
Saint Croix Island IHS,1,2,233,237,0,[4],-2,0,235
Saint Croix NSR & Lower Saint Croix NSR,47,50,3840,4012,0,[85],-28,0,3984
Saint-Gaudens NHS,13,15,1279,1307,0,[25],-10,0,1297
Salem Maritime NHS,32,33,2562,2622,0,[52],-19,0,2603
Salinas Pueblo Missions NM,20,24,1395,1426,0,[70],-13,0,1413
Salt River Bay NHP & Ecological Preserve,0,0,498,806,0,[27],-2,205,1009
San Antonio Missions NHP,44,45,3746,3979,0,[152],-33,0,3946
San Francisco Maritime NHP,76,84,7468,8033,0,[280],-56,419,8396
San Juan Island NHP,9,12,812,1040,0,[26],-5,0,1035
San Juan NHS,44,90,3366,3446,0,[185],-28,0,3418
Sand Creek Massacre NHS,6,6,798,863,0,[11],-10,0,853
Santa Monica Mountains NRA,70,91,8615,8909,0,[327],-183,0,8726
Saratoga NHP,22,24,2007,2332,0,[42],-16,0,2316
Saugus Iron Works NHS,9,9,894,912,0,[19],-9,0,903
Scotts Bluff NM,12,14,972,1026,0,[19],-12,0,1014
Sequoia NP & Kings Canyon NP,177,314,16723,17306,0,[317],-289,0,17017
Shenandoah NP,133,196,12687,13171,0,[254],-139,0,13032
Shiloh NMP,30,30,2416,2454,0,[47],-26,0,2428
Sitka NHP,18,23,1974,2065,0,[114],-14,0,2051
Sleeping Bear Dunes NL,50,74,4391,4553,-60,[167],-36,0,4457
Springfield Armory NHS,13,13,1424,1509,0,[23],-10,0,1499
Statue of Liberty NM & Ellis Island,92,131,16035,16330,0,[196],-59,1014,17285
Steamtown NHS,56,60,5673,5861,0,[113],-55,0,5806
Stones River NB,16,19,1301,1322,0,[26],-11,0,1311
Tallgrass Prairie NPres,12,13,979,1003,0,[30],-8,85,1080
Thaddeus Kosciuszko NMem,0,0,161,165,0,[4],0,0,165
Theodore Roosevelt Inaugural NHS,0,0,294,294,0,[0],0,0,294
Theodore Roosevelt Island NMem,1,1,128,129,0,[2],0,0,129
Theodore Roosevelt NP,32,43,2647,3034,0,[57],-26,0,3008
Thomas Edison NHP,24,25,2475,2959,0,[49],-13,0,2946
Thomas Jefferson Memorial,0,0,2494,2625,0,[0],0,0,2625
Thomas Stone NHS,7,7,631,637,0,[6],-3,0,634
Timpanogos Cave NM,13,29,1084,1106,0,[20],-11,0,1095
Tonto NM,9,11,881,904,0,[18],-8,193,1089
Tumacacori NHP,14,18,1289,1317,0,[30],-9,0,1308
Tuskegee Airmen NHS,5,5,489,796,0,[10],-30,108,874
Tuskegee Institute NHS,10,10,1089,1103,0,[15],-11,0,1092
Ulysses S Grant NHS,12,14,1003,1313,0,[16],-10,0,1303
Upper Delaware SRR & Middle Delaware NSR,30,30,3405,3466,0,[62],-22,125,3569
Valley Forge NHP,68,74,6973,7198,0,[147],-54,100,7244
Vanderbilt Mansion NHS,22,24,1215,1049,0,[24],-13,0,1036
Vicksburg NMP,35,40,2861,3241,0,[63],-26,0,3215
Virgin Islands Coral Reef NM,1,1,390,446,0,[6],-4,0,442
Virgin Islands NP,52,59,5033,5153,0,[245],-50,0,5103
Voyageurs NP,45,64,4251,5163,-750,[181],-42,0,4371
War in the Pacific NHP,16,16,1525,1548,0,[151],-15,0,1533
Washington Monument,0,0,2746,3211,0,[0],0,0,3211
Washita Battlefield NHS,8,9,781,794,0,[12],-11,71,854
Weir Farm NHS,11,12,1032,1054,0,[20],-10,222,1266
"Western Arctic National Parklands -Bering Land Bridge NPres, Noatak NPres,
Cape Krusenstern NM, Kobuk Valley NP",24,25,3758,3841,0,[157],-37,116,3920
Whiskeytown NRA,41,71,3913,4507,0,[77],-27,0,4480
White Sands NM,18,22,1614,1646,0,[29],-16,289,1919
Whitman Mission NHS,10,10,1032,832,0,[17],-6,132,958
William Howard Taft NHS,8,8,788,842,0,[23],-4,0,838
Wilson's Creek NB,22,30,2543,2709,0,[40],-21,0,2688
Wind Cave NP,32,72,2743,2810,0,[55],-23,0,2787
Wolf Trap NP,51,51,4131,4221,0,[85],-39,0,4182
Women's Rights NHP,16,16,1569,1599,0,[42],-16,431,2014
World War II Valor in the Pacific NM,27,33,2999,3549,0,[116],-88,0,3461
Wrangell-Saint Elias NP & Preserve,42,60,4940,5417,0,[283],-43,0,5374
Yellowstone NP,318,555,34836,36958,0,[627],-442,0,36516
Yosemite NP,300,701,28938,29855,0,[560],-394,500,29961
Yucca House NM,0,0,104,106,0,[3],0,0,106
Yukon-Charley Rivers Natl Preserve,0,0,1529,2055,0,[67],-13,230,2272
Zion NP,84,173,7787,8307,0,[146],-93,0,8214
