Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,"OPERATION OF THE NATIONAL PARK SYSTEM
ORGANIZATIONS","FY 2016
Park Base
FTE^{1}","FY 2016
Total FTE^{2}","FY 2016
Final^{6}","FY 2017 CR
Baseline","Fixed Costs
& Internal
Transfers","Program
Changes","FY 2018
Request","Fixed Costs
& Internal
Transfe rs"
Upper Delaware Scenic & Recreational River & Middle Delaware NSR,26,26,"3,400","3,394",44,-235,"3,203",,,,,,,,,
Valles Caldera NPres,26,30,"3,354","3,348",37,-232,"3,153",,,,,,,,,
Valley Forge NHP,51,54,"6,348","6,336",84,-440,"5,980",,,,,,,,,
Vanderbilt Mansion NHS,28,31,"1,078","1,076",16,-75,"1,017",,,,,,,,,
Vicksburg NMP,33,37,"3,208","3,202",44,-222,"3,024",,,,,,,,,
Virgin Islands Coral Reef NM,0,0,454,453,7,-31,429,,,,,,,,,
Virgin Islands NP,42,49,"5,050","5,040",68,-350,"4,758",,,,,,,,,
Voyageurs NP,42,61,"4,208","4,200",62,-291,"3,971",,,,,,,,,
Waco Mammoth NM,2,2,180,180,2,-12,170,,,,,,,,,
War in the Pacific NHP,19,21,"1,596","1,593",22,-111,"1,504",,,,,,,,,
Washita Battlefield NHS,8,8,770,769,12,-53,728,,,,,,,,,
Weir Farm NHS,8,11,"1,163","1,161",15,-81,"1,095",,,,,,,,,
"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres,
Cape Krusenstern NM, Kobuk Valley NP",22,25,"3,868","3,861",41,-268,"3,634",,,,,,,,,
Whiskeytown NRA,41,71,"4,401","4,393",65,-305,"4,153",,,,,,,,,
White Sands NM,14,24,"1,635","1,632",22,-113,"1,541",,,,,,,,,
Whitman Mission NHS,9,9,814,812,13,-56,769,,,,,,,,,
William Howard Taft NHS,7,7,865,863,11,-60,814,,,,,,,,,
William Jefferson Clinton Birthplace Home NHS,7,7,458,457,8,-32,433,,,,,,,,,
Wilson's Creek NB,26,29,"3,278","3,272",42,-227,"3,087",,,,,,,,,
Wind Cave NP,30,55,"2,587","2,582",41,-179,"2,444",,,,,,,,,
Wolf Trap NP,47,47,"4,196","4,188",65,-291,"3,962",,,,,,,,,
Women's Rights NHP,9,9,"1,592","1,589",15,-110,"1,494",,,,,,,,,
World War II Valor in the Pacific NM,36,38,"3,628","3,621",48,-251,"3,418",,,,,,,,,
Wrangell-Saint Elias NP&Pres,43,61,"5,775","5,764",83,-400,"5,447",,,,,,,,,
Yellowstone NP,323,531,"35,363","35,296",503,"-2,449","33,350",,,,,,,,,
Yosemite NP,242,636,"30,969","30,910",399,"-2,145","29,164",,,,,,,,,
Yucca House NM,0,0,105,105,2,-7,100,,,,,,,,,
Yukon-Charley Rivers NPres,0,0,"1,825","1,822",20,-126,"1,716",,,,,,,,,
Zion NP,75,165,"7,737","7,722",112,-536,"7,298",,,,,,,,,
"Subtotal, Park Units","11,088","15,683","1,323,697","1,321,183","18,221","-90,588","1,248,816",,,,,,,,,
National Trail System^{3},,,,,,,,,,,,,,,,
[Appalachian NST],[5],[9],"[1,575]","[1,572]",[11],[-109],"[1,474]",,,,,,,,,
[Potomac Heritage NST],[1],[1],[415],[414],[3],[-29],[388],,,,,,,,,
Ala Kahakai NHT,4,5,532,531,7,-37,501,,,,,,,,,
California NHT,0,0,347,346,3,-24,325,,,,,,,,,
Captain John Smith Chesapeake NHT,0,0,386,385,7,-27,365,,,,,,,,,
El Camino Real de los Tejas NHT,0,0,198,198,2,-14,186,,,,,,,,,
El Camino Real de Tierra Adentro NHT,0,0,287,286,4,-20,270,,,,,,,,,
Ice Age NST,6,7,832,830,11,-58,783,,,,,,,,,
Juan Bautista de Anza NHT,3,3,542,541,8,-38,511,,,,,,,,,
Lewis & Clark NHT,14,14,"2,018","2,014",24,-140,"1,898",,,,,,,,,
Mormon Pioneer NHT,0,0,244,244,0,-17,227,,,,,,,,,
New England NST,0,0,127,127,1,-9,119,,,,,,,,,
North Country NST,3,3,912,910,7,-63,854,,,,,,,,,
Old Spanish NHT,0,0,243,243,2,-17,228,,,,,,,,,
Oregon NHT,0,0,431,430,6,-30,406,,,,,,,,,
Overmountain Victory NHT,0,0,336,335,1,-23,313,,,,,,,,,
Pony Express NHT,0,0,251,251,1,-17,235,,,,,,,,,
Santa Fe NHT,18,19,713,712,9,-49,672,,,,,,,,,
Selma to Montgomery NHT,5,5,"1,431","1,428",11,-99,"1,340",,,,,,,,,
