"OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2019
Park
Base
FTE^{1}","FY 2019
Total
FTE^{2}","FY 2019
Actual^{6}","FY 2020
Enacted","FY 2021
Fixed Costs
& Internal
Transfers","FY 2021
Program
Changes","FY 2021
Request"
"Dry Tortugas NP","13","14","2122","2162","32","-156","2038"
"Ebey's Landing NHR","1","3","350","354","2","-26","330"
"Edgar Allan Poe NHS","0","0","402","413","9","-30","392"
"Effigy Mounds NM","15","17","1201","1232","25","-89","1168"
"Eisenhower NHS","8","8","1131","1157","21","-84","1094"
"El Malpais NM","17","22","1768","1803","28","62","1893"
"El Morro NM","9","10","929","950","15","-69","896"
"Eleanor Roosevelt NHS","5","5","863","887","20","-64","843"
"Eugene O'Neill NHS","4","5","712","727","-53","-53","621"
"Everglades NP","132","210","16998","17371","316","-1254","16433"
"Fire Island NS","43","49","5083","5203","96","-376","4923"
"First Ladies NHS","5","5","985","996","8","-72","932"
"First State NHP","4","4","719","730","9","212","951"
"Flagstaff Area Parks - Sunset Crater Volcano NM, Walnut Canyon NM, Wupatki NM","34","49","3795","3879","69","-280","3668"
"Flight 93 NMem","15","15","1596","1634","30","-118","1546"
"Florissant Fossil Beds NM","10","11","1006","1029","18","-74","973"
"Fort Caroline NMem & Timucuan Ecological & Historic Preserve","26","26","2835","2898","51","-209","2740"
"Fort Davis NHS","12","13","1359","1387","21","-100","1308"
"Fort Donelson NB","14","14","1509","1542","28","-111","1459"
"Fort Frederica NM","8","8","884","903","15","-65","853"
"Fort Laramie NHS","13","16","1703","1735","24","-125","1634"
"Fort Larned NHS","9","9","1052","1075","17","-78","1014"
"Fort McHenry NM & Historic Shrine","20","22","2618","2664","36","-192","2508"
"Fort Monroe NM","4","4","999","1010","8","186","1204"
"Fort Necessity NB","15","16","1625","1665","32","-120","1577"
"Fort Point NHS","1","2","535","542","4","-39","507"
"Fort Pulaski NM","11","22","1390","1417","22","-102","1337"
"Fort Scott NHS","12","14","1341","1367","20","-99","1288"
"Fort Smith NHS","11","13","1090","1113","18","-80","1051"
"Fort Stanwix NM","17","17","1625","1630","27","-118","1539"
"Fort Sumter and Fort Moultrie NHP","18","29","2184","2222","33","-160","2095"
"Fort Union NM","14","16","1260","1284","18","-93","1209"
"Fort Union Trading Post NHS","8","9","888","908","15","-66","857"
"Fort Vancouver NHS","18","23","2032","2077","27","-150","1954"
"Fossil Butte NM","8","9","755","773","14","-56","731"
"Frederick Law Olmsted NHS","28","29","1818","1860","35","-134","1761"
"Fredericksburg & Spotsylvania NMP","35","37","4604","4705","82","-340","4447"
"Freedom Riders NM","0","0","375","491","2","-35","458"
"Friendship Hill NHS","4","5","579","589","8","-43","554"
"Gates of the Arctic NP&Pres","34","40","3201","3260","47","-235","3072"
"Gateway NRA","205","257","25726","26316","429","-1900","24845"
"Gateway Arch NP","88","130","10146","10373","191","-749","9815"
"Gauley River NRA","1","1","828","849","21","-61","809"
"George Rogers Clark NHP","9","9","916","938","18","-68","888"
"George Washington Birthplace NM","17","17","1730","1764","28","-127","1665"
"George Washington Carver NM","13","13","1484","1513","23","-109","1427"
"George Washington Memorial Parkway","87","92","13449","13696","187","-780","13103"
"Gettysburg NMP","59","65","7039","7197","121","-520","6798"
"Gila Cliff Dwellings NM","4","5","381","389","7","-28","368"
"Glacier Bay NP&Pres","32","81","5125","5237","91","-378","4950"
"Glacier NP","123","271","14056","14364","245","-739","13870"
"Glen Canyon NRA","97","158","12221","12463","203","-900","11766"
"Golden Gate NRA","165","259","26567","27016","-321","-1951","24744"
"Golden Spike NHP","11","11","1102","1129","20","-82","1067"
"Governor's Island NM","4","4","1562","1572","6","-114","1464"
"Grand Canyon NP","152","346","21985","22446","398","-1621","21223"
"Grand Canyon Parashant NM","12","12","1668","1637","27","-118","1546"
"Grand Portage NM","11","11","1367","1391","19","-100","1310"
"Grand Teton NP","94","220","12725","12985","223","-938","12270"
"Grant-Kohrs Ranch NHS","16","19","1516","1551","27","-112","1466"
"Great Basin NP","22","36","2822","2882","-17","-208","2657"
"Great Egg Harbor Scenic & Recreational River","0","0","172","220","0","-16","204"
"Great Sand Dunes NP&Pres","18","25","2355","2403","41","107","2551"
"Great Smoky Mountains NP","162","265","19829","20228","330","-1461","19097"
"Guadalupe Mountains NP","27","29","2962","3026","54","-219","2861"
"Guilford Courthouse NMP","11","11","1150","1172","19","-85","1106"
"Gulf Islands NS","52","65","7361","7499","112","-542","7069"
"Hagerman Fossil Beds NM","6","6","951","966","10","-70","906"
"Haleakala NP","43","72","5647","5767","74","-416","5425"
"Hampton NHS","7","8","1226","1252","21","-90","1183"
"Harpers Ferry NHP","39","50","6838","6952","95","-502","6545"
"Harriet Tubman NHP","1","1","110","329","2","271","602"
"Harriet Tubman Underground Railroad NHP","0","1","595","602","6","-43","565"
"Harry S Truman NHS","14","14","1269","1300","25","-94","1231"
"Hawaii Volcanoes NP","62","105","8048","8227","-56","-594","7577"
"Herbert Hoover NHS","13","13","1400","1430","24","-103","1351"
"Home of Franklin D Roosevelt NHS","18","27","3745","3832","68","-277","3623"
"Homestead NM of America","13","13","1305","1334","21","-96","1259"
"Honouliuli NHS","0","0","347","350","2","-25","327"
"Hopewell Culture NHP","13","15","1361","1388","20","-100","1308"
"Hopewell Furnace NHS","10","11","1445","1480","27","-107","1400"
"Horseshoe Bend NMP","9","9","817","836","15","-60","791"
"Hot Springs NP","43","49","4584","4600","80","-332","4348"
"Hovenweep NM","4","10","561","573","9","-41","541"
"Independence NHP","184","187","24098","25070","385","-1810","23645"
"Indiana Dunes NP","81","118","9262","9478","176","-684","8970"
"Isle Royale NP","36","48","4490","4590","74","-331","4333"
"James A Garfield NHS","9","9","768","788","13","-57","744"
"Jean Lafitte NHP & Pres","49","49","5679","5792","93","-418","5467"
"Jewel Cave NM","11","19","1212","1240","24","-90","1174"
"Jimmy Carter NHS","14","15","1675","1705","23","-123","1605"
"John D Rockefeller Jr Memorial Parkway","0","0","538","553","13","-40","526"
"John Day Fossil Beds NM","15","16","1654","1690","23","-122","1591"
"John F Kennedy NHS","0","0","527","540","9","-39","510"
"John Muir NHS","12","13","1045","1064","11","-77","998"
"Johnstown Flood NMem","6","6","820","832","9","-60","781"
"Joshua Tree NP","47","112","6500","6776","-44","-489","6243"
"Kalaupapa NHP","32","34","5017","4853","61","-350","4564"
"Kaloko-Honokohau NHP","16","19","1972","2013","28","-145","1896"
"Katahdin Woods and Waters NM","0","0","580","587","3","-42","548"
"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","28","37","4365","4449","63","-321","4191"
"Kenai Fjords NP","31","41","4105","4195","67","-303","3959"
"Kennesaw Mountain NBP","14","15","1886","1923","31","-139","1815"
"Keweenaw NHP","16","18","1730","1770","31","-128","1673"
"Kings Mountain NMP","12","15","1175","1198","20","-87","1131"
"Klondike Gold Rush NHP","26","42","3249","3313","46","-239","3120"
"Klondike Gold Rush - Seattle Unit NHP","7","7","747","766","12","-55","723"
"Knife River Indian Village NHS","10","11","932","953","16","-69","900"
"Lake Clark NP&Pres","25","29","3531","3605","60","-260","3405"
"Lake Mead NRA","119","209","19904","20266","-278","-1464","18524"
"Lake Meredith NRA & Alibates Flint Quarry NM","28","35","3213","3283","60","-237","3106"
"Lake Roosevelt NRA","44","54","6110","6396","11","-462","5945"
"Lassen Volcanic NP","44","67","5423","5524","-80","-399","5045"
"Lava Beds NM & Tule Lake NM","20","34","2386","2425","29","-175","2279"
"Lewis & Clark NHP","17","23","1706","1746","23","-128","1641"
"Lincoln Boyhood NMem","10","11","1059","1083","20","-78","1025"
"Lincoln Home NHS","28","34","2868","2929","50","-212","2767"
"Little Bighorn Battlefield NM","13","16","1262","1292","23","-93","1222"
"Little River Canyon NPres","14","15","1472","1505","27","-109","1423"
"Little Rock Central High School NHS","9","9","989","1009","16","-73","952"
"Longfellow House - Washington's Headquarters NHS","0","0","1241","1269","21","-92","1198"
"Lowell NHP","65","76","8586","8585","139","-620","8104"
"Lyndon B Johnson NHP","32","32","3964","4034","59","-291","3802"
"Maggie L Walker NHS","6","6","636","652","13","-47","618"
"Mammoth Cave NP","56","103","6649","6791","116","-490","6417"
"Manassas NBP","27","27","3245","3321","61","-240","3142"
"Manhattan Project NHP","3","3","691","706","12","-51","667"
"Manhattan Sites","35","35","4529","4640","70","-335","4375"
"Manzanar NHS","14","15","1344","1364","22","-99","1287"
"Marsh-Billings-Rockefeller NHP","17","21","2111","2152","32","-155","2029"
"Martin Luther King, Jr NHP","27","28","4322","4391","49","-94","4346"
"Martin Van Buren NHS","12","12","1286","1315","23","-95","1243"
"Medgar & Myrlie Evers Home NM","0","0","0","180","0","-13","167"
"Mesa Verde NP","53","102","6570","6709","114","-484","6339"
"Mill Springs Battlefield NM","0","0","0","180","0","279","459"
"Minidoka NHS","4","4","464","474","7","-34","447"
"Minute Man NHP","21","23","2894","2958","51","32","3041"
"Minuteman Missile NHS","9","10","706","724","13","-52","685"
"Mississippi NRRA","20","23","2002","2051","35","-148","1938"
"Missouri NRR","7","8","872","892","16","257","1165"
"Mojave NPres","37","45","5393","5506","-2","-398","5106"
"Monocacy NB","13","16","1589","1625","30","-117","1538"
"Montezuma Castle NM & Tuzigoot NM","13","26","1696","1734","32","-125","1641"
"Moores Creek NB","4","4","697","706","7","-51","662"
"Morristown NHP","22","23","2703","2763","49","-200","2612"
"Mount Rainier NP","89","209","12857","13112","-352","-947","11813"
"Mount Rushmore NMem","33","49","4194","4280","79","-309","4050"
"Muir Woods NM","7","10","461","484","16","-35","465"
"Natchez NHP","12","13","2588","2618","24","-189","2453"
"Natchez Trace NST","0","0","29","29","0","-2","27"
"Natchez Trace Parkway, Brices Cross Roads NBS, Tupelo NB","95","102","11827","12052","191","-870","11373"
"National Capital Parks-East","126","128","16835","17172","247","-1240","16179"
"National Mall & Memorial Parks","226","235","35675","36351","507","-1812","35046"
"National Park of American Samoa","11","14","2024","1417","17","-102","1332"
"National Park Service Liaison to the White House","65","68","9430","9633","154","-696","9091"
"National Parks of New York Harbor (Hqtrs)","10","10","832","856","20","-62","814"
"Natural Bridges NM","5","7","537","548","9","-40","517"
"New Bedford Whaling NHP","10","10","965","983","13","-71","925"
"New Orleans Jazz NHP","7","7","1319","1344","22","-97","1269"
"New River Gorge NR","69","74","7653","7806","122","-564","7364"
"Nez Perce NHP","19","21","2612","2661","34","-192","2503"
"Nicodemus NHS","2","2","684","662","4","-48","618"
"Ninety Six NHS","4","5","479","489","8","-35","462"
"Niobrara NSR","8","8","1016","1037","18","-75","980"
"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","56","112","7605","7760","-27","-560","7173"
"Obed WSR","12","12","1063","1088","24","-79","1033"
"Ocmulgee Mounds NHP","14","15","1325","1360","28","-98","1290"
"Olympic NP","104","202","13298","13583","-31","-981","12571"
"Oregon Caves NM & Pres","16","23","1779","1808","19","-131","1696"
"Organ Pipe Cactus NM","29","33","4520","4618","79","-333","4364"
"Ozark NSR","64","81","6663","6804","133","-491","6446"
"Padre Island NS","48","60","5812","5980","100","-432","5648"
"Palo Alto Battlefield NHS","8","8","962","985","17","56","1058"
"Paterson Great Falls NHP","5","6","897","916","14","87","1017"
"Pea Ridge NMP","11","11","1256","1282","23","-93","1212"
"Pearl Harbor NMem","24","27","3747","3809","38","225","4072"
"Pecos NHP","20","23","2234","2283","40","-50","2273"
"Perry's Victory & International Peace Memorial","11","15","1104","1128","17","-81","1064"
"Petersburg NB","31","31","3503","3585","68","-259","3394"
"Petrified Forest NP","31","48","3623","3700","67","-267","3500"
"Petroglyph NM","16","18","1732","1771","35","-128","1678"
"Pictured Rocks NL","22","30","2597","2653","47","-192","2508"
"Pinnacles NP","24","32","3628","3827","-9","-276","3542"
"Pipe Spring NM","14","16","1283","1314","22","-95","1241"
"Pipestone NM","10","11","1117","1140","18","-82","1076"
"Point Reyes NS","52","87","7818","7981","-46","-366","7569"
"Port Chicago Naval Magazine NMem","1","1","299","306","5","-22","289"
"Potomac Heritage NST","0","0","417","417","0","-30","387"
"Prince William Forest Park","26","33","3537","3613","64","-261","3416"
"Pullman NM","4","4","686","831","10","127","968"
"Pu'uhonua O Honaunau NHP","15","21","1962","2001","25","-145","1881"
"Puukohola Heiau NHS","10","14","1018","1044","12","138","1194"
"Rainbow Bridge NM","0","0","143","147","3","-11","139"
"Reconstruction Era NHP","1","1","322","443","2","190","635"
"Redwood NP","79","108","9156","9355","20","-676","8699"
"Richmond NBP","25","27","3272","3278","55","-237","3096"
"Rio Grande WSR","0","0","200","205","6","-15","196"
"River Raisin NBP","10","10","814","832","13","-60","785"
"Rock Creek Park","53","54","9194","9364","131","-676","8819"
"Rocky Mountain NP","102","233","13076","13363","237","-965","12635"
"Roger Williams NMem","6","6","692","708","12","-51","669"
"Ronald Reagan Boyhood Home NHS","0","0","71","71","0","295","366"
"Rosie the Riveter WWII Home Front NHP","10","10","1334","1322","20","-95","1247"
"Russell Cave NM","3","3","402","410","5","-30","385"
"Sagamore Hill NHS","15","17","1583","1622","29","-117","1534"
"Saguaro NP","35","69","3629","3712","72","-268","3516"
"Saint Croix Island IHS","2","2","239","245","4","-18","231"
"Saint Croix NSR & Lower Saint Croix NSR","33","33","3884","3971","72","-287","3756"
"Saint-Gaudens NHP","9","10","1313","1339","20","-97","1262"
"Salem Maritime NHS","22","23","2603","2663","45","-192","2516"
"Salinas Pueblo Missions NM","13","18","1407","1437","25","-104","1358"
"San Antonio Missions NHP","35","39","3920","4020","65","-290","3795"
"San Francisco Maritime NHP","59","67","7659","7848","34","-567","7315"
"San Juan Island NHP","8","13","1031","1055","17","-76","996"
"San Juan NHS","32","83","3533","3610","64","-261","3413"
"Sand Creek Massacre NHS","7","7","896","875","12","-63","824"
"Santa Monica Mountains NRA","58","81","8734","8911","-22","-644","8245"
"Saratoga NHP","21","22","2328","2385","50","-172","2263"
"Saugus Iron Works NHS","5","5","916","932","12","-67","877"
"Scotts Bluff NM","9","9","989","1008","16","-73","951"
"Sequoia NP & Kings Canyon NP","157","311","17214","17595","-95","-1271","16229"
"Shenandoah NP","98","192","12404","12629","224","-912","11941"
"Shiloh NMP","26","29","2440","2901","46","-209","2738"
"Sitka NHP","9","10","2239","2271","22","-164","2129"
"Sleeping Bear Dunes NL","37","85","4286","4383","79","-317","4145"
"Southeast Arizona Group","26","35","3732","3804","66","-275","3595"
"Southern Arizona Group (Hqtrs)","14","20","1414","1445","24","246","1715"
"Southern Four Corners Group","34","36","4046","4124","60","-298","3886"
"Springfield Armory NHS","12","12","1492","1521","23","-110","1434"
"Statue of Liberty NM & Ellis Island","86","106","15963","16224","201","-1172","15253"
"Ste. Genevieve NHP","0","0","321","435","2","232","669"
"Steamtown NHS","45","46","5733","5836","89","-421","5504"
"Stones River NB","13","13","1307","1335","20","-96","1259"
"Stonewall NM","2","2","220","223","1","-16","208"
"Tallgrass Prairie NPres","9","9","1091","1065","17","-77","1005"
"Thaddeus Kosciuszko NMem","0","0","168","173","4","-12","165"
"Theodore Roosevelt Inaugural NHS","0","0","314","314","0","-23","291"
"Theodore Roosevelt NP & International Peace Garden","31","41","3106","3178","53","-230","3001"
"Thomas Edison NHP","20","21","2958","3020","47","-218","2849"
"Thomas Stone NHS","3","3","636","651","13","-47","617"
"Timpanogos Cave NM","10","18","1131","1156","19","-83","1092"
"Tonto NM","8","12","889","909","16","-66","859"
"Tule Springs Fossil Beds NM","2","4","680","733","13","-53","693"
"Tumacacori NHP","12","15","1312","1342","22","-97","1267"
"Tuskegee Airmen NHS","7","7","969","985","12","-71","926"
"Tuskegee Institute NHS","9","9","1099","1116","11","-81","1046"
"Ulysses S Grant NHS","11","11","1276","1302","18","-94","1226"
"Upper Delaware Scenic & Recreational River & Middle Delaware NSR","25","25","3439","3507","58","-253","3312"
"Valles Caldera NPres","23","24","3381","4939","50","-357","4632"
"Valley Forge NHP","49","49","6497","6628","112","-479","6261"
"Vanderbilt Mansion NHS","23","27","1087","1111","20","-80","1051"
"Vicksburg NMP","27","30","3242","3300","44","-238","3106"
"Virgin Islands Coral Reef NM","0","0","461","474","12","-34","452"
"Virgin Islands NP","33","34","5118","5201","67","-376","4892"
"Voyageurs NP","37","58","4423","4509","80","-326","4263"
"Waco Mammoth NM","2","2","374","383","7","-28","362"
"War in the Pacific NHP","16","17","1613","1647","21","-119","1549"
"Washita Battlefield NHS","5","5","780","794","11","-57","748"
"Weir Farm NHS","7","9","1177","1200","18","-87","1131"
"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern
NM, Kobuk Valley NP","23","23","3903","3974","53","-287","3740"
"Whiskeytown NRA","35","59","4434","4525","-5","-327","4193"
"White Sands NP","14","21","1633","1667","29","-120","1576"
"Whitman Mission NHS","7","7","823","840","11","-61","790"
"William Howard Taft NHS","8","8","827","846","14","-61","799"
"William Jefferson Clinton Birthplace Home NHS","6","6","718","733","11","-53","691"
"Wilson's Creek NB","25","26","3296","3360","48","-243","3165"
"Wind Cave NP","26","53","2619","2680","47","-194","2533"
"Wolf Trap NP","43","43","4247","4353","73","-314","4112"
"Women's Rights NHP","14","14","1600","1630","23","-118","1535"
"Wrangell-Saint Elias NP&Pres","41","50","5847","5978","100","-432","5646"
"Yellowstone NP","313","528","35687","36531","692","-2638","34585"
"Yosemite NP","217","569","31108","31699","-763","-2289","28647"
"Yucca House NM","0","0","107","110","2","-8","104"
"Yukon-Charley Rivers NPres","0","0","1846","1881","28","-136","1773"
"Zion NP","69","155","8033","8207","142","-593","7756"
"Subtotal, Park Units","10205","14608","1321367","1351332","15867","-90912","1276287"
"National Trail System^{3}","","","","","","",""
"[Appalachian NST]","","","","","","",""
"[Potomac Heritage NST]","","","","","","",""
"Ala Kahakai NHT","3","3","539","550","8","-40","518"
"California NHT","0","0","351","354","2","-26","330"
"Captain John Smith Chesapeake NHT","3","3","795","806","9","-58","757"
"El Camino Real de los Tejas NHT","0","0","200","203","2","-15","190"
"El Camino Real de Tierra Adentro NHT","0","0","291","294","2","-21","275"
"Ice Age NST","5","5","838","854","13","-62","805"
"Juan Bautista de Anza NHT","2","2","552","561","6","-41","526"
"Lewis & Clark NHT","14","14","2027","2293","33","-164","2162"
"Mormon Pioneer NHT","0","0","245","247","2","-18","231"
"New England NST","0","0","128","130","2","-9","123"
"North Country NST","2","2","903","1266","8","-91","1183"
"Old Spanish NHT","0","0","245","248","2","-18","232"
"Oregon NHT","0","0","438","450","10","-32","428"
"Overmountain Victory NHT","0","1","336","337","0","-24","313"
"Pony Express NHT","0","0","252","255","2","-18","239"
"Santa Fe NHT","16","16","713","725","9","-52","682"
"Selma to Montgomery NHT","11","11","1437","1464","20","-106","1378"
"Star Spangled Banner NHT","0","0","153","157","3","-11","149"
"Trail of Tears NHT","0","0","495","504","7","-36","475"
"Washington Rochambeau Revolutionary Route NHT","1","1","278","281","2","-20","263"
"National Trail System Program","0","1","386","393","4","-28","369"
"Subtotal, National Trail System","57","59","11602","12372","146","-890","11628"
"[Subtotal, National Trail System with Park Units]","","","","","","",""
"Partnership Wild & Scenic Rivers","","","","","","",""
"Eightmile WSR","0","0","170","220","0","-16","204"
"Farmington (West Branch) WSR","0","0","172","220","0","-16","204"
"Lamprey WSR","0","0","171","220","0","-16","204"
"Lower Delaware WSR","0","0","172","220","0","-16","204"
"Lower Farmington & Salmon Brook WSR","0","0","0","220","0","-16","204"
"Maurice WSR","0","0","173","220","0","-16","204"
"Missisquoi and Trout Rivers WSR","0","0","170","220","0","-16","204"
"Musconetcong WSR","0","0","170","220","0","-16","204"
"Nashua WSR","0","0","0","220","0","-16","204"
"Sudbury, Assabet, Concord WSR","0","0","173","220","0","-16","204"
"Taunton WSR","0","0","170","220","0","-16","204"
"Wekiva WSR","0","0","170","220","0","-16","204"
"Westfield WSR","0","0","170","220","0","-16","204"
"White Clay Creek WSR","0","0","173","220","0","-16","204"
"Wood-Pawcatuck Watershed WSR","0","0","0","220","0","-16","204"
"Wild & Scenic River Program","0","1","53","57","2","-4","55"
"Subtotal, Partnership W&S Rivers","0","1","2107","3357","2","-244","3115"
"Affiliated Areas","","","","","","",""
"American Memorial Park","8","9","1599","1633","23","-118","1538"
"Gloria Dei (Old Swedes') Church NHS","0","0","34","35","0","-3","32"
"Ice Age National Scientific Reserve","0","0","739","739","0","-53","686"
"Lower Eastside Tenement Museum","0","0","249","249","0","-18","231"
"Oklahoma City NMem","9","9","797","817","16","-59","774"
"Pinelands NR","0","0","301","301","0","-22","279"
"Roosevelt Campobello International Park^{7}","0","0","1658","1658","0","-120","1538"
"Thomas Cole NHS","0","0","158","158","0","-11","147"
"Subtotal, Affiliated Areas","17","18","5535","5590","39","-404","5225"
"Other Field Offices & Partner Organizations","","","","","","",""
"400 Years of African American History Commission","0","0","0","3300","0","-3300","0"
"Accokeek Foundation","0","0","749","749","0","-54","695"
"Alice Ferguson Foundation","0","0","195","195","0","-14","181"
"Anchorage Interagency Visitor Center","7","7","687","705","13","-51","667"
"Beringia","0","0","669","670","1","-48","623"
"Chesapeake Bay Office","3","6","488","496","6","-36","466"
"Erie Canalway NHA","1","1","266","272","5","-20","257"
"Fairbanks Interagency Visitor Center","5","6","672","690","14","-50","654"
"Johnstown Area Heritage Associate Museum","0","0","44","44","0","-3","41"
"Lower Mississippi Delta Technical Assistance","0","0","230","230","0","-17","213"
"Maine Acadian Culture Comm Technical Assistance","0","0","97","98","0","-7","91"
"Masau Trail","0","0","34","34","0","-2","32"
"National Capital Area Performing Arts Program","0","0","2227","2227","0","-2227","0"
"National Park Foundation","0","0","0","5000","0","-361","4639"
"Route 66 National Historic Highway","0","0","291","295","3","-21","277"
"Semiquincentennial Commission","0","0","500","3300","0","-3300","0"
"Subtotal, Other Field Offices","16","20","7149","18305","42","-9511","8836"
"United States Park Police Operations","","","","","","",""
"New York Area Parks","0","142","20803","21449","692","-1549","20592"
"San Francisco Area Parks","0","63","5949","6096","150","-440","5806"
